"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1674228",3.02666698319585,7.27399006675602,6.42584344230116,2.6823824558373e-08,0.000831619032783238,7.99888264949508,NA
"ILMN_1856652",0.457755685830361,4.68805415782542,6.22875272864575,5.70576907746006e-08,0.000884479793542471,7.37351443336721,NA
"ILMN_1804601",3.27342770865215,6.32971142148962,5.91309773576981,1.89602059960619e-07,0.00195941088831969,6.37501471229937,NA
"ILMN_1696318",0.588980359311866,5.01229125962166,5.36127055437391,1.49761934255093e-06,0.00988726485772269,4.64809225428118,"LOC100130691"
"ILMN_2393765",1.72494511245348,11.4072756409353,5.34430282922687,1.59456582552055e-06,0.00988726485772269,4.59554270666978,"IGLL1"
"ILMN_1702775",0.352167919468123,4.63847418533534,5.28809530057096,1.96203255040001e-06,0.0101381491933419,4.42175705479541,"LRP5"
"ILMN_1652199",1.69067002510933,9.58064283437047,5.2218193930029,2.50349441760722e-06,0.0106892109963721,4.21744117669989,NA
"ILMN_1693311",-0.448470731014628,12.3005452350082,-5.16894006617746,3.03882835733007e-06,0.0106892109963721,4.05491557300893,"TMBIM6"
"ILMN_1784516",-0.487328739606621,4.98436273596996,-5.16322615563361,3.10301902936324e-06,0.0106892109963721,4.03738084385662,"CFAP70"
"ILMN_2083066",1.58261450281537,6.4309006328095,5.04547655758275,4.76607660633848e-06,0.0147762673026312,3.67727052628289,"IGLL3P"
"ILMN_1831532",0.470185931599236,4.72166929861628,4.96347707720276,6.41394601110982e-06,0.0180774152893125,3.42796936342054,NA
"ILMN_2105441",2.30071821295541,8.86660656942303,4.92766713541554,7.29831409273312e-06,0.0188558026514171,3.31950173816297,"JCHAIN"
"ILMN_1654195",0.422940115153467,4.65104062462182,4.73524968363332,1.45276022197301e-05,0.0328932021046311,2.74122810942495,"GCC2"
"ILMN_2210298",-0.708456763217454,4.96122646122691,-4.72900102413505,1.48535570578601e-05,0.0328932021046311,2.72258521998621,"CCDC61"
"ILMN_1651664",0.411104742654107,4.73470677478409,4.44860943682194,3.97328230198465e-05,0.0761166918789486,1.89587668299377,"SDHA"
"ILMN_2079322",-0.479204624149404,4.76173048906283,-4.43307466613392,4.19293580083971e-05,0.0761166918789486,1.85067442733024,NA
"ILMN_1883410",0.380407511675805,4.7148151896168,4.42597796025034,4.29716945406951e-05,0.0761166918789486,1.83004713073366,NA
"ILMN_1654634",0.369916242991562,4.7704132027763,4.41787600418667,4.41925121382148e-05,0.0761166918789486,1.80651519370431,"TMEM272"
"ILMN_2193233",1.30321377189819,7.01704167934586,4.34343237135107,5.71081649491017e-05,0.0898022825632995,1.59117032759886,"MZB1"
"ILMN_1811624",-0.466506124372553,7.02968470652087,-4.33926114965422,5.79313502327514e-05,0.0898022825632995,1.57915162502345,"THADA"
"ILMN_2078724",0.528023302800031,11.8479585405273,4.30331851079076,6.55186604812016e-05,0.093876678559444,1.47580219782382,NA
