"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1727236",0.846158630063003,4.72816632284812,7.42086516610964,5.75628785561596e-10,1.78462192387662e-05,11.6210694526913,"SC5D"
"ILMN_1822482",0.589007987110137,4.72918220096024,6.41129108758597,2.83642197497901e-08,0.000396399425158611,8.28217682384126,NA
"ILMN_1653428",0.629789646343546,4.61285134181662,6.33255577879592,3.83575226744455e-08,0.000396399425158611,8.02188945569998,"SPINK9"
"ILMN_1867186",0.664157640616644,4.70855138277131,6.18153475990019,6.83315877659852e-08,0.00052962105387721,7.52335135747127,NA
"ILMN_2098325",-0.643175675646067,7.1412778355962,-5.33965886558006,1.62216088287476e-06,0.00890100793248327,4.77811893864014,"C8orf33"
"ILMN_1711381",0.541176320383364,4.66246527802483,5.32338810758195,1.72260902476856e-06,0.00890100793248327,4.72591398778741,"RFC3"
"ILMN_1908717",0.432812679102933,4.662851714687,5.2114580162955,2.60050416869267e-06,0.0115176329631398,4.36796566484287,NA
"ILMN_1821279",0.472363311299322,4.86161394745161,5.1083425603095,3.79161742463491e-06,0.0136787172445114,4.04015220376583,NA
"ILMN_1803452",0.48339222840122,4.71826826729419,5.05727996575311,4.56604576236216e-06,0.0136787172445114,3.8785607995071,"CRCT1"
"ILMN_1688205",0.606986654838146,4.85094443902491,5.05081422183641,4.67457574471257e-06,0.0136787172445114,3.85813595167851,"KLK10"
"ILMN_1689001",-0.623828887232939,8.08691454103506,-5.02900332485405,5.05970380634375e-06,0.0136787172445114,3.78929850382016,"CDK4"
"ILMN_1899986",0.504152956333165,4.85067609138063,5.01649401989703,5.29447495191229e-06,0.0136787172445114,3.74986122923946,NA
"ILMN_1902728",0.478329870267184,4.82539192159735,4.97222697864952,6.21437528688415e-06,0.014814330783468,3.61056232507226,NA
"ILMN_1853477",0.502731970039816,4.96953441872497,4.95181693744448,6.68969554457802e-06,0.014814330783468,3.54647484982292,NA
"ILMN_1845328",0.468376594508968,4.75730092388255,4.88403227022287,8.53864911225764e-06,0.0176482492284882,3.33427873642678,NA
"ILMN_1678968",0.519639801892924,4.71002717563663,4.84860767283602,9.69558530479314e-06,0.0187870144502814,3.22379161519035,"GEM"
"ILMN_1725834",0.441192396630409,4.76595859378915,4.7996678856682,1.15498988454735e-05,0.0205336049023209,3.07162798547133,"FAM90A7"
"ILMN_1908085",0.498532228921812,4.67437205208375,4.75771364384581,1.34125640453657e-05,0.0205336049023209,2.9416365352243,NA
"ILMN_1780887",-0.692387104478049,6.34209498446718,-4.75371604995113,1.36046732503663e-05,0.0205336049023209,2.92927261630325,"USP21"
"ILMN_1803191",0.607107803299745,4.79936557448722,4.74994682448974,1.37882720752902e-05,0.0205336049023209,2.91761859149635,NA
"ILMN_1765287",0.565350867981929,4.89016111309439,4.73620315703349,1.44784843973924e-05,0.0205336049023209,2.87515433369173,NA
"ILMN_1758497",0.393829379415175,4.61295620245346,4.73441323616617,1.45708256572286e-05,0.0205336049023209,2.86962739373583,"TTYH1"
