"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1773964",-0.641000052154272,7.52530831646952,-5.86057274174732,2.3127611812478e-07,0.00717025349022254,6.06802492843858,"H1-10"
"ILMN_1659976",-0.448195901632034,7.53357864682086,-5.63258447496735,5.45419106908183e-07,0.0084548142857372,5.36587595844806,"CLP1"
"ILMN_1675282",-0.409446914065133,4.81339720252688,-5.17272953603907,2.99697938664202e-06,0.0237193823755812,3.96603806809766,"HLA-L"
"ILMN_2125017",-0.694745057238828,5.3759202501791,-5.16701840830379,3.06026931272215e-06,0.0237193823755812,3.94883098012435,"TIGIT"
"ILMN_1907095",-0.521710159879971,4.80011953688565,-4.92475171681258,7.37536532336094e-06,0.0404974683107273,3.22391568197484,"ONECUT2"
"ILMN_1747696",-0.628019644964122,4.81323990884251,-4.87912854873993,8.69033732232379e-06,0.0404974683107273,3.08859074094478,"TPM3"
"ILMN_1657618",-0.688851872226701,4.85904477928588,-4.86495712107162,9.14370474389868e-06,0.0404974683107273,3.04663933583518,"WTAP"
"ILMN_1653394",0.456950950204345,4.84718011284499,4.81192416593143,1.10552843935185e-05,0.0428433727565318,2.89000664469588,NA
"ILMN_1891857",-0.616764419510238,6.82140941563568,-4.7431190635127,1.41270434785881e-05,0.0486645254407408,2.68766635259599,"RAB2A"
"ILMN_1689059",-0.526642802432827,7.11786247652182,-4.68420271365375,1.74091720263955e-05,0.0539736560334338,2.51522767469754,"ZNF329"
"ILMN_1738622",-0.832858800291156,5.68086453361864,-4.566825945708,2.6316991171525e-05,0.0700209146518759,2.17407606907123,"NSMCE3"
"ILMN_1898466",0.714679693863385,4.94669283846466,4.5476581890806,2.81431616991025e-05,0.0700209146518759,2.11868175300233,NA
"ILMN_1876266",0.378057719142069,4.72763683296209,4.53228836346004,2.96962216167766e-05,0.0700209146518759,2.07432965171185,"GJA3"
"ILMN_1739032",-0.711223868118282,5.8722206413343,-4.50677720153569,3.24602803132458e-05,0.0700209146518759,2.00084504591386,"TMEM70"
"ILMN_1652753",-0.65022893164135,6.57502949505676,-4.49155384108807,3.42274697220576e-05,0.0700209146518759,1.95707374139277,"PAAF1"
"ILMN_1736408",0.474320953583935,4.84850429822149,4.47594730215493,3.61363298529179e-05,0.0700209146518759,1.912263051238,NA
"ILMN_1769309",-0.472623460453255,4.92053758268257,-4.44488863912601,4.02484948635766e-05,0.0702228580013532,1.8232753469088,NA
"ILMN_1716071",-0.754494640460643,6.17340566401397,-4.44116827456847,4.07706171668664e-05,0.0702228580013532,1.81263311711838,"PAQR3"
"ILMN_1675974",0.343981175185688,4.69065151018562,4.41196244741245,4.51048114179801e-05,0.0735991825469282,1.72921816564844,NA
"ILMN_1664216",-0.664551265401066,6.20871999592534,-4.36822207698934,5.24453949400462e-05,0.0812982289663127,1.60472689262633,"NKIRAS1"
"ILMN_1667577",-0.642143353438479,6.7797712363036,-4.34801585856223,5.62167225308259e-05,0.0829946213630093,1.54739702790921,"LCMT2"
"ILMN_1707734",0.414677758154717,4.65149796103307,4.29668716037036,6.70202104774279e-05,0.0911996784473196,1.40228837261322,"NNAT"
"ILMN_1672287",-0.461128533910974,7.31306499733717,-4.29391516616606,6.76577300354273e-05,0.0911996784473196,1.39447349520838,"MYNN"
"ILMN_1657771",-0.745071638934349,6.44692839078564,-4.18439266914071,9.81378375053379e-05,0.114529431385919,1.08754039297251,"CRTC2"
"ILMN_1805665",0.491917895100852,4.63707550809212,4.18349357125164,9.84361853037102e-05,0.114529431385919,1.08503584168934,"FLRT3"
"ILMN_1665060",-0.594077832706695,5.28998106659013,-4.17461687050494,0.000101429273735898,0.114529431385919,1.06032219776735,"CCDC121"
"ILMN_2109526",0.612001637360096,6.44705446863988,4.15880022321722,0.000106982161065897,0.114529431385919,1.0163482301573,"CSNK2A3"
"ILMN_1733874",-0.641452770420183,5.63259263885553,-4.15000900834656,0.000110194621140419,0.114529431385919,0.991940711030596,"SH2D2A"
"ILMN_2061185",-0.663339623401329,6.78335076072836,-4.14157108843582,0.000113365652690797,0.114529431385919,0.968537124582826,"SH2B1"
"ILMN_1670959",0.409383920286948,4.70945004919259,4.13297179608317,0.000116688089101393,0.114529431385919,0.944709302935018,"CEACAM5"
"ILMN_1714738",0.52887584119567,4.97763126278509,4.13280805826695,0.000116752255976578,0.114529431385919,0.944255830419557,"SCMH1"
"ILMN_1746561",-0.79504428193092,6.5047091489273,-4.12910524771177,0.000118212489254247,0.114529431385919,0.934003176557505,"BCL2L2"
"ILMN_1704598",0.508746693218449,4.79599429161821,4.11567013809456,0.000123660502610692,0.116177168558766,0.896839926815255,"HYAL4"
"ILMN_1711543",-0.582572903856959,7.01500277507157,-4.08193297749567,0.000138432746730533,0.126230307261374,0.803776788671613,"RIOX1"
"ILMN_2274420",-0.54297639076327,6.48411591396809,-4.05257270485664,0.00015266413182149,0.133896191646599,0.723091930211505,"SPTLC1"
"ILMN_1784516",-0.381597734526783,4.98436273596996,-4.04301089533454,0.000157596545532,0.133896191646599,0.696877174105744,"CFAP70"
"ILMN_1781565",-0.706890612338597,5.9850757055136,-4.03655820464502,0.000161011694184294,0.133896191646599,0.679203769198377,"TLNRD1"
"ILMN_2376667",-0.392949928719997,7.56511544941703,-4.03080838610729,0.000164114933476463,0.133896191646599,0.663467306330611,"POFUT2"
"ILMN_1806782",-0.677609196967208,6.02556329921225,-4.01662593655354,0.000172018098024193,0.136745566488309,0.624699782114327,"ZNF235"
"ILMN_1810085",-0.715891047807581,5.87487271505284,-4.00641990321905,0.000177931269884003,0.137910079005344,0.596844125943217,"ABCF3"
"ILMN_1735792",-0.66763306239243,6.05456079183852,-3.98982851550847,0.000187964621069418,0.140111297039058,0.551636977367182,"RHBDF2"
"ILMN_1852771",0.492175301020628,4.96952785425956,3.98205987565953,0.000192848001994167,0.140111297039058,0.530502141228496,NA
"ILMN_1748034",-0.586485146444493,6.98738986821265,-3.9647277809974,0.000204187668654266,0.140111297039058,0.48342522846376,"KLHDC4"
"ILMN_1769394",-0.674379803226826,6.04196285212975,-3.96423651763121,0.000204518265836242,0.140111297039058,0.482092402218303,"PLCD1"
"ILMN_1713679",0.349859585949358,4.7142567663302,3.96030969446297,0.000207179433526853,0.140111297039058,0.471441741136266,"MREG"
"ILMN_1737380",-0.55418176372453,6.02537328603883,-3.95927383315895,0.000207886967835263,0.140111297039058,0.468633092286202,"BCAP29"
"ILMN_1754053",0.394123520638013,4.67840923361441,3.93419198954631,0.000225746876682925,0.144920707976837,0.400741308333805,"SLC34A3"
"ILMN_1799871",-0.635820301984095,4.9603439838326,-3.92613626125193,0.00023179014285858,0.144920707976837,0.378983314350743,"LTK"
"ILMN_1874613",0.401787708274706,4.75620177322621,3.92499721704447,0.000232657100302039,0.144920707976837,0.375908698388943,NA
"ILMN_1748206",0.477467760954685,4.7040536405373,3.92345113344609,0.00023383886138554,0.144920707976837,0.37173610486181,"CCM2L"
"ILMN_1764596",0.617716900842618,6.88294365898247,3.91636913473254,0.000239326285641111,0.144920707976837,0.352634035678277,"MPST"
"ILMN_1809307",0.453472869630178,4.7263786437247,3.90734700027878,0.000246496695526846,0.144920707976837,0.328324972884946,"DNAJB7"
"ILMN_1808591",0.553967339840262,7.03822874109835,3.90494713521464,0.00024843853917729,0.144920707976837,0.321863758554907,"UBE2S"
"ILMN_2357730",-0.710853093583057,5.96222721157778,-3.9000848013184,0.000252418096014876,0.144920707976837,0.308779155155305,"CDK20"
"ILMN_2363805",0.653751712118546,4.85995725479621,3.89345891508162,0.0002579398531402,0.145021632236288,0.290962583706904,"YAF2"
"ILMN_1829296",-0.291843708160836,4.70891294804682,-3.88873279374515,0.000261949211535403,0.145021632236288,0.278264089475359,NA
"ILMN_1754860",-0.741932235084367,5.11173729274863,-3.8788420970802,0.000270534727399608,0.146507282937161,0.251715354344738,"MRPS12"
"ILMN_1680348",-0.519476467206844,5.06519925044246,-3.87484130408173,0.00027408387608797,0.146507282937161,0.240986525375231,"NBPF3"
"ILMN_1746317",0.727656864582281,5.22369602593793,3.84391887231708,0.000303065920914548,0.159253436374809,0.15826130400894,"NUP58"
"ILMN_1815086",-0.464245834780233,11.5010197460072,-3.83503781513894,0.000311919715570263,0.161174115697081,0.134567774963216,"NINJ1"
"ILMN_1682661",-0.440929487162612,4.80637564888062,-3.81965672621813,0.000327844325020496,0.166016223836982,0.0936027778318653,"BMP3"
"ILMN_1671356",-0.432582521585132,4.7203167844409,-3.81576063689882,0.000332000318610873,0.166016223836982,0.0832402955517662,"COQ6"
"ILMN_1733970",0.693662454504588,5.79481118328993,3.80041633991095,0.00034886530237541,0.169221757809672,0.0424846339137854,"BAG1"
"ILMN_1823347",-0.395642000720481,4.84347226633565,-3.79580526981875,0.000354091943856438,0.169221757809672,0.0302547193191094,NA
"ILMN_1749493",-0.42313585380691,4.91413565624117,-3.79519832804439,0.00035478548068344,0.169221757809672,0.0286455337714235,"ADARB2"
"ILMN_1692546",-0.553319280954285,5.31459696682327,-3.78367813398493,0.000368199044575834,0.172958711802797,-0.0018713176421139,"VNN2"
"ILMN_1806809",-0.402421707733778,7.113230076507,-3.77506311532485,0.00037854639538694,0.174017199336166,-0.0246591899631108,"ZNF189"
"ILMN_1798311",-0.336639412672,4.7566826635685,-3.77250010672225,0.000381678210329946,0.174017199336166,-0.0314331851646097,"MBTPS2"
