"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1722890",0.843742467167735,4.72780690754872,6.46027210096255,2.35028885455383e-08,0.000728660053577325,8.74158323873264,"PCDH7"
"ILMN_2325534",0.634373477803492,4.70103523055533,6.05658263912851,1.09994333686217e-07,0.00117062553039676,7.3561733182812,"KCNIP2"
"ILMN_1701562",0.807461826458022,4.66456034098145,5.96533795301339,1.55550708552177e-07,0.00117062553039676,7.04471066285458,"PKHD1"
"ILMN_1651792",0.640453371220595,4.66311662206607,5.94296557202081,1.69319881006336e-07,0.00117062553039676,6.96846172058637,"RORC"
"ILMN_1759521",0.479873487445045,4.6747952628267,5.91174747443376,1.90573798419702e-07,0.00117062553039676,6.86214802714223,"OR1E1"
"ILMN_1792256",0.659991695715024,4.64869677480329,5.86603451619503,2.26550759035596e-07,0.00117062553039676,6.70665319516608,"TBX2"
"ILMN_2358628",0.509662458122864,4.65935402768506,5.75452262154627,3.45029668607558e-07,0.00145423532048492,6.32831035409957,"ADK"
"ILMN_1718770",0.645056515319539,4.81646708833572,5.73220919113751,3.7525021978129e-07,0.00145423532048492,6.25278046600105,"MAMSTR"
"ILMN_1710329",0.652624900736038,4.78645143074155,5.65271194579149,5.05792000354979e-07,0.0017423410430006,5.98419949598835,"MYEF2"
"ILMN_2071405",0.834364361593132,4.69031590431067,5.61024358993987,5.93005030424275e-07,0.00183849349582438,5.8410647692264,"FBXL3"
"ILMN_1745038",0.636316804727679,4.78412652715188,5.5836261634476,6.55080360892439e-07,0.0018463142207953,5.75148189143503,"TAS2R4"
"ILMN_1900931",0.453152735454103,4.6708258227784,5.46359037632686,1.02478018678943e-06,0.00264125592973712,5.34879181769911,NA
"ILMN_1674460",0.597495096682877,4.63846812366398,5.44269356747964,1.10751627541149e-06,0.00264125592973712,5.27891650814095,"ATP2A1"
"ILMN_1758055",-0.783980429518885,6.68089872095131,-5.38900921247422,1.3515012407643e-06,0.00280615641107946,5.09973317849943,"YIF1B"
"ILMN_2210934",-1.03512335182764,6.49709683113911,-5.37977998548504,1.39848516294993e-06,0.00280615641107946,5.06897726169641,"NR3C2"
"ILMN_1802804",0.692966973966098,4.66768191338552,5.37034173466078,1.44819864455928e-06,0.00280615641107946,5.03753984041209,NA
"ILMN_1891857",-0.688980819024208,6.82140941563568,-5.29848667292337,1.8883227270836e-06,0.00344374526516311,4.79871266307165,"RAB2A"
"ILMN_1763712",0.554632191520592,4.61344869436208,5.27723367700282,2.04210776968645e-06,0.00351730373242162,4.72825132923637,"FOXA2"
"ILMN_1766955",0.726471669151859,4.78002789669414,5.23025936477186,2.4271142634387e-06,0.0036090257455281,4.57281342710715,"VCAM1"
"ILMN_2193706",-0.615120413208486,4.99223288746172,-5.22347430420522,2.48833360509545e-06,0.0036090257455281,4.5503963401928,"HRK"
"ILMN_1764402",0.505650128496686,4.73077143533557,5.22095230340501,2.51147417985552e-06,0.0036090257455281,4.54206619176167,"EDDM3B"
"ILMN_1903157",0.789635976971656,4.84067714694422,5.21563107410357,2.56099623912583e-06,0.0036090257455281,4.52449425111899,NA
"ILMN_2207562",0.870160216030965,5.00004464157219,5.20041270770056,2.70799252638789e-06,0.00365025618676539,4.47427006384637,"AP1AR"
"ILMN_1709799",0.658240583520356,4.83709592532608,5.14906363389296,3.26792830309914e-06,0.00422148254920761,4.30514451986649,"MPIG6B"
"ILMN_1754132",0.495563548486826,4.70220153430486,5.09660028727171,3.95738821802175e-06,0.00479788134856128,4.13290404683746,"LINC01973"
"ILMN_2168747",0.591111689944764,4.6819250173848,5.07935254025641,4.21387337804833e-06,0.00479788134856128,4.07640472382411,"GSTA2"
"ILMN_1664216",-0.772488528274454,6.20871999592534,-5.07771426993368,4.23906859176758e-06,0.00479788134856128,4.07104145831195,"NKIRAS1"
"ILMN_1678828",0.512227217937533,4.66779565820698,5.07020915211531,4.35639624619803e-06,0.00479788134856128,4.04647904344691,"KRTAP22-1"
"ILMN_1665425",0.544820427023457,4.6475297690037,5.05613978386981,4.58500271109348e-06,0.00479788134856128,4.00046619159649,"RPRM"
"ILMN_1708004",-0.970669225779569,5.63365594517754,-5.05270008506788,4.64266169263744e-06,0.00479788134856128,3.98922344070327,NA
"ILMN_1662161",-0.583464500947347,7.01756278599942,-5.0380744219908,4.89588520652894e-06,0.00489635900187151,3.94144793937918,"TBC1D13"
"ILMN_1721564",0.658814333139291,4.72154248012056,5.01919529563482,5.24288935875724e-06,0.0049985929002909,3.87984801022996,"FANCD2OS"
"ILMN_1709356",0.572468460479812,4.72342234197412,5.0130873317643,5.36024266328919e-06,0.0049985929002909,3.85993556249795,NA
"ILMN_1664855",0.507715933710313,4.65734703643171,4.99924190199632,5.63588908575268e-06,0.0049985929002909,3.81482936358428,"PPP1R14C"
"ILMN_2383591",0.706793362202971,4.67577957002865,4.99889229312644,5.64302653001908e-06,0.0049985929002909,3.8136909531937,"PALM2AKAP2"
"ILMN_1808970",0.647882625319105,4.77412978864778,4.97662440642873,6.11639092652132e-06,0.00526740188597057,3.74123861338272,"MORC1"
"ILMN_1678968",0.530418037916861,4.71002717563663,4.94917625456307,6.75374190448154e-06,0.00560605237563326,3.65208824327311,"GEM"
"ILMN_2252621",0.541519408764157,4.70594096483534,4.94055778984527,6.96698527041046e-06,0.00560605237563326,3.62413204389747,"ACOT7"
"ILMN_2298611",0.523295699513594,4.67935791971107,4.93719010803543,7.05209310872165e-06,0.00560605237563326,3.61321284500322,"C10orf53"
"ILMN_2041046",-0.592181738992724,6.99654888497267,-4.92359517037234,7.4061520560309e-06,0.00574032330482815,3.56916054829023,"CKS1B"
"ILMN_1805665",0.575651764637864,4.63707550809212,4.89560449137235,8.19089619857084e-06,0.00606638164680358,3.47859988170517,"FLRT3"
"ILMN_2414848",-0.790651913649714,6.62201345664291,-4.89467953941026,8.21817337566527e-06,0.00606638164680358,3.47561052334053,"TBRG4"
"ILMN_1793578",-0.696042734530778,5.11265986721966,-4.87991529757324,8.66582394754342e-06,0.00617773717983072,3.4279220121687,"ZFP37"
"ILMN_2138745",0.516486267483701,4.64418906741133,4.87666448617356,8.76755268562887e-06,0.00617773717983072,3.4174290323153,"ARMH4"
"ILMN_1828389",0.77199828445332,4.73738226122756,4.86819677677847,9.03806198275106e-06,0.0062268230144718,3.39010910344731,NA
"ILMN_1791531",0.549393530450741,4.63777398711741,4.85344381896997,9.52902699886576e-06,0.00642235704447468,3.34255292103271,"FA2H"
"ILMN_1898311",-0.552029650281577,5.20623769269016,-4.83081750793633,1.03331853821837e-05,0.00681616481710299,3.26972231369125,NA
"ILMN_1704537",-0.771582602102916,6.67712641456404,-4.81302625365068,1.10118386141191e-05,0.00711250067819861,3.21254561397896,"PHGDH"
"ILMN_1813690",0.643453696526572,4.68323130381419,4.80634882172695,1.12776569916553e-05,0.00713553468800592,3.19110678594071,"HTR1A"
"ILMN_2103739",0.547884107532151,4.62971243613492,4.78462183903111,1.21867849531313e-05,0.00755653787803862,3.12142855345317,"OOEP"
"ILMN_1693555",0.688243892772199,4.70808891896613,4.7777600685965,1.24885302936879e-05,0.00759180205284719,3.09944830340471,"ZC3H14"
"ILMN_1693985",0.461184058693862,4.66995236688084,4.76655999836488,1.29968281102437e-05,0.00774885888272858,3.063597605783,"JPH1"
"ILMN_1790062",-0.424928869205609,7.19408873815578,-4.73884746983909,1.43431118948934e-05,0.00839017920900717,2.9750335993168,"OTULIN"
"ILMN_1688489",0.533788895381766,4.77506433239873,4.72920198278078,1.4842963817327e-05,0.00850267729255736,2.94425636153756,NA
"ILMN_1736954",-0.721650629222738,5.61168913387367,-4.7246649603015,1.5083935460783e-05,0.00850267729255736,2.92978806275691,NA
"ILMN_2360054",0.771592800146911,4.85863149510578,4.71667170413122,1.55178152857774e-05,0.00859105048758849,2.90431152846178,"DDR1"
"ILMN_1773964",-0.512268345270731,7.52530831646952,-4.68359696799386,1.74465159306438e-05,0.00907139496703122,2.79907859257369,"H1-10"
"ILMN_2194158",0.436039211218234,4.72065136270698,4.68106026779683,1.76037542899663e-05,0.00907139496703122,2.79102003240684,"ADAM29"
"ILMN_1651430",0.757871403918676,4.7083692091971,4.67744491003501,1.78302493052084e-05,0.00907139496703122,2.77953787845123,"CTRB2"
"ILMN_1748827",-0.681263939635921,7.64398247464327,-4.67460726317699,1.80100145116523e-05,0.00907139496703122,2.77052822111004,"TMEM238"
"ILMN_1708747",0.636057487663305,4.7433746273635,4.67430607777902,1.80291982704863e-05,0.00907139496703122,2.76957207485445,"OR6C4"
"ILMN_1656684",0.681485987676491,4.66961305561063,4.67255645841973,1.81410343500931e-05,0.00907139496703122,2.76401821307336,"CCR3"
"ILMN_1783040",0.410075358706093,4.6141934413496,4.6533908174446,1.94113568748315e-05,0.00953224136724738,2.70323606901249,"C18orf63"
"ILMN_2251963",0.663639746283379,4.68319753986933,4.64545291535747,1.99625745042005e-05,0.00953224136724738,2.67809185242106,"PCDHGC3"
"ILMN_1664592",0.557958499499217,4.70971432694027,4.64321547616228,2.0120687317748e-05,0.00953224136724738,2.67100771460206,"STUM"
"ILMN_2289576",0.522139036429537,4.66648676603146,4.63961689242507,2.03775567225718e-05,0.00953224136724738,2.65961691358714,"VWA1"
"ILMN_1788377",0.413072317340332,4.6322839282585,4.63259944774304,2.08877105329932e-05,0.00953224136724738,2.63741474924292,"COL27A1"
"ILMN_1912333",-0.714451375272901,5.77626037141518,-4.63233184728331,2.09074093788608e-05,0.00953224136724738,2.63656837737336,NA
"ILMN_1798311",-0.411909354770489,4.7566826635685,-4.61600165143351,2.21444730568933e-05,0.00983234987431941,2.58495756474397,"MBTPS2"
"ILMN_1811616",-0.699421855578308,6.66055187567147,-4.61529057844402,2.21999319808521e-05,0.00983234987431941,2.58271198557184,"EEPD1"
"ILMN_1704598",0.569675316288378,4.79599429161821,4.60857184707225,2.27306851472e-05,0.00986767016731969,2.5615013046002,"HYAL4"
"ILMN_1674337",-0.964077069936023,6.71155952355575,-4.60625898429956,2.29162420426093e-05,0.00986767016731969,2.55420272608847,"FKBP2"
"ILMN_1662419",0.580658894981123,4.74591882093107,4.60057153278655,2.3378846297525e-05,0.00992896399674202,2.53626170607607,"COX7A1"
"ILMN_1667577",-0.678546202630089,6.7797712363036,-4.59450313392595,2.38824849305727e-05,0.0100057929770614,2.51712931821385,"LCMT2"
"ILMN_1884003",-0.37973111581668,4.74706535292235,-4.58680842666025,2.45363399520553e-05,0.0101426686337809,2.49288490937202,NA
"ILMN_1680687",-0.520468329258044,6.24571760581224,-4.58113750173232,2.50293717632812e-05,0.0102103370102238,2.47502806831266,"NSF"
"ILMN_1833009",-0.526797628801437,4.99593410193382,-4.57050518574572,2.59799277256491e-05,0.0104604636269909,2.44157399095894,NA
"ILMN_1729905",0.714336275197978,4.7068270049685,4.56483807422607,2.65008754826344e-05,0.0105334184947194,2.42375628275685,"GAL3ST1"
"ILMN_1704253",-0.846897014211687,6.38070611827804,-4.54240036493679,2.86653165988516e-05,0.0111004849756079,2.35330434960738,"ILRUN"
