"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1698774",0.861737789667634,4.87880441417717,8.24957763204369,2.34404180860035e-11,7.26723281920367e-07,14.6432158339629,NA
"ILMN_1680248",0.472917962916999,4.62644438174232,7.61395252801047,2.72644059589135e-10,4.22639188972098e-06,12.5180495630974,NA
"ILMN_1667433",0.459170815593358,4.66337721874803,6.16715864325497,7.21845692059608e-08,0.000639823109583749,7.62522104597309,"HMGB3"
"ILMN_1915908",0.478875233353456,4.65026685497511,6.13197088328064,8.2549831898042e-08,0.000639823109583749,7.50674289874112,NA
"ILMN_1719949",0.784171340520604,4.82208551672467,5.91596830022975,1.87552497635071e-07,0.00116293801683602,6.7815209655949,NA
"ILMN_1879153",0.455307603489039,4.7527269517407,5.85517507733754,2.3604191578349e-07,0.00120634231162758,6.57814995619117,NA
"ILMN_1828438",0.558749143685731,4.89164886415509,5.75649746155993,3.42474033225706e-07,0.00120634231162758,6.24885318448222,NA
"ILMN_2383383",0.406665571357436,4.61499945484557,5.75141165360437,3.49093903259401e-07,0.00120634231162758,6.23191022334564,"PIR"
"ILMN_1836733",0.497800959199906,4.69718229377626,5.75057535173157,3.50194523260594e-07,0.00120634231162758,6.22912443235162,NA
"ILMN_1759287",0.440480097052012,4.65951558335655,5.65857967082655,4.94785258865097e-07,0.00141360521201048,5.92318213524506,NA
"ILMN_1850767",0.399920969318266,4.66434015743497,5.63778280520801,5.34899865650966e-07,0.00141360521201048,5.85416348795898,NA
"ILMN_1685544",0.445895160246102,4.74192094857058,5.63173907647932,5.47149067642671e-07,0.00141360521201048,5.83411648756754,"MPPED1"
"ILMN_1813100",0.560374396213538,4.73306671958177,5.5892500424271,6.41451149823225e-07,0.00152976230753611,5.69331530375502,"ARFGEF3"
"ILMN_1756130",0.408722216509106,4.64624717005512,5.53741697404061,7.78455340613225e-07,0.00172388935178799,5.52187936412585,NA
"ILMN_2076415",0.5487288596492,4.71664358568104,5.4568527078394,1.05076709323507e-06,0.0021717954794378,5.25617624221977,"TBCCD1"
"ILMN_2094424",0.386729969771797,4.60560213141738,5.23669567606556,2.37041307569169e-06,0.00459311978660435,4.53533544724285,"TNRC6C"
"ILMN_1861567",0.408867426420306,4.64623453984219,5.15705494763393,3.17384555152401e-06,0.00578816080199404,4.27667577278295,NA
"ILMN_2079322",-0.552084903975701,4.76173048906283,-5.10728293933701,3.80629194973729e-06,0.00655591496209473,4.1156450285721,NA
"ILMN_1720207",0.54863983023919,4.78971035455869,5.05742231032545,4.5636845191562e-06,0.00744673216565261,3.95482774611362,"GMPPB"
"ILMN_1737312",-0.693120286409022,5.47288676700297,-4.96218749529865,6.44388604780475e-06,0.00998898995700454,3.64912156909099,"SLC25A17"
"ILMN_2277252",0.426752727801394,4.71754427650437,4.93974718601127,6.98737826650336e-06,0.0103156994474478,3.57737737098782,"PPFIBP1"
"ILMN_1710284",0.441825114544813,4.72587937397124,4.91943623960004,7.51790583790578e-06,0.0105944379405724,3.51253931301688,"HES1"
"ILMN_1847758",0.337972273547566,4.68534847242996,4.88272194333108,8.57892585719613e-06,0.0113737725159425,3.39557865802662,NA
"ILMN_1700994",0.745321295519833,6.5156737745142,4.87229324936931,8.90619014303413e-06,0.0113737725159425,3.36241352100995,"KREMEN1"
"ILMN_1816142",0.372443892650985,4.59824343671816,4.86411054943378,9.17150962482866e-06,0.0113737725159425,3.33640909133191,NA
"ILMN_2347234",-0.606214366155799,7.45938416781301,-4.82587819550278,1.05173774044829e-05,0.0121138024746299,3.2151203889774,"PRMT1"
"ILMN_1867071",0.413965308039941,4.763056094047,4.82179971804022,1.0671888367765e-05,0.0121138024746299,3.20220270999562,NA
"ILMN_1833121",0.398338555442244,4.70210914615446,4.81484669445217,1.09404402570602e-05,0.0121138024746299,3.1801899387384,NA
"ILMN_1667125",0.695734208621286,5.07420017745689,4.80020995092444,1.15275724627353e-05,0.0123237699676615,3.13389000198316,"RPS6KL1"
"ILMN_1708029",-0.850576456284786,6.38612001568098,-4.78305051964676,1.22552472162421e-05,0.0126649809815051,3.07967791513678,"TMEM8B"
"ILMN_1815480",0.388291679093299,4.66017567482552,4.7456694894673,1.39995575926779e-05,0.0136584777821269,2.96183641657944,"NAT8"
"ILMN_2316878",-0.790174738599704,6.25812407989813,-4.74370390527408,1.40977095451427e-05,0.0136584777821269,2.95564989453376,"PTPRO"
"ILMN_1886231",-0.346181673268521,4.75801517831189,-4.73252293116411,1.46689710065302e-05,0.0137812760034987,2.92047760613571,NA
"ILMN_1828367",0.616131551535772,4.94532040126957,4.68247129094351,1.75161213472018e-05,0.015518046634125,2.76342914080665,NA
"ILMN_1812659",0.379485616988628,4.75973865476461,4.67157427480057,1.82041125086493e-05,0.015518046634125,2.72932530105314,"ZNF705G"
"ILMN_1718200",0.762832180123121,5.09741427233053,4.6649651603916,1.86341727874662e-05,0.015518046634125,2.70865663858902,NA
"ILMN_1669142",-0.766178465113497,5.99668930180634,-4.65664300539453,1.91898393328393e-05,0.015518046634125,2.68264757551516,"NAA15"
"ILMN_1783743",0.595964292073346,8.70939269616676,4.65349308529634,1.94043531822796e-05,0.015518046634125,2.67280809301807,NA
"ILMN_1843708",0.368780770466641,4.62788100312101,4.65179718112873,1.95208147189264e-05,0.015518046634125,2.66751167278812,NA
