"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1652685",0.577010202614699,4.76560127556235,6.10842074814788,9.02993659231301e-08,0.0027995512417148,7.24336296913746,NA
"ILMN_1663002",0.53401724739945,9.18320466287456,5.90232264728053,1.97495383951676e-07,0.00306147469432691,6.56982501510893,"STOML2"
"ILMN_1727364",0.559913360815185,4.82287858393301,5.74201072313841,3.61665620539627e-07,0.00373757307786335,6.04832251865871,"TRIM7"
"ILMN_1855401",0.502615926488172,4.72630783080028,5.63326906002787,5.44022186316941e-07,0.00421657996059603,5.69605445288239,NA
"ILMN_1766171",0.927386617180104,7.12577457973425,5.55375818571531,7.32403427818774e-07,0.00454134069453309,5.43934156068162,"SNF8"
"ILMN_1679319",0.406223212459706,4.6894355086309,5.28235586790434,2.0039521339798e-06,0.010354754668296,4.56951312464023,"PSIP1"
"ILMN_1761519",-0.430270729505476,11.6791112844191,-5.11287663081517,3.72945142439346e-06,0.015177548976499,4.03227149682875,"EIF4G2"
"ILMN_1748783",0.990298872702197,5.21067674149788,5.09945748031176,3.916407825436e-06,0.015177548976499,3.98995431505606,NA
"ILMN_1821883",0.809480046088917,4.91807430589383,4.95480674033788,6.61790078731046e-06,0.0227971975676651,3.53604013557218,NA
"ILMN_1732873",-0.571429298591381,4.88998777462274,-4.86877462162968,9.01934499577177e-06,0.0248233281072698,3.26813725862897,"IPPK"
"ILMN_1664563",-0.435641873321287,4.64986827402156,-4.83449237370951,1.01981992153224e-05,0.0248233281072698,3.16183994217583,"LINC02145"
"ILMN_1853711",0.543433202323221,4.89493343978104,4.81823966406863,1.0808574482977e-05,0.0248233281072698,3.11153987456382,"SGK1"
"ILMN_1804923",0.768138282994759,5.2179171338068,4.81515978708656,1.09282064169403e-05,0.0248233281072698,3.10201493960778,NA
"ILMN_1849285",0.520429720690857,4.92538652940267,4.8080473720939,1.12094504887197e-05,0.0248233281072698,3.08002727832081,NA
"ILMN_1878800",0.942443404260487,5.30749359161759,4.78451246852215,1.21915380728065e-05,0.0251982836580814,3.00735497406502,NA
"ILMN_1742578",-0.377136114453122,9.74714628440458,-4.76337640691441,1.31449684459836e-05,0.0254708410456768,2.94220200114518,"MKLN1"
