"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1705663",-0.903679337580581,7.62392330495451,-5.226989144057,2.45643299074884e-06,0.0563526796105884,4.09706884357079,"DMXL2"
"ILMN_2408877",-0.800567467914398,6.74692496604221,-5.10577507766026,3.82727038589478e-06,0.0563526796105884,3.73402468474201,"KMT2C"
"ILMN_2115453",0.409305201991607,4.73826865727105,5.00835388354037,5.45295741804874e-06,0.0563526796105884,3.44395079989696,"STARD7-AS1"
"ILMN_1695509",-0.711082032436509,9.09481315513465,-4.84207389029668,9.92514735337123e-06,0.076927335849142,2.95277595456398,"PTPN12"
"ILMN_1909207",-0.307000026280836,4.62544298251587,-4.70857734838125,1.59696110508904e-05,0.084054061969908,2.56242287035708,NA
"ILMN_2228732",-0.585434176736242,8.96982849250472,-4.67809287014812,1.77894475089574e-05,0.084054061969908,2.47382400238636,"CCNG2"
"ILMN_1669930",0.452519080253468,4.71758083325683,4.63200823820569,2.09312554142495e-05,0.084054061969908,2.34028596695474,"LGALS8"
"ILMN_1783702",-0.690816032622195,6.85982380963582,-4.62190463315525,2.16892718691502e-05,0.084054061969908,2.31107479583919,"MORC3"
"ILMN_1674506",-0.50021904385979,7.57708879007358,-4.46794227666442,3.71552687859403e-05,0.110718955108044,1.86901201110077,"MED23"
"ILMN_1764168",-0.687361352638035,8.75326860347395,-4.43500109065939,4.16506845550018e-05,0.110718955108044,1.77521061492654,"STXBP3"
"ILMN_1890565",-0.472511002900663,4.78165603263188,-4.42350592164723,4.33406647344144e-05,0.110718955108044,1.74254519159375,NA
"ILMN_1761334",-0.719486391903311,6.58804125697659,-4.4187439306356,4.40601346689766e-05,0.110718955108044,1.72902354986745,"ARID4B"
"ILMN_1780236",0.525058062661706,8.0622593098916,4.38566121880442,4.93891674505958e-05,0.110718955108044,1.63525440101141,"PMM1"
"ILMN_1660754",-0.587508453612311,5.30026535319322,-4.36288688715137,5.3416567964255e-05,0.110718955108044,1.57087702956088,"MIR17HG"
"ILMN_1750961",-0.578976684158343,8.76461784823193,-4.36206075748166,5.356850390674e-05,0.110718955108044,1.56854446202798,"TM6SF1"
"ILMN_1687519",-0.710415668142578,8.8569004902322,-4.32983579290221,5.98341031786549e-05,0.11593979380299,1.47770657224714,"SNAP23"
"ILMN_1760556",-0.567812091079106,9.93446503960915,-4.30333820260383,6.55142506285728e-05,0.11752806180015,1.40323357209267,NA
"ILMN_1726359",-0.367112935065191,9.05462408522673,-4.25863813044831,7.63031246462478e-05,0.11752806180015,1.27806112629167,"NECAP1"
"ILMN_1771026",0.417224118475961,9.07997532535045,4.25395856404701,7.75275278836314e-05,0.11752806180015,1.26499093360331,"GARS1"
"ILMN_1742260",-0.742599005052635,6.54199732774006,-4.2485942165572,7.89545479437969e-05,0.11752806180015,1.25001610617528,"ITPRID2"
"ILMN_1735367",-0.59418953480265,11.0940211419178,-4.23720104294654,8.20703370808087e-05,0.11752806180015,1.2182399325383,"HSD17B11"
