"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1755537",1.13866627849372,7.60234142872998,10.9524820426729,9.59399376762683e-16,2.97442588777734e-11,21.6164825094089,"EIF1AY"
"ILMN_1685690",0.630928431720957,6.24280998780353,6.40504566519999,2.90520045137226e-08,0.00045034964796947,7.96551937729801,"KDM5D"
"ILMN_2228976",0.681281578560303,6.39024821632332,6.19393197654709,6.51734605459787e-08,0.000600493530606303,7.29318174341221,"EIF1AY"
"ILMN_1854924",0.738749253998426,4.87240146373847,6.09446777734476,9.52271281638972e-08,0.000600493530606303,6.97695581309504,NA
"ILMN_1849433",0.457705939366631,4.62403081885161,6.09004423820817,9.68444232181245e-08,0.000600493530606303,6.96290264388786,NA
"ILMN_1783142",0.916285099258714,8.17833184341087,5.73680435236398,3.68819734723873e-07,0.00190309934512862,5.8446657774299,"RPS4Y1"
"ILMN_1764573",-0.657119239298257,6.68410312928583,-5.69616551545775,4.29690527236086e-07,0.00190309934512862,5.71664332487195,"XIST"
"ILMN_1884579",0.468451477497462,4.78318086659706,5.35356616279763,1.54089673007311e-06,0.00597077688163948,4.64447977159271,NA
"ILMN_1794407",0.487550169731296,4.7424927681891,5.32171431611596,1.73328361560995e-06,0.00597077688163948,4.5455522370843,"FAM197Y1"
"ILMN_1850574",0.537294776493747,4.8598071252754,5.28131728719042,2.01163141753533e-06,0.00617820478709369,4.42029570674831,NA
"ILMN_1808591",0.788934870079516,7.03822874109835,5.25797797096415,2.19205408050932e-06,0.00617820478709369,4.34803985722402,"UBE2S"
"ILMN_1733559",-1.23188074710669,10.0168463340866,-5.18055829228869,2.91231017405618e-06,0.00752419602718863,4.10896455026614,"RNA28SN5"
"ILMN_2188822",0.459888950103839,4.63812229636443,5.10310247267369,3.86473316806145e-06,0.009216794031493,3.87076169950804,NA
"ILMN_1708351",0.591703018148817,4.95834720963696,4.78863259694152,1.20137291607005e-05,0.0251461995925562,2.91517724913188,NA
"ILMN_1705177",0.356092539496921,4.68268673414752,4.78509279273849,1.2166338544281e-05,0.0251461995925562,2.90453711891192,NA
"ILMN_1728785",0.368248992427888,4.71228997052168,4.71132081870969,1.58150589208017e-05,0.0295812536480812,2.68343626475371,"ADGRF5"
"ILMN_1878350",0.427767847426928,4.70813709281863,4.70418018432093,1.62204080901003e-05,0.0295812536480812,2.66210198701976,NA
"ILMN_1894922",0.566595461470722,4.90893804147635,4.67344138773148,1.80843850086197e-05,0.0311483438012353,2.5704008814605,NA
"ILMN_1669118",0.49746624166272,4.88817815907231,4.64247503309582,2.01732809456546e-05,0.0329174857451647,2.47825101303634,"FUNDC2"
"ILMN_1782533",0.836952219158099,4.94343684209797,4.62432430867114,2.15053327359376e-05,0.0333364915406137,2.42434723755994,NA
"ILMN_1861059",0.680810627765572,4.95482032442004,4.56051459727876,2.69051477015404e-05,0.0397209663900408,2.235502913744,NA
"ILMN_1699758",0.591413732283157,4.86901026859439,4.50649478345264,3.24922403563717e-05,0.0457889512622087,2.07645474052612,"ZNF391"
"ILMN_1687043",0.425066539069726,4.72940597774964,4.34168640182034,5.74513377236583e-05,0.0740745092804669,1.59616125808711,NA
"ILMN_1736461",0.474963072287618,4.81019217198302,4.33680227779422,5.84219931660428e-05,0.0740745092804669,1.58204649943576,NA
"ILMN_1849726",0.753642081325872,5.14871462244604,4.31953417861937,6.19831737299726e-05,0.0740745092804669,1.53219982796467,NA
"ILMN_1719415",-0.418060469460871,4.82105935168541,-4.31888541341532,6.21209960743199e-05,0.0740745092804669,1.53032881612878,NA
"ILMN_1670832",0.460539686649596,4.69244402946247,4.29205426518898,6.80890086180752e-05,0.0758486379995673,1.45305992744159,NA
"ILMN_1878097",0.431432193864605,4.68987116581059,4.29028373976583,6.85018180172204e-05,0.0758486379995673,1.4479687999758,NA
"ILMN_1688877",0.411137273101995,4.74241960450291,4.25512936523162,7.72194138705595e-05,0.0825528789044467,1.34708168903972,"DIRAS3"
"ILMN_1727005",0.505084730877391,4.851859604105,4.20838645621838,9.04918005779889e-05,0.0930687423217187,1.2135333369608,"KRT17P5"
"ILMN_1884398",0.460513737997636,4.76498345315848,4.19996044250666,9.3108724465483e-05,0.0930687423217187,1.18953309573543,NA
"ILMN_1801184",0.592340497643308,5.00824208047214,4.19072369980787,9.6061663525949e-05,0.0930687423217187,1.16324974196379,NA
"ILMN_1867214",0.599948594825806,4.94265326570331,4.1804928802171,9.94382753911298e-05,0.0934207530894302,1.13416977948048,"LINC01538"
"ILMN_1888939",0.307310479380984,4.63616993441037,4.15471833382233,0.000108462318793379,0.0988772679178553,1.06105911285149,NA
"ILMN_1729115",0.934718448134501,6.0946928728613,4.1461746307747,0.000111624822666353,0.0988772679178553,1.03687247787683,"UBE2S"
"ILMN_1913059",0.627665727465023,4.96184316560555,4.12468736301058,0.000119977835565943,0.103324245445859,0.976150120872012,NA
"ILMN_1667087",0.567930499003779,4.75582534482479,4.10845297272454,0.000126686537740229,0.103358155172129,0.930374250824666,NA
"ILMN_1717252",0.754976831311113,4.96378666444468,4.10100461666434,0.000129884526283906,0.103358155172129,0.909401852274492,"FBXL21P"
"ILMN_1725018",-0.372016302860134,4.92791440847252,-4.10069613115841,0.000130018645025096,0.103358155172129,0.90853365056029,NA
"ILMN_1669424",0.538314260234509,13.2447110616004,4.06940140559422,0.000144342861233574,0.111512979527886,0.820625684144441,"YBX1"
"ILMN_1783656",0.54244390188323,4.80862850944218,4.06296856067661,0.000147470637055876,0.111512979527886,0.80259708011103,"ODF4"
"ILMN_1675165",0.546413336678515,4.95945993171712,4.04303138266351,0.00015758581458792,0.113682919772772,0.746812172112614,NA
