"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1680948",0.459425839198131,4.78413934190999,4.74925649237274,1.38221597408108e-05,0.188720587866893,1.92020722450319,"LMOD1"
"ILMN_1789109",-0.610060828751442,4.95637979436752,-4.62780822352169,2.12431645217774e-05,0.188720587866893,1.61761748042663,NA
"ILMN_1780236",0.543755059676116,8.0622593098916,4.54183193695037,2.87223298036227e-05,0.188720587866893,1.40487623704224,"PMM1"
"ILMN_1664563",-0.407441069068646,4.64986827402156,-4.52153675249603,3.08319678286911e-05,0.188720587866893,1.35484740009355,"LINC02145"
"ILMN_1761519",-0.37959980491534,11.6791112844191,-4.51075761961387,3.20130785086675e-05,0.188720587866893,1.32830667814939,"EIF4G2"
"ILMN_1844915",0.341777812028262,4.69851596782885,4.44436249004917,4.03219384564889e-05,0.188720587866893,1.16530547542155,NA
"ILMN_1742578",-0.350167184352087,9.74714628440458,-4.42274828767615,4.3454363056628e-05,0.188720587866893,1.11242485578245,"MKLN1"
"ILMN_1838300",0.338919863803463,4.71011144744322,4.35880202742771,5.41719325845489e-05,0.188720587866893,0.956522675065206,NA
"ILMN_1801184",0.582062979025683,5.00824208047214,4.35552958008177,5.47845463600954e-05,0.188720587866893,0.948566875001559,NA
"ILMN_2341343",0.363237836643518,4.69460996890952,4.29918207187309,6.64514041756287e-05,0.206019288365702,0.811932117817769,"AGTR1"
"ILMN_1855401",0.379242110324391,4.72630783080028,4.25050766154013,7.84426365915013e-05,0.208269179610018,0.694457293500919,NA
"ILMN_1866524",0.341532048169356,4.71684212295087,4.22683616783627,8.50082156375623e-05,0.208269179610018,0.637517934010615,NA
"ILMN_1870085",0.491036690651401,4.98343104204158,4.21888681519812,8.73302369103065e-05,0.208269179610018,0.618425207443971,NA
"ILMN_1767178",-0.418660004640758,4.72717387079572,-4.18689406192162,9.73123994223596e-05,0.215498308520815,0.541732853316085,"ARHGAP27P1"
"ILMN_1651712",0.608870898681735,5.16767002639549,4.14156269964629,0.000113368848760037,0.222210776170213,0.433478757781204,"RBM11"
"ILMN_1673024",-0.743345326193232,5.84810614837624,-4.13618921605201,0.000115434119876931,0.222210776170213,0.420679283243907,"RBM15B"
"ILMN_1768139",-0.287726986532689,4.69246086116271,-4.1106519463255,0.000125757042417455,0.222210776170213,0.35994676748563,"RNU12"
"ILMN_2198185",0.592358986987261,6.89461263926355,4.07315297735446,0.000142548456464412,0.222210776170213,0.271060392224229,"TMEM187"
"ILMN_1764654",0.421158525320751,4.73538595868159,4.06194418875094,0.000147974710210027,0.222210776170213,0.244560300309058,"FAM25C"
"ILMN_1707506",-0.400210837558816,10.5499480076171,-4.05269373930442,0.000152602662350938,0.222210776170213,0.222714337290869,"YTHDC1"
"ILMN_1663002",0.365279665287919,9.18320466287456,4.03731986470322,0.000160604890446338,0.222210776170213,0.186455959758387,"STOML2"
"ILMN_1911213",-0.365537018405267,4.74040736742819,-4.03325997060511,0.000162784792181304,0.222210776170213,0.176891158081728,NA
"ILMN_1738883",0.608670135515256,6.70004230220765,4.02946160344043,0.000164850106503077,0.222210776170213,0.16794637932281,"RNF135"
"ILMN_1708778",-0.388809536593581,4.70599491380655,-4.01659232989059,0.000172037254346829,0.222236291521447,0.137668558511773,"ASS1"
"ILMN_1890565",-0.421098309755965,4.78165603263188,-3.9421957485988,0.000219892981783415,0.272693684569248,-0.0365005933594285,NA
"ILMN_1756899",0.390664918030446,4.82308356806266,3.88519775527933,0.000264987235495357,0.309461875107957,-0.168909604279903,NA
"ILMN_2414826",-0.579453465845188,7.02427170570098,-3.88001204659839,0.000269505229426664,0.309461875107957,-0.18091072441716,"VPS13A"
"ILMN_1697418",0.28675967671133,4.66311544950694,3.85922905083235,0.00028836659056739,0.319293907405742,-0.228930686173847,"RBFOX2"
"ILMN_1680840",-0.310547560984482,4.81841731992748,-3.84275001293293,0.000304217244825868,0.324129265081729,-0.266917304872294,NA
"ILMN_1657836",0.408726471064893,5.05535834253436,3.83333728181054,0.000313643129776211,0.324129265081729,-0.288579444453465,"PLEKHG2"
"ILMN_1912737",-0.612985405216562,7.28766673437921,-3.77913257298281,0.000373624364801065,0.373660521997659,-0.41281274885707,"HIPK2"
"ILMN_1708192",0.439071052895253,5.05037921439871,3.74090642537082,0.000422381957732522,0.409222119861918,-0.499889847907763,NA
"ILMN_1748783",0.721560760621732,5.21067674149788,3.71561406326922,0.000457932181101423,0.415568364352189,-0.557256011158128,NA
