"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1894969",0.632446977509149,4.84848700531864,6.29179128063278,4.48361447341167e-08,0.00139005499519182,7.25628636524532,NA
"ILMN_1780236",0.710917438174441,8.0622593098916,5.93809191800232,1.72476065025714e-07,0.0026736377219961,6.17876584047427,"PMM1"
"ILMN_1733559",-1.29280000257901,10.0168463340866,-5.75032814913574,3.5052051282442e-07,0.00294902273190559,5.60904403816549,"RNA28SN5"
"ILMN_1734544",-0.730363290278889,7.79367577133529,-5.72852757240416,3.80482241319304e-07,0.00294902273190559,5.54304664348585,"WTAP"
"ILMN_1748783",1.08190795275468,5.21067674149788,5.57119043024775,6.86242034064059e-07,0.0042551123564176,5.06787250361383,NA
"ILMN_1715705",0.604284358631192,7.90624283883911,5.39821180358489,1.30620370602704e-06,0.00674937224965939,4.54817853770766,"SSNA1"
"ILMN_2188822",0.426240599298825,4.63812229636443,5.00252785820606,5.5692362360447e-06,0.024666147289442,3.37366409340203,NA
"ILMN_1766171",0.824676896980944,7.12577457973425,4.93866957138626,7.01457934288749e-06,0.0271841254209426,3.18640145401473,"SNF8"
"ILMN_1808591",0.679961816344469,7.03822874109835,4.79308933186443,1.18242511885369e-05,0.0407319177331344,2.76231649816364,"UBE2S"
"ILMN_1743046",-0.693738483786,4.89797468876611,-4.73409508702326,1.4587299014836e-05,0.0435808280663128,2.59166222566918,"SERPINA13P"
"ILMN_1811560",0.587309780650904,8.49424110799113,4.71767545131848,1.54626684104584e-05,0.0435808280663128,2.54429482025285,"SUGP1"
"ILMN_2091978",0.543123557253236,4.88374700060488,4.60312732867205,2.31698470429437e-05,0.0513323687186282,2.21549706088423,"FREM2"
"ILMN_1790149",0.547492028276774,4.98580637787198,4.54669109138878,2.82385031168237e-05,0.0513323687186282,2.05461284315238,"HGF"
"ILMN_1912881",0.441639663890314,4.8308832421244,4.52762179631563,3.01840752815044e-05,0.0513323687186282,2.0004244286644,NA
"ILMN_1890565",-0.483323747537475,4.78165603263188,-4.5247315854658,3.04901326655132e-05,0.0513323687186282,1.99221919417826,NA
"ILMN_1835521",0.651520545485285,4.98357965937796,4.50877282032168,3.22353160074514e-05,0.0513323687186282,1.9469497396213,NA
"ILMN_1705534",0.488850543855272,4.81787234380448,4.50544924141678,3.26108269457562e-05,0.0513323687186282,1.93752984109594,NA
"ILMN_1732873",-0.527174326668317,4.88998777462274,-4.49170700414648,3.42092317233063e-05,0.0513323687186282,1.8986099732272,"IPPK"
"ILMN_1788095",-0.773271138637682,8.28803248912226,-4.484003952063,3.51383138009786e-05,0.0513323687186282,1.87681460960154,"SPRYD3"
"ILMN_1855401",0.399485120265219,4.72630783080028,4.47738929336241,3.59556977546378e-05,0.0513323687186282,1.85811074576366,NA
"ILMN_1842738",1.0152075697719,5.29761301751709,4.47036000548556,3.68446092786823e-05,0.0513323687186282,1.83824661840623,NA
"ILMN_1663815",0.463030498767557,4.86254111406077,4.46583496717132,3.74281209238627e-05,0.0513323687186282,1.82546592617059,"FAM180A"
"ILMN_1729115",0.950817712171497,6.0946928728613,4.4608480141452,3.80816205053849e-05,0.0513323687186282,1.81138664275372,"UBE2S"
"ILMN_1859259",0.523493990974071,4.85671715365769,4.40683483281957,4.59106693744722e-05,0.0593070201090317,1.65930794638669,NA
"ILMN_1725018",-0.37549832301471,4.92791440847252,-4.37781097268844,5.07428781306701e-05,0.0629272580274066,1.5779067019235,NA
