"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1733559",-1.27463831603442,10.0168463340866,-5.66954561729417,4.74846436947067e-07,0.0147216640846699,5.21223738729299,"RNA28SN5"
"ILMN_1766171",0.855982834731691,7.12577457973425,5.1261486710668,3.55318310827034e-06,0.0550796679528526,3.62041076336981,"SNF8"
"ILMN_1788095",-0.824930744982217,8.28803248912226,-4.78356495652388,1.2232791900161e-05,0.0850850041512642,2.63748747622053,"SPRYD3"
"ILMN_1743046",-0.689102850958698,4.89797468876611,-4.70246137041984,1.63194856407436e-05,0.0850850041512642,2.40791553182396,"SERPINA13P"
"ILMN_1719415",-0.428597126706896,4.82105935168541,-4.68311929179303,1.74760196131751e-05,0.0850850041512642,2.35336428691049,NA
"ILMN_1811574",-0.513341492864591,8.60580252905255,-4.66601242846131,1.8565370466059e-05,0.0850850041512642,2.30518270664205,"MAPK8IP3"
"ILMN_1675124",-0.757811634720065,9.76781555715314,-4.63963346560872,2.03763664087664e-05,0.0850850041512642,2.2310087649051,"DDX17"
"ILMN_1780236",0.552926736850527,8.0622593098916,4.61844035753399,2.19552957200953e-05,0.0850850041512642,2.1715261485088,"PMM1"
"ILMN_1808591",0.641056046193562,7.03822874109835,4.51884035585456,3.11233762393586e-05,0.101178926242887,1.89333188106186,"UBE2S"
"ILMN_1715705",0.503298611017801,7.90624283883911,4.49608278605531,3.36921625872221e-05,0.101178926242887,1.83009111500394,"SSNA1"
"ILMN_1734544",-0.570906569072321,7.79367577133529,-4.47784556771553,3.5898725564357e-05,0.101178926242887,1.77950165661938,"WTAP"
"ILMN_1729115",0.945746799786242,6.0946928728613,4.43705736620701,4.13552158080352e-05,0.105729913135984,1.66665086174772,"UBE2S"
"ILMN_1669424",0.551823375388578,13.2447110616004,4.41212824156755,4.50789861164047e-05,0.105729913135984,1.59788224695141,"YBX1"
