"dataset","feature_set","algorithm","genes_used","AUC_5fold10xCV"
"GSE1","GSE1GENES","glmnet",105,0.945
"GSE1","CAD","glmnet",105,0.67
"GSE1","GSE4GENES","glmnet",105,0.617
"GSE1","GSE2GENES","glmnet",105,0.609
"GSE1","GSE3GENES","glmnet",105,0.592
"GSE1","GSE5GENES","glmnet",105,0.573
"GSE1","GSE1GENES","nb",105,0.876
"GSE1","GSE3GENES","nb",105,0.593
"GSE1","GSE5GENES","nb",105,0.572
"GSE1","GSE2GENES","nb",105,0.56
"GSE1","CAD","nb",105,0.535
"GSE1","GSE4GENES","nb",105,0.51
"GSE1","GSE1GENES","pls",105,0.95
"GSE1","CAD","pls",105,0.614
"GSE1","GSE2GENES","pls",105,0.602
"GSE1","GSE3GENES","pls",105,0.583
"GSE1","GSE4GENES","pls",105,0.554
"GSE1","GSE5GENES","pls",105,0.505
"GSE1","GSE1GENES","rf",105,0.883
"GSE1","CAD","rf",105,0.631
"GSE1","GSE4GENES","rf",105,0.564
"GSE1","GSE5GENES","rf",105,0.561
"GSE1","GSE2GENES","rf",105,0.544
"GSE1","GSE3GENES","rf",105,0.532
"GSE2","GSE2GENES","glmnet",105,0.995
"GSE2","CAD","glmnet",105,0.769
"GSE2","GSE1GENES","glmnet",105,0.753
"GSE2","GSE5GENES","glmnet",105,0.721
"GSE2","GSE3GENES","glmnet",105,0.659
"GSE2","GSE4GENES","glmnet",105,0.626
"GSE2","GSE2GENES","nb",105,0.887
"GSE2","CAD","nb",105,0.676
"GSE2","GSE5GENES","nb",105,0.675
"GSE2","GSE1GENES","nb",105,0.626
"GSE2","GSE4GENES","nb",105,0.608
"GSE2","GSE3GENES","nb",105,0.592
"GSE2","GSE2GENES","pls",105,1
"GSE2","GSE5GENES","pls",105,0.719
"GSE2","GSE1GENES","pls",105,0.71
"GSE2","CAD","pls",105,0.701
"GSE2","GSE4GENES","pls",105,0.662
"GSE2","GSE3GENES","pls",105,0.659
"GSE2","GSE2GENES","rf",105,0.932
"GSE2","GSE5GENES","rf",105,0.685
"GSE2","CAD","rf",105,0.682
"GSE2","GSE1GENES","rf",105,0.638
"GSE2","GSE3GENES","rf",105,0.63
"GSE2","GSE4GENES","rf",105,0.628
"GSE3","GSE3GENES","glmnet",105,0.801
"GSE3","GSE1GENES","glmnet",105,0.722
"GSE3","CAD","glmnet",105,0.64
"GSE3","GSE5GENES","glmnet",105,0.575
"GSE3","GSE2GENES","glmnet",105,0.57
"GSE3","GSE4GENES","glmnet",105,0.542
"GSE3","GSE3GENES","nb",105,0.745
"GSE3","GSE5GENES","nb",105,0.602
"GSE3","GSE1GENES","nb",105,0.586
"GSE3","CAD","nb",105,0.569
"GSE3","GSE4GENES","nb",105,0.569
"GSE3","GSE2GENES","nb",105,0.524
"GSE3","GSE3GENES","pls",105,0.838
"GSE3","CAD","pls",105,0.636
"GSE3","GSE5GENES","pls",105,0.63
"GSE3","GSE2GENES","pls",105,0.597
"GSE3","GSE4GENES","pls",105,0.597
"GSE3","GSE1GENES","pls",105,0.596
"GSE3","GSE3GENES","rf",105,0.75
"GSE3","GSE5GENES","rf",105,0.576
"GSE3","GSE4GENES","rf",105,0.573
"GSE3","GSE1GENES","rf",105,0.57
"GSE3","GSE2GENES","rf",105,0.549
"GSE3","CAD","rf",105,0.536
"GSE4","GSE4GENES","glmnet",105,0.818
"GSE4","GSE1GENES","glmnet",105,0.604
"GSE4","GSE3GENES","glmnet",105,0.6
"GSE4","CAD","glmnet",105,0.572
"GSE4","GSE5GENES","glmnet",105,0.538
"GSE4","GSE2GENES","glmnet",105,0.526
"GSE4","GSE4GENES","nb",105,0.673
"GSE4","GSE3GENES","nb",105,0.615
"GSE4","GSE5GENES","nb",105,0.602
"GSE4","GSE1GENES","nb",105,0.558
"GSE4","GSE2GENES","nb",105,0.551
"GSE4","CAD","nb",105,0.501
"GSE4","GSE4GENES","pls",105,0.835
"GSE4","CAD","pls",105,0.573
"GSE4","GSE3GENES","pls",105,0.572
"GSE4","GSE1GENES","pls",105,0.571
"GSE4","GSE5GENES","pls",105,0.562
"GSE4","GSE2GENES","pls",105,0.538
"GSE4","GSE3GENES","rf",105,0.696
"GSE4","GSE4GENES","rf",105,0.694
"GSE4","GSE1GENES","rf",105,0.583
"GSE4","CAD","rf",105,0.577
"GSE4","GSE2GENES","rf",105,0.577
"GSE4","GSE5GENES","rf",105,0.577
"GSE5","GSE5GENES","glmnet",105,0.671
"GSE5","GSE1GENES","glmnet",105,0.564
"GSE5","GSE4GENES","glmnet",105,0.528
"GSE5","CAD","glmnet",105,0.512
"GSE5","GSE2GENES","glmnet",105,0.478
"GSE5","GSE3GENES","glmnet",105,0.477
"GSE5","GSE5GENES","nb",105,0.667
"GSE5","GSE3GENES","nb",105,0.527
"GSE5","CAD","nb",105,0.485
"GSE5","GSE2GENES","nb",105,0.485
"GSE5","GSE1GENES","nb",105,0.471
"GSE5","GSE4GENES","nb",105,0.443
"GSE5","GSE5GENES","pls",105,0.708
"GSE5","GSE1GENES","pls",105,0.554
"GSE5","GSE2GENES","pls",105,0.533
"GSE5","GSE4GENES","pls",105,0.529
"GSE5","GSE3GENES","pls",105,0.52
"GSE5","CAD","pls",105,0.498
"GSE5","GSE5GENES","rf",105,0.61
"GSE5","GSE3GENES","rf",105,0.489
"GSE5","GSE1GENES","rf",105,0.467
"GSE5","CAD","rf",105,0.436
"GSE5","GSE4GENES","rf",105,0.413
"GSE5","GSE2GENES","rf",105,0.41
