"dataset","feature_set","algorithm","genes_used","AUC_5fold10xCV"
"GSE1","GSE1GENES","glmnet",813,0.758
"GSE1","GSE4GENES","glmnet",813,0.669
"GSE1","GSE3GENES","glmnet",813,0.651
"GSE1","GSE2GENES","glmnet",813,0.649
"GSE1","TRAIT","glmnet",813,0.61
"GSE1","GSE5GENES","glmnet",813,0.59
"GSE1","GSE1GENES","nb",813,0.708
"GSE1","GSE2GENES","nb",813,0.591
"GSE1","GSE3GENES","nb",813,0.572
"GSE1","GSE4GENES","nb",813,0.571
"GSE1","TRAIT","nb",813,0.553
"GSE1","GSE5GENES","nb",813,0.513
"GSE1","GSE1GENES","pls",813,0.907
"GSE1","GSE3GENES","pls",813,0.628
"GSE1","TRAIT","pls",813,0.595
"GSE1","GSE2GENES","pls",813,0.592
"GSE1","GSE4GENES","pls",813,0.584
"GSE1","GSE5GENES","pls",813,0.546
"GSE1","GSE1GENES","rf",813,0.75
"GSE1","GSE2GENES","rf",813,0.638
"GSE1","GSE3GENES","rf",813,0.606
"GSE1","GSE4GENES","rf",813,0.604
"GSE1","TRAIT","rf",813,0.558
"GSE1","GSE5GENES","rf",813,0.541
"GSE2","GSE5GENES","glmnet",813,0.809
"GSE2","GSE2GENES","glmnet",813,0.796
"GSE2","GSE3GENES","glmnet",813,0.776
"GSE2","GSE1GENES","glmnet",813,0.728
"GSE2","GSE4GENES","glmnet",813,0.667
"GSE2","TRAIT","glmnet",813,0.662
"GSE2","GSE2GENES","nb",813,0.744
"GSE2","GSE4GENES","nb",813,0.594
"GSE2","GSE5GENES","nb",813,0.585
"GSE2","TRAIT","nb",813,0.584
"GSE2","GSE1GENES","nb",813,0.582
"GSE2","GSE3GENES","nb",813,0.516
"GSE2","GSE2GENES","pls",813,0.98
"GSE2","GSE1GENES","pls",813,0.744
"GSE2","GSE3GENES","pls",813,0.716
"GSE2","TRAIT","pls",813,0.715
"GSE2","GSE5GENES","pls",813,0.708
"GSE2","GSE4GENES","pls",813,0.669
"GSE2","GSE2GENES","rf",813,0.749
"GSE2","GSE5GENES","rf",813,0.673
"GSE2","GSE1GENES","rf",813,0.651
"GSE2","TRAIT","rf",813,0.64
"GSE2","GSE4GENES","rf",813,0.631
"GSE2","GSE3GENES","rf",813,0.612
"GSE3","GSE3GENES","glmnet",813,0.729
"GSE3","GSE1GENES","glmnet",813,0.644
"GSE3","TRAIT","glmnet",813,0.573
"GSE3","GSE2GENES","glmnet",813,0.535
"GSE3","GSE4GENES","glmnet",813,0.507
"GSE3","GSE5GENES","glmnet",813,0.494
"GSE3","GSE3GENES","nb",813,0.633
"GSE3","GSE5GENES","nb",813,0.581
"GSE3","GSE4GENES","nb",813,0.57
"GSE3","GSE2GENES","nb",813,0.564
