"","Symbol","P_counts","P_study_names","AdjP_counts","AdjP_study_names","gomez","meaburn","gosch","obermoser","dusek","rusch","larocca","P_value_study_count","AdjP_value_study_count"
"1","NEK8",9,"gomez goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser4BaselineVSfifteenAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVStwelveAll rusch",4,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain",1,0,4,3,0,1,0,4,1
"2","IPP",9,"gomez meaburn1 meaburn2 goschNineHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser3BaselineVStenAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll",2,"goschNineHrMain goschTwelveHrMain",1,2,2,4,0,0,0,4,1
"3","CDKN2AIPNL",15,"gomez meaburn2 goschNineHrMain goschTwentyoneHrMain obermoser1BaseVSfourteenALL obermoser1BaseVSsevenALL obermoser1BaseVStenALL obermoser1BaseVSzeroALL obermoser3BaselineVStenAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVSone obermoser4BaselineVSthirtySixAll obermoser4BaselineVStwelveAll obermoser4BaselineVStwentyFourAll",3,"obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVStwelveAll",1,1,2,11,0,0,0,4,1
"4","RP11-346C20",1,"gomez",0,"",1,0,0,0,0,0,0,1,0
"5","MAPK7",13,"gomez goschEighteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSsevenALL obermoser1BaseVStenALL obermoser1BaseVStwentyEightALL obermoser3BaselineVSthreeAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSsixAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVStwentyFourAll",2,"goschNineHrMain goschTwelveHrMain",1,0,4,8,0,0,0,3,1
"6","CTC-523E23",1,"gomez",0,"",1,0,0,0,0,0,0,1,0
"7","NAT10",9,"gomez goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain goschTwentyoneHrMain obermoser4BaselineVSnineAll obermoser4BaselineVSone obermoser4BaselineVSsixAll",4,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain obermoser4BaselineVSnineAll",1,0,5,3,0,0,0,3,2
"8","SERPINB2",2,"gomez obermoser3BaselineVSsevenAll",0,"",1,0,0,1,0,0,0,2,0
"9","LRIG1",11,"gomez meaburn1 meaburn2 goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser4BaselineVSfifteenAll rusch",5,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSoneALL",1,2,5,2,0,1,0,5,2
"10","ZNF491",1,"gomez",0,"",1,0,0,0,0,0,0,1,0
"11","LINC00921",9,"gomez meaburn1 meaburn2 goschNineHrMain goschTwelveHrMain obermoser4BaselineVSone obermoser4BaselineVSsixAll obermoser4BaselineVSthreeAll larocca",1,"goschNineHrMain",1,2,2,3,0,0,1,5,1
"12","ALCAM",3,"gomez meaburn2 rusch",0,"",1,1,0,0,0,1,0,3,0
"13","TRIM68",4,"gomez goschTwelveHrMain obermoser4BaselineVSnineAll obermoser4BaselineVStwelveAll",0,"",1,0,1,2,0,0,0,3,0
"14","CCDC88A",8,"gomez goschFifteenHrMain obermoser3BaselineVSoneAll obermoser3BaselineVSpoint5All obermoser3BaselineVSthreeAll obermoser3BaselineVSzeroAll dusek rusch",0,"",1,0,1,4,1,1,0,5,0
