"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007064","BP","GO:0007064","mitotic sister chromatid cohesion","10/1099","21/8790",8.5793900311529e-05,0.369600122542067,0.369600122542067,"PDS5A/HDAC8/NIPBL/SMC1A/BOD1/ATRX/STAG2/PDS5B/RB1/ESCO1",10
"GO:0008380","BP","GO:0008380","RNA splicing","69/1099","363/8790",0.000193686028440525,0.417199705260891,0.417199705260891,"USP49/DHX38/CWC27/SLC38A2/FAM98B/PPIL1/CDC5L/SF3A2/SYNCRIP/GEMIN6/HNRNPUL2/SNRPD1/FAM98A/PPIL3/SNRPB2/PAXBP1/TIA1/CCNL1/RBM12B/GEMIN2/TAF10/TCERG1/C2orf49/RPUSD4/HNRNPA3/SRRM2/RBM39/LARP7/LSM8/MBNL2/SREK1/ARMC7/SUPT3H/IVNS1ABP/SRSF7/RBM5/IWS1/SRSF2/PPP2CA/RBM7/FUS/HNRNPH1/HABP4/UPF3B/CLK4/SRPK2/CLK1/METTL3/SNRNP48/RBM25/UPF1/SRSF1/YTHDC1/SCAF11/SRSF10/PRPF31/RBM12/SF3B1/PNN/LUC7L3/EXOSC10/ZRANB2/LSM5/HNRNPU/MAGOH/NCBP2/HNRNPR/SRSF4/HNRNPH3",69
"GO:0043484","BP","GO:0043484","regulation of RNA splicing","31/1099","136/8790",0.000562032983433238,0.80707936421013,0.80707936421013,"SLC38A2/TIA1/CCNL1/RBM12B/TAF10/RBM39/LARP7/MBNL2/SUPT3H/SRSF7/RBM5/SRSF2/RBM7/FUS/HNRNPH1/HABP4/UPF3B/CLK4/SRPK2/CLK1/RBM25/UPF1/SRSF1/YTHDC1/SRSF10/RBM12/EXOSC10/HNRNPU/MAGOH/SRSF4/HNRNPH3",31
"GO:0000176","CC","GO:0000176","nuclear exosome (RNase complex)","7/1136","14/9106",0.00071381955484125,0.389031657388481,0.389031657388481,"EXOSC2/WDR74/EXOSC6/EXOSC3/MPHOSPH6/EXOSC1/EXOSC10",7
"GO:0016073","BP","GO:0016073","snRNA metabolic process","14/1099","46/8790",0.00104398798554966,0.999979849272248,0.999979849272248,"EXOSC2/INTS2/CC2D1A/ZC3H8/INTS3/LARP7/EXOSC6/RPAP2/RBM7/EXOSC3/INTS8/INTS9/SNAPC5/EXOSC10",14
"GO:0000377","BP","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","46/1099","243/8790",0.00236410830042485,0.999979849272248,0.999979849272248,"USP49/DHX38/CWC27/PPIL1/CDC5L/SF3A2/SYNCRIP/GEMIN6/HNRNPUL2/SNRPD1/PPIL3/SNRPB2/PAXBP1/TIA1/GEMIN2/HNRNPA3/SRRM2/RBM39/LARP7/LSM8/SRSF7/RBM5/SRSF2/RBM7/HNRNPH1/UPF3B/SRPK2/METTL3/RBM25/UPF1/SRSF1/YTHDC1/SCAF11/SRSF10/PRPF31/SF3B1/PNN/LUC7L3/EXOSC10/LSM5/HNRNPU/MAGOH/NCBP2/HNRNPR/SRSF4/HNRNPH3",46
"GO:0000398","BP","GO:0000398","mRNA splicing, via spliceosome","46/1099","243/8790",0.00236410830042485,0.999979849272248,0.999979849272248,"USP49/DHX38/CWC27/PPIL1/CDC5L/SF3A2/SYNCRIP/GEMIN6/HNRNPUL2/SNRPD1/PPIL3/SNRPB2/PAXBP1/TIA1/GEMIN2/HNRNPA3/SRRM2/RBM39/LARP7/LSM8/SRSF7/RBM5/SRSF2/RBM7/HNRNPH1/UPF3B/SRPK2/METTL3/RBM25/UPF1/SRSF1/YTHDC1/SCAF11/SRSF10/PRPF31/SF3B1/PNN/LUC7L3/EXOSC10/LSM5/HNRNPU/MAGOH/NCBP2/HNRNPR/SRSF4/HNRNPH3",46
"GO:1905354","CC","GO:1905354","exoribonuclease complex","8/1136","21/9106",0.0025995123304882,0.564964313264325,0.564964313264325,"EXOSC2/LAS1L/WDR74/EXOSC6/EXOSC3/MPHOSPH6/EXOSC1/EXOSC10",8
"GO:0005092","MF","GO:0005092","GDP-dissociation inhibitor activity","6/1131","13/9060",0.00293642220592978,0.999981062673239,0.999981062673239,"CCDC88A/ARHGDIA/CHML/RGS14/CHM/EIF5",6
"GO:1902916","BP","GO:1902916","positive regulation of protein polyubiquitination","6/1099","13/8790",0.00295944558251301,0.999979849272248,0.999979849272248,"XIAP/FBXO4/SKP2/PTPN22/UBE2V2/BIRC2",6
"GO:0072686","CC","GO:0072686","mitotic spindle","27/1136","126/9106",0.00310989530237243,0.564964313264325,0.564964313264325,"CENPE/CDC27/AURKA/TBL1XR1/NUMA1/DR1/SMC1A/HAUS3/ECT2/RMDN1/HAUS2/GIT1/MAP4/DYNLT3/GOLGA2/EML4/ZZZ3/TUBB4B/STAG2/TBL1X/TPR/HNRNPU/KATNBL1/LSM14A/DIAPH1/TRAT1/NUDCD2",27
"GO:0000375","BP","GO:0000375","RNA splicing, via transesterification reactions","46/1099","247/8790",0.0032892850647223,0.999979849272248,0.999979849272248,"USP49/DHX38/CWC27/PPIL1/CDC5L/SF3A2/SYNCRIP/GEMIN6/HNRNPUL2/SNRPD1/PPIL3/SNRPB2/PAXBP1/TIA1/GEMIN2/HNRNPA3/SRRM2/RBM39/LARP7/LSM8/SRSF7/RBM5/SRSF2/RBM7/HNRNPH1/UPF3B/SRPK2/METTL3/RBM25/UPF1/SRSF1/YTHDC1/SCAF11/SRSF10/PRPF31/SF3B1/PNN/LUC7L3/EXOSC10/LSM5/HNRNPU/MAGOH/NCBP2/HNRNPR/SRSF4/HNRNPH3",46
"GO:0007017","BP","GO:0007017","microtubule-based process","82/1099","494/8790",0.00375047277436789,0.999979849272248,0.999979849272248,"CCDC88A/MEMO1/CENPE/CCNB2/CHORDC1/MZT1/FIGNL1/WDR73/DNAAF2/AURKA/CEP76/SPIRE1/CEP70/RFX3/NUMA1/IFT122/LLGL1/RABGEF1/CLIP2/TMF1/PLK4/ROCK1/CCNL1/KATNAL1/RASGRP1/SMC1A/USP33/CAMSAP1/XPO1/ARHGAP21/KIF1C/FER/LLGL2/ATRX/PEX13/SRGAP2/HAUS3/TUBE1/FBXO5/DOCK7/RMDN1/NPHP3/HAUS2/SPAG16/GIT1/PEX1/TAOK1/MAP4/TXNDC9/CCP110/TTLL3/DYNLT3/GOLGA2/CETN3/CCDC66/EML4/KLC1/RGS14/BLOC1S2/CHMP2B/DCTN6/TUBB4B/AKAP9/NEDD1/STAG2/SUN1/HSBP1/VBP1/KTN1/CLIP4/IFT57/DYNC1LI1/CEP63/TPR/HNRNPU/KATNBL1/LSM14A/PAFAH1B1/DIAPH1/RAB1A/SLK/NEK7",82
"GO:0000226","BP","GO:0000226","microtubule cytoskeleton organization","62/1099","356/8790",0.00377060725961297,0.999979849272248,0.999979849272248,"CCDC88A/CENPE/CCNB2/CHORDC1/MZT1/FIGNL1/WDR73/DNAAF2/AURKA/CEP76/SPIRE1/CEP70/NUMA1/LLGL1/CLIP2/PLK4/ROCK1/CCNL1/KATNAL1/SMC1A/USP33/CAMSAP1/XPO1/FER/LLGL2/ATRX/SRGAP2/HAUS3/TUBE1/FBXO5/DOCK7/RMDN1/HAUS2/SPAG16/GIT1/TAOK1/MAP4/TXNDC9/CCP110/TTLL3/GOLGA2/CETN3/CCDC66/EML4/RGS14/CHMP2B/DCTN6/TUBB4B/AKAP9/NEDD1/STAG2/SUN1/CLIP4/DYNC1LI1/CEP63/TPR/HNRNPU/KATNBL1/LSM14A/PAFAH1B1/SLK/NEK7",62
"GO:0031123","BP","GO:0031123","RNA 3'-end processing","18/1099","75/8790",0.00430286076953409,0.999979849272248,0.999979849272248,"RPRD2/PCF11/CDC73/ELAC1/EXOSC2/INTS2/LARP7/EXOSC6/WDR33/EXOSC3/PAPOLG/INTS8/CSTF3/INTS9/YTHDC1/TRNT1/EXOSC10/NCBP2",18
"GO:1901532","BP","GO:1901532","regulation of hematopoietic progenitor cell differentiation","10/1099","32/8790",0.00431541178161748,0.999979849272248,0.999979849272248,"CDK6/PDCD2/RARA/SOS2/SOS1/METTL3/ITCH/NFE2L2/N4BP2L2/HSPA9",10
"GO:0007062","BP","GO:0007062","sister chromatid cohesion","11/1099","37/8790",0.00431611130723184,0.999979849272248,0.999979849272248,"PDS5A/HDAC8/NIPBL/SMC1A/BOD1/ATRX/FBXW7/STAG2/PDS5B/RB1/ESCO1",11
"GO:0101019","CC","GO:0101019","nucleolar exosome (RNase complex)","5/1136","10/9106",0.004390924615194,0.598263478820182,0.598263478820182,"EXOSC2/EXOSC6/EXOSC3/EXOSC1/EXOSC10",5
"GO:0031126","BP","GO:0031126","sno(s)RNA 3'-end processing","5/1099","10/8790",0.00443322008607936,0.999979849272248,0.999979849272248,"EXOSC2/LARP7/EXOSC6/EXOSC3/EXOSC10",5
"GO:0034244","BP","GO:0034244","negative regulation of transcription elongation by RNA polymerase II","6/1099","14/8790",0.00463655825194593,0.999979849272248,0.999979849272248,"RECQL5/RNF168/TCERG1/LARP7/RNF8/HNRNPU",6
"GO:0042303","BP","GO:0042303","molting cycle","12/1099","43/8790",0.00517188125659227,0.999979849272248,0.999979849272248,"NF1/CLOCK/NIPBL/NUMA1/BCL2/EXT1/GORAB/FARP2/PER1/SOS1/PDGFA/ZMPSTE24",12
"GO:0042633","BP","GO:0042633","hair cycle","12/1099","43/8790",0.00517188125659227,0.999979849272248,0.999979849272248,"NF1/CLOCK/NIPBL/NUMA1/BCL2/EXT1/GORAB/FARP2/PER1/SOS1/PDGFA/ZMPSTE24",12
"GO:0001228","MF","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","40/1131","214/9060",0.00538311606501475,0.999981062673239,0.999981062673239,"ZNF175/MZF1/CLOCK/ATF6B/CDC5L/CEBPG/ZFP62/ZNF814/NR4A2/ZNF585A/ZNF268/ZNF226/FOSB/ZBED4/ELK4/POU2F1/VEZF1/ZNF345/NOTCH4/ZNF629/NKRF/ZNF544/CARF/CASZ1/ETV6/FOS/ZNF721/FOXJ3/UBP1/ZNF292/ETS1/NFIC/ZNF33B/ZFX/ZNF770/NFE2L2/TCF12/ATF2/IRF2/SMAD2",40
"GO:0034243","BP","GO:0034243","regulation of transcription elongation by RNA polymerase II","17/1099","71/8790",0.00558253947500471,0.999979849272248,0.999979849272248,"RECQL5/CDC73/RNF168/INTS2/INTS3/TCERG1/LARP7/MED7/MED23/RNF8/EAF2/INTS8/INTS9/MED25/PWWP2A/HNRNPU/NCBP2",17
"GO:0006368","BP","GO:0006368","transcription elongation by RNA polymerase II","21/1099","95/8790",0.00602602816000477,0.999979849272248,0.999979849272248,"RECQL5/GLYR1/CDC73/RNF168/INTS2/INTS3/TCERG1/LARP7/CTR9/MED7/MED23/IWS1/RNF8/EAF2/INTS8/INTS9/MED25/PWWP2A/HNRNPU/TCEA1/NCBP2",21
