"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05168","Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","58/520","316/4608",7.91439398040818e-05,0.0239014698208327,0.0239014698208327,"7582/148156/596/219749/3454/126068/199692/567/54205/6432/57711/162655/199704/168374/5451/7728/9534/339500/169841/6426/10795/148254/55422/7553/57786/147837/10224/340252/284390/59348/163087/90233/10780/7769/27300/7694/79230/730051/79744/5452/718/7188/7561/148022/170960/80110/55900/127396/100289635/7574/6429/342908/7596/51276/147694/329/6427/285268",58
"hsa05031","Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","9/520","32/4608",0.00714839444291422,0.590960876054209,0.590960876054209,"2353/5533/5532/1388/817/1386/2354/805/5567",9
"hsa03040","Genetic Information Processing","Transcription","hsa03040","Spliceosome","23/520","121/4608",0.00774103153336652,0.590960876054209,0.590960876054209,"6629/6632/23658/4116/6432/26121/23350/6426/23451/9785/51645/58517/8175/51691/22916/988/2521/6429/10772/10915/6427/220988/3192",23
"hsa04520","Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","14/520","62/4608",0.00782729637157893,0.590960876054209,0.590960876054209,"10627/5595/6093/60/9855/8976/64750/57154/4636/6934/10580/2241/51701/5906",14
"hsa04360","Organismal Systems","Development and regeneration","hsa04360","Axon guidance","18/520","94/4608",0.0161491774908362,0.975410320446506,0.975410320446506,"10627/5595/5533/5532/2049/5170/6093/4636/54961/1073/2047/10298/817/81029/23380/7220/7852/6259",18
"hsa05034","Human Diseases","Substance dependence","hsa05034","Alcoholism","12/520","58/4608",0.025965191808428,0.999992071608921,0.999992071608921,"55869/5595/6655/3177/10681/1388/5569/1386/6654/2354/805/5567",12
"hsa04130","Genetic Information Processing","Folding, sorting and degradation","hsa04130","SNARE interactions in vesicular transport","7/520","29/4608",0.0383245200797432,0.999992071608921,0.999992071608921,"8417/6810/9554/9527/10228/8674/2054",7
"hsa03018","Genetic Information Processing","Folding, sorting and degradation","hsa03018","RNA degradation","12/520","62/4608",0.0415929536469569,0.999992071608921,0.999992071608921,"10950/51013/23658/51010/118460/23404/10200/51691/3313/4850/5394/167227",12
"hsa03015","Genetic Information Processing","Translation","hsa03015","mRNA surveillance pathway","14/520","77/4608",0.0468718528567525,0.999992071608921,0.999992071608921,"10767/64895/4116/5411/65109/23049/55339/22916/51585/5976/2521/1479/5515/9887",14
"hsa04814","Cellular Processes","Cell motility","hsa04814","Motor proteins","16/520","92/4608",0.0502951079248,0.999992071608921,0.999992071608921,"10671/6990/51143/10627/10383/80179/51175/4641/60/1062/4636/4650/3831/4649/10749/7170",16
"hsa04350","Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","11/520","57/4608",0.0507542753264113,0.999992071608921,0.999992071608921,"4087/7050/5595/6093/64750/57154/92/9765/5515/656/4090",11
