"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000377","BP","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","17/182","243/8790",1.07958538126787e-05,0.009719924863867,0.00941917793141093,"DAZAP1/HNRNPM/SNW1/PQBP1/EFTUD2/IK/PRPF3/HNRNPA2B1/PRPF4/NCBP1/SNIP1/SF1/USP39/CD2BP2/HNRNPF/RNPS1/RBM15B",17
"GO:0000398","BP","GO:0000398","mRNA splicing, via spliceosome","17/182","243/8790",1.07958538126787e-05,0.009719924863867,0.00941917793141093,"DAZAP1/HNRNPM/SNW1/PQBP1/EFTUD2/IK/PRPF3/HNRNPA2B1/PRPF4/NCBP1/SNIP1/SF1/USP39/CD2BP2/HNRNPF/RNPS1/RBM15B",17
"GO:0000375","BP","GO:0000375","RNA splicing, via transesterification reactions","17/182","247/8790",1.33821820062418e-05,0.009719924863867,0.00941917793141093,"DAZAP1/HNRNPM/SNW1/PQBP1/EFTUD2/IK/PRPF3/HNRNPA2B1/PRPF4/NCBP1/SNIP1/SF1/USP39/CD2BP2/HNRNPF/RNPS1/RBM15B",17
"GO:0051168","BP","GO:0051168","nuclear export","12/182","140/8790",3.13484835924318e-05,0.0170770864369772,0.0165486994964259,"AKAP8L/RANBP3/RAE1/GLE1/HNRNPA2B1/XPO5/NCBP1/RITA1/CHTOP/SIRT7/RBM15B/STRADA",12
"GO:0005681","CC","GO:0005681","spliceosomal complex","13/186","175/9106",5.79339690486713e-05,0.00826061943169896,0.00752485575762051,"HNRNPM/SNW1/SUGP1/EFTUD2/IK/PRPF3/HNRNPA2B1/PRKRIP1/PRPF4/SNIP1/SF1/USP39/HNRNPF",13
"GO:0008380","BP","GO:0008380","RNA splicing","20/182","363/8790",5.89359781878029e-05,0.0256842992942445,0.0248895941567858,"AKAP8L/DAZAP1/HNRNPM/SNW1/PQBP1/SUGP1/EFTUD2/IK/PRPF3/HNRNPA2B1/PRKRIP1/PRPF4/NCBP1/SNIP1/SF1/USP39/CD2BP2/HNRNPF/RNPS1/RBM15B",20
"GO:0034399","CC","GO:0034399","nuclear periphery","11/186","129/9106",6.29255485336985e-05,0.00826061943169896,0.00752485575762051,"AKAP8L/TINF2/HNRNPM/SNW1/PIAS4/SMARCD2/OGG1/HNRNPA2B1/DCAF7/MBD1/PRR14",11
"GO:0016363","CC","GO:0016363","nuclear matrix","10/186","110/9106",7.94290329971054e-05,0.00826061943169896,0.00752485575762051,"AKAP8L/TINF2/HNRNPM/SNW1/PIAS4/SMARCD2/OGG1/HNRNPA2B1/DCAF7/MBD1",10
"GO:0099023","CC","GO:0099023","vesicle tethering complex","7/186","56/9106",0.000131909062160946,0.0102889068485538,0.00937248599564613,"TRAPPC3/VPS18/VIPAS39/VPS11/VPS39/TRAPPC12/EXOC7",7
"GO:0006397","BP","GO:0006397","mRNA processing","20/182","385/8790",0.000132501556493687,0.042326272722164,0.0410166435983,"AKAP8L/DAZAP1/HNRNPM/SNW1/PQBP1/SUGP1/EFTUD2/IK/PRPF3/HNRNPA2B1/PRKRIP1/PRPF4/NCBP1/SNIP1/SF1/USP39/CD2BP2/HNRNPF/RNPS1/RBM15B",20
