"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa03040","Genetic Information Processing","Transcription","hsa03040","Spliceosome","7/85","121/4608",0.00656010340554145,0.509476968078752,0.509476968078752,"4686/22938/9343/10084/9128/10713/9129",7
"hsa00563","Metabolism","Glycan biosynthesis and metabolism","hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","3/85","22/4608",0.00724189508680423,0.509476968078752,0.509476968078752,"51604/8733/94005",3
"hsa05132","Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","9/85","200/4608",0.0107635979171567,0.509476968078752,0.509476968078752,"55823/10120/64601/3551/23265/57617/23339/10540/9266",9
"hsa04140","Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","7/85","141/4608",0.0146171720778137,0.518909608762385,0.518909608762385,"55054/55823/64601/57617/23339/53349/26003",7
"hsa00770","Metabolism","Metabolism of cofactors and vitamins","hsa00770","Pantothenate and CoA biosynthesis","2/85","15/4608",0.0302195168902456,0.737185611419384,0.737185611419384,"80347/79717",2
"hsa05222","Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","4/85","65/4608",0.0311486878064529,0.737185611419384,0.737185611419384,"3551/6257/7709/842",4
"hsa04148","Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","5/85","114/4608",0.0582994439221373,0.915225740191306,0.915225740191306,"55823/64601/57617/23339/405",5
"hsa04144","Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","7/85","194/4608",0.065463041684099,0.915225740191306,0.915225740191306,"29934/9798/112936/381/9266/84364/832",7
"hsa00760","Metabolism","Metabolism of cofactors and vitamins","hsa00760","Nicotinate and nicotinamide metabolism","2/85","23/4608",0.0662521400743349,0.915225740191306,0.915225740191306,"51547/55191",2
"hsa04919","Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","4/85","86/4608",0.0733229491271955,0.915225740191306,0.915225740191306,"6257/3065/8841/842",4
"hsa04623","Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","3/85","54/4608",0.0767608156201224,0.915225740191306,0.915225740191306,"171568/3551/9641",3
