"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009986","CC","GO:0009986","cell surface","229/2588","425/9106",1.31615352958207e-29,7.50207511861777e-27,6.58076764791033e-27,"CD38/ITGA2B/CEACAM21/CD79B/PKD1/CD4/PLAUR/CD22/LTF/CD74/CD44/SLAMF7/BTN3A1/VAMP3/TNFRSF9/LY75/KCNH2/TSPAN32/CD84/TNFRSF1A/TGFBR3/LRP6/FCGR2B/PVR/PICALM/ENO1/IL4R/TNS1/ITGB5/FCN1/ABCB1/B4GALT1/CEACAM6/GP6/LAG3/FLT3LG/IL5RA/ITGA6/CD200/HSP90AB1/PDGFB/CSF2RB/IL2RB/CD40/HM13/SIRPB1/CD40LG/IL21R/FCGRT/FCER2/LILRB1/IL27RA/CEACAM4/CD79A/CD33/P2RX1/C1QBP/FOLR3/CD5/SLC38A1/CLEC4A/KLRB1/BTN3A3/TREML2/BTN2A1/SPARC/ARSB/BTNL8/CD86/ITGA4/KISS1R/EPHA4/CD58/SLAMF1/ECE1/FASLG/SLC46A2/CD274/TNFRSF10B/CD244/LY9/CEACAM8/BTN2A2/TREM1/CD93/HCST/CCR7/ATP1B2/PLVAP/BST2/LILRB2/LGALS3/FCRLA/ITGB4/CLEC10A/EPHB2/NOTCH2/KLRD1/HAVCR2/TLR4/FLOT1/TLR2/SORL1/THBS1/ADAM10/CD27/FURIN/ITGAX/ASGR1/FCGR2A/CTSK/ADAM15/HSPD1/PDGFC/IQGAP2/PTPRJ/CAPN5/MS4A2/ITGB1/FCGR1A/ANK3/TMEM123/CLEC4F/MR1/CD8A/PDIA4/MS4A1/FZD1/TSPAN33/CD1D/CD1A/CD1C/FCER1G/TNFRSF13C/ABCG1/ITGB2/DIP2A/FCRL3/ITGA5/TREML1/ASGR2/FCGR3B/CAPN2/TGFA/TGFBR2/CTLA4/CCR1/LRPAP1/ANXA5/CTSB/ABCA1/FOLR2/CLEC1B/BTNL9/CLEC4E/CLEC4D/ANPEP/GPRC5B/NOD2/CD3D/CA4/CX3CR1/CXCL10/P2RY12/ITGAM/NLGN2/ALCAM/CDH2/CEACAM3/PRNP/CD8B/CXCR6/CLEC7A/NRROS/SELP/CNTNAP2/CD248/CD19/CD163/CD151/CD28/THBD/TIGIT/CSF1R/ANXA2/CCR3/GP1BA/IL3RA/TCN2/BTN3A2/CXCR3/LILRB4/TNFRSF4/TNFRSF18/LILRA5/EPOR/SELL/HLA-DRB1/CD55/MME/SULF2/ELANE/S100A10/MPZL1/SIRPA/CLEC4C/CSF2RA/CD3E/CR1/BMPR2/HLA-DMA/HLA-DRA/MICB/MICA/HLA-C/HLA-E/HLA-G/HLA-F/KLRC2/PHB2/HLA-DPB1/HLA-DPA1/SMIM1/LYN/CLEC12B/CLEC5A/PECAM1/MILR1/CD24",229
"GO:0009897","CC","GO:0009897","external side of plasma membrane","132/2588","224/9106",5.03596044821508e-22,1.4352487277413e-19,1.25899011205377e-19,"ITGA2B/CEACAM21/CD79B/CD4/PLAUR/CD22/CD74/SLAMF7/BTN3A1/TNFRSF9/LY75/CD84/TGFBR3/FCGR2B/IL4R/FCN1/ABCB1/B4GALT1/LAG3/IL5RA/ITGA6/CSF2RB/IL2RB/CD40/CD40LG/IL21R/FCGRT/FCER2/LILRB1/IL27RA/CD79A/CD33/P2RX1/FOLR3/CD5/SLC38A1/CLEC4A/BTN3A3/BTN2A1/BTNL8/CD86/ITGA4/SLAMF1/ECE1/FASLG/CD274/CD244/LY9/BTN2A2/CCR7/ATP1B2/FCRLA/CLEC10A/KLRD1/TLR4/FLOT1/THBS1/CD27/ITGAX/ASGR1/FCGR2A/CTSK/MS4A2/ITGB1/FCGR1A/TMEM123/CLEC4F/MR1/CD8A/MS4A1/CD1D/CD1A/CD1C/FCER1G/TNFRSF13C/ABCG1/ITGB2/FCRL3/ITGA5/ASGR2/FCGR3B/CAPN2/TGFBR2/CTLA4/CCR1/ANXA5/CTSB/ABCA1/FOLR2/BTNL9/CLEC4E/CLEC4D/ANPEP/CD3D/CA4/CX3CR1/CXCL10/ITGAM/ALCAM/PRNP/CXCR6/SELP/CD248/CD19/CD163/CD28/THBD/CCR3/GP1BA/IL3RA/TCN2/BTN3A2/CXCR3/TNFRSF4/TNFRSF18/EPOR/SELL/HLA-DRB1/CLEC4C/CSF2RA/CD3E/MICB/MICA/HLA-C/HLA-E/HLA-G/HLA-F/KLRC2/CLEC12B/PECAM1/MILR1/CD24",132
"GO:0098552","CC","GO:0098552","side of membrane","201/2588","400/9106",3.69405562297189e-21,7.01870568364659e-19,6.15675937161982e-19,"SLC4A1/ITGA2B/PRSS21/CEACAM21/CD79B/MMP25/CD4/PLAUR/CD22/CD74/SLAMF7/BTN3A1/AP2S1/TNFRSF9/LY75/CTSA/CD84/RHOA/TGFBR3/SPTB/FCGR2B/IL4R/FCN1/ABCB1/B4GALT1/CEACAM6/SNX5/LAG3/RGS1/IL5RA/ITGA6/RNF31/CSF2RB/IL2RB/CD40/HM13/HCK/CD40LG/IL21R/FCGRT/FCER2/LILRB1/IL27RA/CD79A/CD33/P2RX1/BST1/FOLR3/CD5/SLC38A1/CLEC4A/BTN3A3/MDGA1/VNN1/VNN2/BTN2A1/BTNL8/CD86/GNAI2/GNB4/ITGA4/SLAMF1/CD160/ECE1/FASLG/CD274/CD244/LY9/CEACAM8/BTN2A2/CCR7/MAP2K2/GNG11/ATP1B2/BST2/FCRLA/CLEC10A/KLRD1/TLR4/FLOT1/THBS1/SPPL2A/PPP3CA/CD27/ITGAX/ASGR1/FCGR2A/CTSK/ACP1/PKP4/RAB5A/GNA12/CHMP7/MS4A2/ITGB1/FCGR1A/TMEM123/CLEC4F/MR1/CD8A/GBP5/EEF1A1/MS4A1/SPPL3/LDLRAP1/CD1D/CD1A/CD1C/NCF1/FCER1G/EPB41/TNFRSF13C/ABCG1/ITGB2/FCRL3/LY6E/AP2M1/BDH1/ITGA5/ALOX15/ASGR2/ALPL/FCGR3B/CAPN2/TGFBR2/CTLA4/CCR1/ANXA5/CTSB/ABCA1/FOLR2/BTNL9/CLEC4E/CLEC4D/ANPEP/DPEP2/CD3D/CA4/CX3CR1/EFNA1/CXCL10/CD52/ITGAM/ALCAM/PTEN/PRNP/CXCR6/JUP/RGMB/SELP/CD248/GNG7/CD19/CD163/CD28/THBD/HLA-DQB1/AKAP5/ITLN1/FES/CCR3/SOCS3/GP1BA/IL3RA/TCN2/GNG2/BTN3A2/CXCR3/LILRB4/TNFRSF4/TNFRSF18/EPOR/SELL/LRRK2/HLA-DRB1/CD55/NTNG2/HLA-DQA1/GM2A/RPS26/S100A6/CLEC4C/CSF2RA/HLA-DRB5/CD3E/HLA-DRA/MICB/MICA/HLA-C/HLA-E/HLA-G/HLA-F/KLRC2/HLA-DPB1/HLA-DPA1/TAPBP/LYN/CLEC12B/PECAM1/MILR1/CD24",201
"GO:0002250","BP","GO:0002250","adaptive immune response","171/2506","323/8790",4.86730320207479e-21,2.32024343642905e-17,1.84393939202812e-17,"CD79B/CD4/BTK/SLC11A1/CD74/SLAMF7/BTN3A1/TNFRSF17/CD84/TFE3/RORA/RAB27A/FCGR2B/PVR/TXK/UNG/RAP1GAP/IL4R/MEF2C/LAT2/LAG3/MCOLN1/SIRT1/CSF2RB/IL2RB/CD40/SMAD7/BMX/CD40LG/IL21R/CTSH/NBN/FCER2/LILRB1/LILRA1/IL27RA/CLC/PRKD2/CD79A/PIK3CG/GATA3/C1QBP/UNC93B1/PTPN6/CLEC4A/BTN3A3/BACH2/DUSP22/BTNL8/BCL6/CD86/SLAMF1/CD160/CR2/ARG1/CD274/LAX1/CD244/LY9/C4BPA/TREM1/IL1B/LILRB2/RAP1GAP2/CLEC10A/EPHB2/SWAP70/RSAD2/KLRD1/CTSL/HAVCR2/MYO1G/TLR4/STAT4/LEF1/C1RL/CD27/SLC15A4/SKAP1/BRD4/SIGLEC10/FCGR2A/RORC/HSPD1/NFKBIZ/SERPING1/FCGR1A/IL18/DCLRE1C/MR1/CD8A/MCOLN2/BATF/CD1D/CD1A/CD1C/FCER1G/TNFRSF13C/ALOX15/TNFSF13/NLRP3/FCGR3B/CTSS/EOMES/CTLA4/PRKCD/ERAP1/ERAP2/SYK/JAM3/CLEC4D/NOD2/CD3D/CX3CR1/TAP1/INPP5D/ALCAM/PIK3CD/CD8B/CLEC7A/KLHL6/C1QB/C1QA/CD7/CLCF1/GAPT/ZNF683/CD19/IL17RA/CD28/HLA-DQB1/PRF1/ASCL2/SOCS3/IRF7/BTN3A2/LILRB4/HLA-DRB1/SEMA4A/CD55/HLA-DQA1/ARID5A/GZMM/MPEG1/CLEC4C/HLA-DRB5/SH2D1B/CD247/CD3E/CR1/HLA-DOA/HLA-DMA/TAP2/HLA-DRA/MICB/MICA/HLA-C/LILRB3/HLA-E/HLA-G/HLA-F/TRIM27/KLRC2/DENND1B/HLA-DPB1/LTA/HLA-DPA1/HLA-DOB/HLA-DMB/LILRA6/LYN",171
"GO:0038023","MF","GO:0038023","signaling receptor activity","217/2572","450/9060",5.01584537437545e-20,2.13424220679676e-17,1.86642246299129e-17,"M6PR/TBXA2R/CD79B/PGLYRP1/PKD1/CD4/MRC2/PLAUR/MARCO/CD74/CD44/TNFRSF17/TNFRSF9/LY75/OPN3/TNFRSF1A/RORA/TGFBR3/LRP6/FCGR2B/PVR/SCARF1/IL4R/P2RX5/FCN1/GP6/LAG3/IL5RA/CSF2RB/IL2RB/CD40/IL21R/CTSH/FCER2/LILRB1/LILRA1/IL27RA/SLC1A5/SIGLEC8/CD79A/CD33/CARD8/P2RX1/FOLR3/CD5/PTPN6/CLEC4A/KLRB1/TREML2/CD86/VIPR1/ITGA4/IFIH1/IL1R2/IL18RAP/KISS1R/EPHA4/SLAMF1/CD160/CR2/OGFRL1/TNFRSF10B/FLT3/CD244/TREM1/PTGER2/KIR2DL1/OPRL1/CD93/RRBP1/FFAR2/CCR7/LILRB2/FCRLA/TRIM5/INPP5K/LGR6/EPHB2/NOTCH2/KLRD1/EDAR/PLXNC1/TLR4/CD72/TLR2/SORL1/SCARB2/KLRG1/CD27/LPAR6/IGF1R/ITGAX/IGSF6/NPC1/PTPRF/FCGR2A/RORC/SLC20A1/EPHA1/KLRF1/ITGB1/FCGR1A/CRIM1/TMEM123/MR1/CD8A/PTPRN2/FZD1/FCER1G/IFNGR2/ADIPOR1/AMFR/TNFRSF13C/PTGIR/NR2F6/ITGB2/PAQR6/FCRL3/TREML1/FCGR3B/OXER1/TGFBR2/AIM2/CCR1/HPGD/F2RL1/GPR146/ABCA1/FOLR2/CLEC1B/CLEC4E/CLEC4D/ANPEP/GPRC5B/NOD2/CD3D/KIR3DL1/KRT1/CD300C/PTGDR/CX3CR1/P2RY12/PTAFR/NLGN2/GPR27/OSCAR/PAQR8/FPR1/NMUR1/GPR82/GPR34/C3AR1/PRNP/CD8B/CXCR6/CLEC7A/CLEC12A/CYSLTR1/PTPRM/CD7/GPR160/TLR10/TLR1/RGMB/CMKLR1/NR1D2/P2RY14/P2RY2/IL17RA/CD28/GPR35/THBD/CD300LB/HLA-DQB1/GPBAR1/S1PR5/P2RY13/CSF1R/PTGDR2/CCR3/GP1BA/IL3RA/IFNLR1/PTCH1/CD300LF/CXCR3/LILRB4/TNFRSF4/TNFRSF18/LILRA5/EPOR/TLR5/IL1RAP/HLA-DRB1/TMEM63A/TLR7/HLA-DQA1/C5AR1/CSF2RA/CD247/CD3E/CR1/BMPR2/HLA-DOA/HLA-DRA/LILRB3/KLRC2/TNFRSF25/HLA-DPA1/NFAM1/HLA-DOB/IL10RB/KIR2DL3/GPR162/PECAM1/MILR1/ADORA3",217
"GO:0060089","MF","GO:0060089","molecular transducer activity","217/2572","450/9060",5.01584537437545e-20,2.13424220679676e-17,1.86642246299129e-17,"M6PR/TBXA2R/CD79B/PGLYRP1/PKD1/CD4/MRC2/PLAUR/MARCO/CD74/CD44/TNFRSF17/TNFRSF9/LY75/OPN3/TNFRSF1A/RORA/TGFBR3/LRP6/FCGR2B/PVR/SCARF1/IL4R/P2RX5/FCN1/GP6/LAG3/IL5RA/CSF2RB/IL2RB/CD40/IL21R/CTSH/FCER2/LILRB1/LILRA1/IL27RA/SLC1A5/SIGLEC8/CD79A/CD33/CARD8/P2RX1/FOLR3/CD5/PTPN6/CLEC4A/KLRB1/TREML2/CD86/VIPR1/ITGA4/IFIH1/IL1R2/IL18RAP/KISS1R/EPHA4/SLAMF1/CD160/CR2/OGFRL1/TNFRSF10B/FLT3/CD244/TREM1/PTGER2/KIR2DL1/OPRL1/CD93/RRBP1/FFAR2/CCR7/LILRB2/FCRLA/TRIM5/INPP5K/LGR6/EPHB2/NOTCH2/KLRD1/EDAR/PLXNC1/TLR4/CD72/TLR2/SORL1/SCARB2/KLRG1/CD27/LPAR6/IGF1R/ITGAX/IGSF6/NPC1/PTPRF/FCGR2A/RORC/SLC20A1/EPHA1/KLRF1/ITGB1/FCGR1A/CRIM1/TMEM123/MR1/CD8A/PTPRN2/FZD1/FCER1G/IFNGR2/ADIPOR1/AMFR/TNFRSF13C/PTGIR/NR2F6/ITGB2/PAQR6/FCRL3/TREML1/FCGR3B/OXER1/TGFBR2/AIM2/CCR1/HPGD/F2RL1/GPR146/ABCA1/FOLR2/CLEC1B/CLEC4E/CLEC4D/ANPEP/GPRC5B/NOD2/CD3D/KIR3DL1/KRT1/CD300C/PTGDR/CX3CR1/P2RY12/PTAFR/NLGN2/GPR27/OSCAR/PAQR8/FPR1/NMUR1/GPR82/GPR34/C3AR1/PRNP/CD8B/CXCR6/CLEC7A/CLEC12A/CYSLTR1/PTPRM/CD7/GPR160/TLR10/TLR1/RGMB/CMKLR1/NR1D2/P2RY14/P2RY2/IL17RA/CD28/GPR35/THBD/CD300LB/HLA-DQB1/GPBAR1/S1PR5/P2RY13/CSF1R/PTGDR2/CCR3/GP1BA/IL3RA/IFNLR1/PTCH1/CD300LF/CXCR3/LILRB4/TNFRSF4/TNFRSF18/LILRA5/EPOR/TLR5/IL1RAP/HLA-DRB1/TMEM63A/TLR7/HLA-DQA1/C5AR1/CSF2RA/CD247/CD3E/CR1/BMPR2/HLA-DOA/HLA-DRA/LILRB3/KLRC2/TNFRSF25/HLA-DPA1/NFAM1/HLA-DOB/IL10RB/KIR2DL3/GPR162/PECAM1/MILR1/ADORA3",217
"GO:0002252","BP","GO:0002252","immune effector process","202/2506","412/8790",1.5833301298455e-19,3.77386736448674e-16,2.99916059858629e-16,"CFH/MPO/PGLYRP1/ST3GAL1/BTK/CD22/SLC11A1/CD74/SLAMF7/GRN/CD84/SPI1/IFI35/RORA/RAB27A/FCGR2B/PVR/UNG/STXBP2/IL4R/PSEN1/FCN1/LAT2/MAVS/LAG3/IRAK3/SNAP23/SIRT1/LGALS1/XBP1/CSF2RB/IL2RB/CTSG/GZMB/CD40/HCK/SMAD7/CD40LG/ACP5/RGCC/IL21R/CTSH/NBN/FCER2/LILRB1/IL27RA/CLC/RPS19/NKG7/PIK3CG/LFNG/GATA3/LIPA/C1QBP/DHX58/UNC93B1/PANX1/POU2AF1/PTPN6/KLRB1/BTN3A3/DUSP22/BCL6/CD86/IL18RAP/SLAMF1/CD160/CR2/PRDX1/ARG1/CD244/LY9/C4BPA/TREM1/IL1B/FFAR2/DNAJB9/IRF5/BST2/LGALS3/EPHB2/PRAM1/SWAP70/NOTCH2/RSAD2/KLRD1/HAVCR2/DYSF/DOCK10/MYO1G/TLR4/DDX60/STAT4/ANXA3/LEF1/C1RL/CD27/SLC15A4/TMBIM6/IRF8/BRD4/FCGR2A/RORC/LYST/HSPD1/NFKBIZ/SERPING1/PAK1/FCGR1A/IL18/MR1/CD8A/PLCL2/VSIG4/BATF/HK1/CD1D/CD1A/CD1C/NCF1/FCER1G/SPON2/ITGB2/FCRL3/TNFSF13/NLRP3/FCGR3B/S100A9/EOMES/DNASE1L3/PRKCD/F2RL1/SYK/ATP7A/CLEC4E/CLEC4D/GPRC5B/NOD2/KIR3DL1/KRT1/PRDX2/PTGDR/CX3CR1/INPP5D/LGALS9/PTAFR/ITGAM/MZB1/SERPINB9/PRKCE/PIK3CD/AZU1/CLEC7A/C1QB/C1QA/CLCF1/GAPT/ZNF683/YES1/CD19/CD28/ZFPM1/PRF1/FES/ASCL2/SOCS3/IRF7/BTN3A2/LILRB4/TNFRSF4/HLA-DRB1/SEMA4A/TUBB/CD55/TLR7/ARID5A/SRC/GZMM/ELANE/CFD/SH2D1B/DLL1/CR1/TAP2/HLA-DRA/NCR3/MICB/MICA/HLA-C/HLA-E/HLA-G/HLA-F/KLRC2/DENND1B/PHB2/LTA/HLA-DMB/LYN/CLEC12B/MILR1/PIK3R6/CCL3",202
"GO:0004888","MF","GO:0004888","transmembrane signaling receptor activity","161/2572","313/9060",1.97594983624341e-18,5.60511103547715e-16,4.90174222534769e-16,"M6PR/TBXA2R/CD79B/PKD1/CD4/MARCO/CD74/CD44/OPN3/TNFRSF1A/TGFBR3/LRP6/FCGR2B/SCARF1/IL4R/P2RX5/GP6/LAG3/IL5RA/CSF2RB/IL2RB/IL21R/CTSH/FCER2/LILRB1/LILRA1/IL27RA/SIGLEC8/CD79A/P2RX1/PTPN6/CLEC4A/KLRB1/VIPR1/IL1R2/IL18RAP/KISS1R/EPHA4/SLAMF1/CD160/CR2/TNFRSF10B/FLT3/TREM1/PTGER2/OPRL1/FFAR2/CCR7/LILRB2/FCRLA/INPP5K/LGR6/EPHB2/KLRD1/EDAR/PLXNC1/TLR4/CD72/TLR2/SORL1/SCARB2/CD27/LPAR6/IGF1R/IGSF6/NPC1/PTPRF/FCGR2A/EPHA1/KLRF1/FCGR1A/CRIM1/MR1/PTPRN2/FZD1/FCER1G/IFNGR2/PTGIR/ITGB2/FCRL3/TREML1/FCGR3B/OXER1/TGFBR2/CCR1/HPGD/F2RL1/GPR146/ABCA1/CLEC1B/GPRC5B/CD3D/KIR3DL1/CD300C/PTGDR/CX3CR1/P2RY12/PTAFR/GPR27/OSCAR/FPR1/NMUR1/GPR82/GPR34/C3AR1/CXCR6/CLEC12A/CYSLTR1/PTPRM/GPR160/TLR10/TLR1/CMKLR1/P2RY14/P2RY2/IL17RA/GPR35/THBD/CD300LB/HLA-DQB1/GPBAR1/S1PR5/P2RY13/CSF1R/PTGDR2/CCR3/GP1BA/IL3RA/IFNLR1/PTCH1/CD300LF/CXCR3/LILRB4/TNFRSF4/TNFRSF18/LILRA5/EPOR/TLR5/IL1RAP/HLA-DRB1/TMEM63A/HLA-DQA1/C5AR1/CSF2RA/CD247/CD3E/CR1/BMPR2/HLA-DOA/HLA-DRA/LILRB3/KLRC2/TNFRSF25/HLA-DPA1/NFAM1/HLA-DOB/IL10RB/GPR162/PECAM1/MILR1/ADORA3",161
"GO:0009617","BP","GO:0009617","response to bacterium","180/2506","363/8790",3.92740252928962e-18,6.2406426190412e-15,4.95955147470643e-15,"MPO/TBXA2R/PGLYRP1/CD4/BTK/LTF/SLC11A1/VIM/GRN/MAP2K3/CASP8/TNFRSF1A/RHOA/FCGR2B/GSDMB/PTGS2/MEF2C/MGST2/MAVS/OAS1/RGS1/IRAK3/LYZ/CEBPE/RNF31/MAPK1/XBP1/CSF2RB/ST13/CTSG/PYGL/PCK2/MMP9/CD40/HCK/BPI/CEP192/ACP5/LILRB1/IL27RA/RPS19/CARD8/DHX58/PF4V1/OAS3/OAS2/SASH1/MAPK14/SOD2/SNX3/CD86/MAPKAPK3/GNLY/KMO/GBP3/GBP1/CD160/FASLG/CD274/C4BPA/PI3/SLPI/ZNFX1/NAGK/TREM1/PTGER2/IL1B/RBCK1/CCR7/IRF3/IRF5/LILRB2/IDO1/GCH1/EMILIN2/TRIM5/SYT11/EPHB2/NOTCH2/CMPK2/HAVCR2/TLR4/TLR2/CASP1/IFI44/HERC6/ANXA3/NLRC5/IRF8/RPL13A/S100A8/LYST/NFKBIZ/PLAC8/SNCA/GZMA/LCN2/ADM/FCGR1A/IL18/MR1/BANK1/BMP6/PRKCA/GBP5/CDK19/RPL30/MS4A1/CD1D/FCER1G/SPON2/PTGIR/ALPL/GBP2/GBP4/GFI1/NLRP3/CAPN2/S100A9/S100A12/CXCL5/PPBP/CXCL1/PRKCD/CAMP/HMGB2/HPGD/F2RL1/ERAP1/DEFA4/SYK/ABCA1/CLEC4E/CLEC4D/NOD2/PRDX2/RBPJ/CX3CR1/LGALS9/CXCL10/RNASE3/PTAFR/RNASE6/ITGAM/SLC30A1/PRKCE/LRG1/AZU1/KLHL6/RNF213/TLR10/TLR1/SELP/RPS6KA3/THBD/SHARPIN/LDOC1/SIGIRR/ISG15/HLA-DRB1/CD55/ARID5A/CASP4/SRC/PELI1/C5AR1/ELANE/MPEG1/CFD/SIRPA/TAP2/MICA/HLA-E/ANG/LTA/GPX1/NAIP/LYN/HP/CD24",180
"GO:0002253","BP","GO:0002253","activation of immune response","186/2506","394/8790",6.51884333353857e-16,7.76883154274459e-13,6.17403083089614e-13,"CFH/CD38/CD79B/TRAF3IP3/BTK/CD22/LTF/BTN3A1/EIF2AK2/IFI35/FCGR2B/ALPK1/TXK/GRAMD4/PSEN1/MEF2C/FCN1/LAT2/MAVS/OAS1/IRAK3/SPG21/RNF31/MAPK1/EP300/HCK/RIOK3/BMX/RGCC/MEFV/KCNN4/PRKD2/CD79A/CARD8/GATA3/LIPA/C1QBP/DHX58/DUSP3/UNC93B1/OAS3/PTPN6/BTN3A3/DUSP22/BTN2A1/BTNL8/CBLB/MAPKAPK3/IFIH1/RTN4/GBP1/CD160/CR2/STK11/SLC46A2/EIF2B2/CD274/PSPC1/LAX1/C4BPA/ZNFX1/ZBP1/NAGK/BTN2A2/IL1B/RBCK1/FFAR2/CCR7/IRF3/ECSIT/THEMIS2/NINJ1/LGALS3/TRIM5/PRAM1/RSAD2/KLRD1/PUM1/HAVCR2/OASL/USP15/MYO1G/BLK/TLR4/FLOT1/TLR2/DDX60/CASP1/C1RL/SLC15A4/SKAP1/LYPLAL1/S100A8/PARP1/HSPD1/NFKBIZ/TIFA/NONO/MFHAS1/SERPING1/PTPRJ/PAK1/RPS3/BANK1/CD8A/GBP5/PLCL2/VSIG4/MS4A1/SPPL3/FCER1G/UBASH3A/FCRL3/GBP2/GFI1/NLRP3/CTSS/S100A9/PYHIN1/IFI16/AIM2/CTLA4/PRKCD/F2RL1/SYK/STOML2/BTNL9/CLEC4E/NOD2/CD3D/KRT1/NLRC3/INPP5D/ITGAM/FPR1/PRKCE/PIK3CD/C3AR1/PRNP/CD8B/CLEC7A/KLHL6/C1QB/C1QA/TLR10/TLR1/CMKLR1/YES1/RPS6KA3/CD19/GRB2/CD28/HLA-DQB1/PAK2/RNF135/LCK/IRF7/CD300LF/BTN3A2/LILRB4/TLR5/PLSCR1/HLA-DRB1/CD55/TLR7/PCBP2/SRC/PELI1/C5AR1/CFD/CD2AP/CARD11/CD247/CD3E/CR1/HSPA1B/NCR3/MICB/KLRC2/DENND1B/PHB2/HLA-DPB1/NFAM1/NAIP/PRKDC/LYN",186
