"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04640","Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","52/1405","70/4607",3.65359799707429e-14,1.18741934904915e-11,1.0345451170663e-11,"3563/1438/2322/100133941/3678/930/3553/951/933/952/290/3684/3109/3108/924/3122/2057/2323/3112/3115/2208/3113/3123/3111/3117/3119/920/921/4311/3568/945/3674/909/911/3566/916/1436/2811/960/3676/2209/931/7850/915/3127/926/925/1604/1380/1378/912/3655",52
"hsa04514","Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecules","50/1405","73/4607",1.80466051922366e-11,2.93257334373845e-09,2.55501936669035e-09,"4267/57555/1000/5797/3689/139065/214/9080/7122/933/5792/3134/3684/3109/3108/965/201633/26047/6402/3133/3122/958/3135/6403/3112/3115/3113/3123/3111/3117/3107/84628/959/5175/3119/920/29126/1462/3688/3676/83700/942/5817/3127/90952/940/1493/926/925/3655",50
"hsa05332","Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","26/1405","30/4607",2.31144479366106e-10,2.05345374663886e-08,1.78908196873151e-08,"3824/3804/3812/3802/3811/3553/3134/3109/3108/3133/3122/5551/3135/3112/3115/3113/3123/3111/3117/3107/3119/3002/942/3127/940/356",26
"hsa05150","Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","30/1405","37/4607",2.5273276881709e-10,2.05345374663886e-08,1.78908196873151e-08,"3689/1669/5724/25984/2204/728/1675/3684/3109/3108/3122/6403/3112/3115/3113/3123/3111/3117/3119/820/2357/2209/719/3127/2213/712/713/3075/2212/2215",30
"hsa04940","Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","25/1405","29/4607",6.66267638825355e-10,4.33073965236481e-08,3.77317883882149e-08,"3382/3553/3134/4049/3109/3108/3133/3122/5551/5799/3135/3112/3115/3113/3123/3111/3117/3107/3119/3002/3329/942/3127/940/356",25
"hsa05320","Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","23/1405","26/4607",1.13290989539522e-09,6.13659526672413e-08,5.34653968177746e-08,"3134/3109/3108/3133/3122/5551/958/3135/3112/3115/3113/3123/3111/3117/3107/959/3119/3002/942/3127/940/1493/356",23
"hsa05330","Human Diseases","Immune disease","hsa05330","Allograft rejection","22/1405","26/4607",1.54034803084828e-08,7.15161585750988e-07,6.23088150824343e-07,"3134/3109/3108/3133/3122/5551/958/3135/3112/3115/3113/3123/3111/3117/3107/959/3119/3002/942/3127/940/356",22
"hsa05310","Human Diseases","Immune disease","hsa05310","Asthma","16/1405","18/4607",4.13080215615615e-07,1.60876261214012e-05,1.40164256733828e-05,"3109/3108/3122/958/3112/3115/6037/3113/3123/3111/3117/959/3119/2207/3127/2206",16
"hsa04612","Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","38/1405","62/4607",4.4550349259265e-07,1.60876261214012e-05,1.40164256733828e-05,"5721/3824/1508/3804/3812/3802/3811/3809/3134/1514/3109/10437/3108/3304/3133/3122/3135/3112/6890/3115/6891/3113/3123/3111/3117/3107/3119/920/6892/3310/4261/1520/3326/3822/3127/972/926/925",38
"hsa05322","Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","24/1405","33/4607",6.56330162448043e-07,1.96989167484883e-05,1.71627809079947e-05,"1991/1511/3109/3108/3122/958/3112/87/3115/3113/3123/3111/3117/959/3119/2209/942/3127/940/6737/712/713/2212/2215",24
"hsa04610","Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","25/1405","35/4607",6.66732566871913e-07,1.96989167484883e-05,1.71627809079947e-05,"11326/3689/2157/5265/5329/728/1675/5055/3684/3687/2162/7056/710/7450/5627/719/2153/5270/712/713/722/3075/1604/1380/1378",25
"hsa04060","Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","58/1405","112/4607",1.59763114037759e-06,4.32691767185597e-05,3.76984891896115e-05,"3563/1438/654/3588/3460/115650/2833/1236/6348/6351/1439/6352/8743/3553/23765/8740/3560/10913/3606/4049/2057/958/9466/23529/8795/959/920/3627/5197/2919/5473/6374/9235/4055/3568/10663/8718/939/1230/1232/8741/3566/50615/1436/608/7850/8742/659/1524/163702/7132/8807/3556/7048/8784/356/3604/7293",58
"hsa05321","Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","27/1405","42/4607",5.860969636e-06,0.0001465242409,0.000127659986403563,"3460/4094/6095/3553/3606/3109/3108/3122/3112/3115/3113/3123/3111/3117/3119/2625/7099/3566/50615/64127/7097/3127/8807/6772/6097/6775/7100",27
"hsa04672","Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","20/1405","28/4607",9.17040227133707e-06,0.000212884338441753,0.000185476557217268,"115650/3109/3108/3122/958/3112/3115/3113/3123/3111/3117/959/3119/4055/8741/608/3676/942/3127/940",20
"hsa04145","Cellular Processes","Transport and catabolism","hsa04145","Phagosome","55/1405","110/4607",1.17464458567977e-05,0.000254506326897284,0.000221739925296743,"71/4689/81027/3689/84617/64581/5868/23480/3678/83547/5289/2204/3134/1514/3684/3109/3108/3133/3122/4074/3135/3112/6890/203068/3115/6891/3113/3123/3111/7280/3117/3107/1536/3119/10952/155066/7099/653361/3920/9902/533/3688/3693/7057/1520/8685/2209/7097/4353/3127/7846/2213/9341/2212/2215",55
"hsa05140","Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","32/1405","58/4607",7.33459300288232e-05,0.00148983920371047,0.00129802994590483,"4689/5594/3460/3689/3553/3684/3109/3108/1915/3122/3112/3115/3113/3123/3111/3117/1536/3119/5777/7099/653361/3688/5743/1432/3676/2209/7097/3127/6772/2212/2215/1378",32
"hsa05164","Human Diseases","Infectious disease: viral","hsa05164","Influenza A","57/1405","122/4607",9.90027888633181e-05,0.00189270037532814,0.00164902478044784,"71/10379/5594/4599/4600/637/5371/3460/3665/51284/57506/8766/5578/6352/8743/3553/29107/3606/3109/3108/3122/9230/3661/3112/10241/3115/3113/3123/3111/8795/3117/2033/3838/3119/3627/7099/5605/4261/4938/5610/4940/4939/91543/9021/578/3836/834/3127/6773/7132/841/64135/6772/7416/5293/356/114548",57
