"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1990904","CC","GO:1990904","ribonucleoprotein complex","134/1288","475/5920",0.000328059288800837,0.167310237288427,0.16644692337053,"AKAP17A/CWC27/RPS10/HNRNPA0/CDC5L/JMJD6/SYNCRIP/RPL36A/MPHOSPH10/SUZ12/SLIRP/CACTIN/DCP2/LARP4/SNRPD1/MRPS6/UTP23/SNRPB2/CWF19L2/EIF1AX/TIA1/RPS17/RBM12B/XPO1/MDN1/WAC/ELAVL1/TSR1/TRA2A/RHEB/UTP15/ZFP36L2/GEMIN2/RBMX2/TNRC6A/MRPS11/WDR74/DICER1/TGS1/HNRNPA3/SRRM2/WDR36/LARP7/SRP19/RBMS1/RBMX/MRPS15/SREK1/NOP58/ARMC7/EIF2S1/MRPS25/DDX1/RPL15/SNRPA1/ACTB/IVNS1ABP/DAP3/LRPPRC/RPL5/AGO3/DIMT1/LUC7L2/EIF3G/RBM5/KRR1/SRSF2/RPS7/PLRG1/NSA2/PHAX/RRP15/RPS24/ILF3/EIF3H/RPL18A/MRPS35/WDR43/RPS27L/MRPL52/RPL31/HNRNPK/DHX29/MRPL3/RPL35/ILF2/RPL27/WDR12/RPL11/RIOK2/DYRK2/MRPS10/SNRNP48/RPL41/ZCRB1/RNPC3/RPL35A/RPS27A/HNRNPC/RPL34/RPL8/SRSF1/SMNDC1/RPS16/CELF2/RPSA/AGO2/RPS5/RBM12/SF3B1/PNN/RPL29/SRP9/LUC7L3/MRPL50/LSM5/HNRNPU/MAGOH/RPL37/SLU7/MRPL32/DDX3X/LSM14A/API5/MRPS14/HNRNPR/PPWD1/LSM3/MRPL20/SECISBP2/NUP98/HNRNPH3/RPL36/TAF9",134
"GO:0006446","BP","GO:0006446","regulation of translational initiation","25/1255","64/5732",0.00133245614583812,0.999999395368632,0.999999395368632,"PPP1R15A/MTIF2/EIF2AK4/YTHDF3/EIF4A2/EIF2S1/DDX1/CSDE1/BZW2/EIF5B/ALKBH1/EIF3H/EIF5/DHX29/UHMK1/METTL3/BZW1/YTHDF1/SH3BGRL/AGO2/EIF4G1/TPR/GIGYF2/DDX3X/NCBP2",25
"GO:0008380","BP","GO:0008380","RNA splicing","85/1255","293/5732",0.00204965625894272,0.999999395368632,0.999999395368632,"AKAP17A/USP49/CWC27/SLC38A2/CDC5L/JMJD6/SYNCRIP/TSEN2/MPHOSPH10/CACTIN/SNRPD1/FAM98A/SNRPB2/CWF19L2/METTL16/PAXBP1/TIA1/CCNL1/THOC7/RBM12B/THOC2/TRA2A/METTL4/GEMIN2/RBMX2/C2orf49/TGS1/HNRNPA3/SRRM2/RBM39/LARP7/SDE2/MBNL2/RBMX/SREK1/ARMC7/DDX1/SNRPA1/IVNS1ABP/SRSF7/LUC7L2/RBM5/IWS1/SRSF2/PLRG1/PPP2CA/SRSF11/RBM7/FUS/HNRNPK/CLK4/SRPK2/CLK1/METTL3/SNRNP48/ZCRB1/RNPC3/RBM25/HNRNPC/SRSF1/YTHDC1/SMNDC1/SRSF3/SCAF11/SRSF10/CELF2/RBM12/SF3B1/PNN/LUC7L3/ZRANB2/LSM5/HNRNPU/MAGOH/SLU7/UBL5/PSIP1/NCBP2/HNRNPR/PPWD1/LSM3/SRSF4/NUP98/HNRNPH3/TAF9",85
"GO:0006412","BP","GO:0006412","translation","111/1255","400/5732",0.0024846264667634,0.999999395368632,0.999999395368632,"RPS10/SYNCRIP/SERBP1/ELAC1/RPL36A/EARS2/LTN1/NARS2/LARP4/NEMF/MRPS6/PPP1R15A/EIF1AX/TIA1/PUM2/RPS17/RARA/MAPKAPK5/MTIF2/ELAVL1/USP16/EIF2AK4/ZFP36L2/YTHDF3/DHPS/TNRC6A/MRPS11/LARS2/EIF4A2/MRPS15/EIF2S1/MRPS25/DDX1/RPL15/DAP3/LRPPRC/RPL5/AGO3/CSDE1/ETF1/BZW2/EIF3G/CNOT6/EIF5B/RPS7/RPS24/ALKBH1/ILF3/EIF3H/ACO1/RPL18A/MRPS35/UQCC2/RPS27L/RGS2/MRPL52/EIF5/RPL31/DHX29/MRPL3/RPL35/RARS2/RPL27/UHMK1/METTL3/RPL11/CAPRIN2/MRPS10/RPL41/CNBP/GFM1/OGT/CNOT7/RPL35A/RPS27A/CNOT1/CD28/RPL34/RPL8/BZW1/YTHDF1/RPS16/SH3BGRL/RPSA/AGO2/RPS5/ABCE1/EIF4G1/ELP2/MTIF3/RPL29/TRNT1/SRP9/MRPL50/IREB2/METTL5/TPR/HNRNPU/HBS1L/MAGOH/GIGYF2/RPL37/MRPL32/DDX3X/LSM14A/MRPS14/NCBP2/MRPL20/SECISBP2/ABCF1/RPL36",111
"GO:0043043","BP","GO:0043043","peptide biosynthetic process","113/1255","409/5732",0.00267370067831444,0.999999395368632,0.999999395368632,"RPS10/SYNCRIP/SERBP1/ELAC1/RPL36A/EARS2/LTN1/NARS2/LARP4/NEMF/MRPS6/PPP1R15A/EIF1AX/TIA1/PUM2/RPS17/RARA/MAPKAPK5/MTIF2/ELAVL1/USP16/EIF2AK4/ZFP36L2/YTHDF3/DHPS/TNRC6A/MRPS11/LARS2/AASDH/EIF4A2/MRPS15/EIF2S1/MRPS25/DDX1/RPL15/DAP3/LRPPRC/RPL5/AGO3/CSDE1/ETF1/GCLM/BZW2/EIF3G/CNOT6/EIF5B/RPS7/RPS24/ALKBH1/ILF3/EIF3H/ACO1/RPL18A/MRPS35/UQCC2/RPS27L/RGS2/MRPL52/EIF5/RPL31/DHX29/MRPL3/RPL35/RARS2/RPL27/UHMK1/METTL3/RPL11/CAPRIN2/MRPS10/RPL41/CNBP/GFM1/OGT/CNOT7/RPL35A/RPS27A/CNOT1/CD28/RPL34/RPL8/BZW1/YTHDF1/RPS16/SH3BGRL/RPSA/AGO2/RPS5/ABCE1/EIF4G1/ELP2/MTIF3/RPL29/TRNT1/SRP9/MRPL50/IREB2/METTL5/TPR/HNRNPU/HBS1L/MAGOH/GIGYF2/RPL37/MRPL32/DDX3X/LSM14A/MRPS14/NCBP2/MRPL20/SECISBP2/ABCF1/RPL36",113
"GO:0007064","BP","GO:0007064","mitotic sister chromatid cohesion","9/1255","16/5732",0.00284552812168062,0.999999395368632,0.999999395368632,"PDS5A/NIPBL/BOD1/ATRX/SMC3/STAG2/PDS5B/NAA50/ESCO1",9
"GO:0097729","CC","GO:0097729","9+2 motile cilium","13/1288","28/5920",0.00315691830931883,0.505128324270449,0.502521882968744,"VPS13A/SLIRP/HSP90AA1/RNF38/TTLL3/RAP1A/CALM2/TOMM20/CALM1/CETN2/PRKAR1A/SQSTM1/ABHD2",13
"GO:0043175","MF","GO:0043175","RNA polymerase core enzyme binding","13/1285","28/5905",0.00316280494950359,0.840450857229771,0.838709351102067,"RPRD2/PCF11/WAC/ERCC5/CTR9/WDR43/MAF1/SMYD2/SPTY2D1/BRD4/AGO2/ELP2/HNRNPU",13
"GO:0006356","BP","GO:0006356","regulation of transcription by RNA polymerase I","13/1255","28/5732",0.00334650343958959,0.999999395368632,0.999999395368632,"POLR2K/DEDD/UTP15/FLNA/SMARCA4/PWP1/ZMPSTE24/WDR43/MAF1/ACTR6/SF3B1/NOL11/CREBBP",13
"GO:0000375","BP","GO:0000375","RNA splicing, via transesterification reactions","61/1255","205/5732",0.00456291348966789,0.999999395368632,0.999999395368632,"USP49/CWC27/CDC5L/JMJD6/SYNCRIP/MPHOSPH10/CACTIN/SNRPD1/SNRPB2/CWF19L2/METTL16/PAXBP1/TIA1/TRA2A/GEMIN2/RBMX2/TGS1/HNRNPA3/SRRM2/RBM39/LARP7/SDE2/RBMX/DDX1/SNRPA1/SRSF7/LUC7L2/RBM5/SRSF2/PLRG1/RBM7/HNRNPK/SRPK2/METTL3/ZCRB1/RNPC3/RBM25/HNRNPC/SRSF1/YTHDC1/SMNDC1/SRSF3/SCAF11/SRSF10/CELF2/SF3B1/PNN/LUC7L3/LSM5/HNRNPU/MAGOH/SLU7/UBL5/PSIP1/NCBP2/HNRNPR/PPWD1/LSM3/SRSF4/NUP98/HNRNPH3",61
