"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04728","Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","21/596","51/3051",0.000279937785847046,0.0837013979682667,0.0822133076329745,"3799/2776/9575/2771/5519/5532/5528/59345/801/5527/818/5520/10681/3708/5533/817/1386/5515/805/2782/5567",21
"hsa04912","Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","16/596","40/3051",0.00213437469872857,0.224450286149432,0.220459883244822,"2776/5595/6416/6655/5609/801/818/4214/3708/817/5604/6654/805/10746/5567/3725",16
"hsa03010","Genetic Information Processing","Translation","hsa03010","Ribosome","32/596","104/3051",0.00362421726801878,0.224450286149432,0.220459883244822,"11224/64968/6201/6173/6218/6155/6160/6217/64983/6229/6135/6159/6167/64963/6171/25873/6233/55052/6204/11222/6142/51065/6132/6125/6165/6193/3921/6164/55173/64960/6138/63931",32
"hsa04713","Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","12/596","28/3051",0.00389111264894335,0.224450286149432,0.220459883244822,"2776/2771/5595/59345/801/818/10681/3708/817/805/2782/5567",12
"hsa04720","Organismal Systems","Nervous system","hsa04720","Long-term potentiation","14/596","35/3051",0.00400367380360389,0.224450286149432,0.220459883244822,"2776/1387/5595/5532/801/818/673/3708/5533/817/5604/805/5906/5567",14
"hsa04726","Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","13/596","32/3051",0.00469674227498003,0.224450286149432,0.220459883244822,"2776/2771/5595/59345/1843/836/673/10681/3708/5604/5743/2782/5567",13
"hsa04660","Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","25/596","78/3051",0.00541920426624125,0.224450286149432,0.220459883244822,"10892/5519/5595/5532/6655/5788/3937/5528/5609/5527/3702/5520/1147/387/5290/5533/5604/6654/10125/5515/5170/1493/940/8915/3725",25
"hsa04740","Organismal Systems","Sensory system","hsa04740","Olfactory transduction","7/596","13/3051",0.00600535882674067,0.224450286149432,0.220459883244822,"801/818/817/805/5997/2782/5567",7
"hsa04924","Organismal Systems","Endocrine system","hsa04924","Renin secretion","9/596","20/3051",0.00832113540753278,0.276446609650256,0.271531786982649,"2776/2771/5734/5532/801/3708/5533/805/5567",9
"hsa04015","Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","23/596","74/3051",0.0112169431216978,0.335386599338764,0.329423908521441,"2776/1398/2771/5595/10235/5898/60/3937/51735/1902/3683/801/10636/51466/387/7094/5879/5290/673/5604/805/57568/5906",23
"hsa05034","Human Diseases","Substance dependence","hsa05034","Alcoholism","15/596","43/3051",0.0126918069719023,0.339625157769193,0.333587111486023,"2771/5595/6655/8520/59345/801/673/10681/1386/5604/6654/805/5569/2782/5567",15
"hsa04921","Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","18/596","55/3051",0.0136304411144827,0.339625157769193,0.333587111486023,"2776/4659/2771/5595/5532/60/801/818/387/3708/5533/817/5604/5743/805/5997/5567/3725",18
"hsa04724","Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","11/596","29/3051",0.0161846436692811,0.372246804393466,0.365628792204812,"2776/2771/5595/5532/59345/10681/3708/5533/54407/2782/5567",11
"hsa04114","Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","19/596","61/3051",0.0197535090372151,0.420516674589912,0.413040493612341,"4085/5519/5595/5532/9126/5528/29945/9748/801/5527/818/25847/3708/5533/817/5604/5515/805/5567",19
