"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045087","BP","GO:0045087","innate immune response","194/1264","470/5732",8.44602219848473e-23,3.25340775085632e-19,2.52936138470411e-19,"NUB1/CD6/SLC11A1/CD74/VIM/RNASET2/SLAMF7/GRN/VAMP3/EIF2AK2/IFI35/FCGR2B/CEACAM1/MAVS/OAS1/IRAK3/NLRC4/SRPK1/GZMB/HCK/RIOK3/N4BP1/RIPK2/LILRB1/NKG7/TRIM14/OAS3/OAS2/GAPDH/PTPN6/KLRB1/VNN1/TRIM38/LY86/MAPKAPK3/IFIH1/RTN4/STAT1/IL18RAP/UAP1/GBP3/GBP1/CD160/PRDX1/FASLG/ARG1/SLC46A2/IFIT3/IFIT2/CD244/LY9/PI3/SLPI/ZNFX1/NAGK/TREM1/IRF1/MED1/FFAR2/IRF3/BECN1/IFI6/APOBEC3A/IRF5/RAB2B/ECSIT/BST2/NINJ1/GCH1/LGALS3/TRIM5/TRIM22/RSAD2/KLRD1/PUM1/OASL/CD36/EIF4E2/CALCOCO2/CNPY3/FLOT1/TLR2/DDX60/CASP1/ACTR2/PARP9/HERC5/C1RL/KLRG1/SLC15A4/PML/NLRC5/IFITM3/SIGLEC10/ATP1B1/LYPLAL1/S100A8/HSPD1/NFKBIZ/TIFA/GSN/SERPING1/ENDOD1/PAK1/FCGR1A/ADAM8/IFIT5/GBP5/HK1/UBE2L6/MX1/CD1D/NCF1/FCER1G/IFNGR2/PADI4/SPON2/ZYX/ADAR/FCRL3/TREML1/GBP2/SLAMF6/S100A9/S100A12/PYHIN1/IFI16/AIM2/DTX3L/F2RL1/ERAP1/SYK/CYBB/CLEC4E/CLEC4D/NOD2/DUS2/KRT1/CX3CR1/LGALS9/RNASE2/RNASE6/ITGAM/CD14/SERPINB9/STAT2/TRIM8/PARP14/TLR10/TLR1/RPS6KA3/IL17RA/RNF135/SHMT2/CSF1R/MX2/ACTG1/IFITM2/IRF7/IFIT1/IFITM1/CD300LF/LILRA5/TLR5/ISG15/TLR7/DAPK1/CASP4/MPEG1/CFD/SIRPA/CLEC4C/SH2D1B/MSRB1/CR1/HSPA1B/AIF1/MICA/HLA-C/HLA-E/TRIM10/HLA-G/TRIM27/SAMD9/KLRC2/PHB2/HLA-DPA1/IL10RB/NAIP/PRKDC/LYN/CCL5/CCL4/CCL3",194
"GO:0009986","CC","GO:0009986","cell surface","132/1311","284/5920",1.01804633956216e-20,4.95788567366773e-18,4.16863185357559e-18,"CD79B/CD9/PLAUR/CD6/CD74/SLAMF7/VAMP3/TNFRSF9/RC3H2/TNFRSF1A/TGFBR3/FCGR2B/PICALM/ENO1/IL4R/CEACAM1/ABCB1/B4GALT1/CEACAM6/FLT3LG/IL2RB/CD40/IL21R/LILRB1/IL27RA/CEACAM4/CD79A/FOLR3/CD5/KLRB1/BTN3A3/SPARC/ARSB/CD86/ITGA4/KISS1R/EPHA4/FASLG/TNFSF4/SLC46A2/CD244/LY9/BTN2A2/TREM1/CD93/HCST/CCR7/BST2/LILRB2/LGALS3/FCRLA/NOTCH2/KLRD1/CD36/FLOT1/TLR2/SORL1/ADAM10/CD27/ITGB7/FCGR2A/FCRL5/HSPD1/PTPRJ/NCAM1/ITGB1/FCGR1A/ANK3/ADAM8/TMEM123/CD8A/MS4A1/CD1D/CD1C/FCER1G/TNFRSF13C/ABCG1/ITGB2/DIP2A/FCRL3/TREML1/SLAMF6/TGFA/TGFBR2/CCR1/LRPAP1/ANXA5/ABCA1/CLEC4E/CLEC4D/ANPEP/NOD2/CD3D/CA4/CX3CR1/VAMP5/ITGAM/CD14/CEACAM3/CD8B/CD163/TIGIT/CSF1R/ANXA2/CCR3/GP1BA/BTN3A2/LILRB4/LILRA5/SELL/HLA-DRB1/MME/SULF2/S100A10/MPZL1/SIRPA/CLEC4C/CSF2RA/CR1/HLA-DMA/HLA-DRA/MICA/HLA-C/HLA-E/HLA-G/KLRC2/PHB2/HLA-DPB1/HLA-DPA1/LYN/PECAM1/CD24",132
"GO:0038023","MF","GO:0038023","signaling receptor activity","121/1300","270/5905",1.09344367823863e-17,3.46621646001644e-15,3.04437739888544e-15,"M6PR/CD79B/PLAUR/CD74/TNFRSF9/OPN3/TNFRSF1A/RORA/TGFBR3/FCGR2B/IL4R/P2RX5/IL2RB/CD40/IL21R/CTSH/LILRB1/LILRA1/IL27RA/CD79A/FOLR3/CD5/PTPN6/KLRB1/CD86/ITGA4/IFIH1/IL1R2/IL18R1/IL18RAP/KISS1R/EPHA4/CD160/CD244/TREM1/PTGER2/CD93/FFAR2/CCR7/LILRB2/FCRLA/TRIM5/PTPRE/NOTCH2/KLRD1/CD36/PLXNC1/TLR2/SORL1/SCARB2/KLRG1/CD27/LPAR6/IGF1R/IGSF6/NPC1/FCGR2A/FCRL5/SLC20A1/ITGB1/FCGR1A/TMEM123/CD8A/FCER1G/IFNGR2/AMFR/TNFRSF13C/ITGB2/FCRL3/TREML1/TGFBR2/AIM2/CCR1/F2RL1/GPR146/ABCA1/CLEC4E/CLEC4D/ANPEP/NOD2/CD3D/KRT1/CX3CR1/PTAFR/CD14/OSCAR/PAQR8/FPR1/GPR34/C3AR1/CD8B/CLEC12A/CYSLTR1/CD7/TLR10/TLR1/IL17RA/HLA-DQB1/P2RY13/CSF1R/CCR3/GP1BA/PTCH1/CD300LF/LILRB4/LILRA5/TLR5/HLA-DRB1/TLR7/HLA-DQA1/CSF2RA/CD247/CR1/HLA-DOA/HLA-DRA/LILRB3/KLRC2/HLA-DPA1/HLA-DOB/IL10RB/PECAM1",121
"GO:0060089","MF","GO:0060089","molecular transducer activity","121/1300","270/5905",1.09344367823863e-17,3.46621646001644e-15,3.04437739888544e-15,"M6PR/CD79B/PLAUR/CD74/TNFRSF9/OPN3/TNFRSF1A/RORA/TGFBR3/FCGR2B/IL4R/P2RX5/IL2RB/CD40/IL21R/CTSH/LILRB1/LILRA1/IL27RA/CD79A/FOLR3/CD5/PTPN6/KLRB1/CD86/ITGA4/IFIH1/IL1R2/IL18R1/IL18RAP/KISS1R/EPHA4/CD160/CD244/TREM1/PTGER2/CD93/FFAR2/CCR7/LILRB2/FCRLA/TRIM5/PTPRE/NOTCH2/KLRD1/CD36/PLXNC1/TLR2/SORL1/SCARB2/KLRG1/CD27/LPAR6/IGF1R/IGSF6/NPC1/FCGR2A/FCRL5/SLC20A1/ITGB1/FCGR1A/TMEM123/CD8A/FCER1G/IFNGR2/AMFR/TNFRSF13C/ITGB2/FCRL3/TREML1/TGFBR2/AIM2/CCR1/F2RL1/GPR146/ABCA1/CLEC4E/CLEC4D/ANPEP/NOD2/CD3D/KRT1/CX3CR1/PTAFR/CD14/OSCAR/PAQR8/FPR1/GPR34/C3AR1/CD8B/CLEC12A/CYSLTR1/CD7/TLR10/TLR1/IL17RA/HLA-DQB1/P2RY13/CSF1R/CCR3/GP1BA/PTCH1/CD300LF/LILRB4/LILRA5/TLR5/HLA-DRB1/TLR7/HLA-DQA1/CSF2RA/CD247/CR1/HLA-DOA/HLA-DRA/LILRB3/KLRC2/HLA-DPA1/HLA-DOB/IL10RB/PECAM1",121
"GO:0050776","BP","GO:0050776","regulation of immune response","181/1264","475/5732",7.39008145878908e-17,1.42332968896278e-13,1.10656746053973e-13,"CD79B/SLC11A1/CD74/GRN/EIF2AK2/RC3H2/IFI35/FCGR2B/IL4R/CEACAM1/PSEN1/LAT2/MAVS/OAS1/IRAK3/NLRC4/XBP1/CD40/HCK/RIOK3/RGCC/N4BP1/CTSH/RIPK2/LILRB1/IL27RA/CLC/PRKD2/CD79A/LIPA/DUSP3/CD81/OAS3/PTPN6/KLRB1/BTN3A3/MAPK14/CD86/CBLB/MAPKAPK3/IFIH1/RTN4/IL18R1/IL18RAP/PARK7/GBP1/CD160/TNFSF4/ARG1/SLC46A2/EIF2B2/LAX1/NCKAP1L/ZNFX1/NAGK/BTN2A2/IRF1/IL1B/MED1/FFAR2/HCST/CCR7/IRF3/BECN1/PSMA1/RHBDF2/ECSIT/THEMIS2/LILRB2/NINJ1/LGALS3/TRIM5/PRAM1/RSAD2/KLRD1/PUM1/OASL/CD36/EIF4E2/FLOT1/TLR2/DDX60/CASP1/PARP9/SPPL2A/C1RL/SLC15A4/NLRC5/LYPLAL1/S100A8/HSPD1/NFKBIZ/TIFA/SERPING1/PTPRJ/PAK1/RPS3/FCGR1A/ADAM8/CD8A/GBP5/MS4A1/CD1D/CD1C/NCF1/FCER1G/UBASH3A/ITGB2/ADAR/FCRL3/TNFSF13/GBP2/SLAMF6/S100A9/PYHIN1/IFI16/AIM2/PRKCD/F2RL1/ERAP1/SYK/STOML2/CLEC4E/CLEC4D/NOD2/CD3D/KRT1/INPP5D/LGALS9/PTAFR/ITGAM/CD14/SERPINB9/STAT2/FPR1/C3AR1/CD8B/KLHL6/PARP14/TLR10/TLR1/RPS6KA3/HLA-DQB1/RNF135/IRF7/CD300LF/BTN3A2/LILRB4/TLR5/ISG15/HLA-DRB1/TLR7/HLA-DQA1/CFD/HLA-DRB5/SH2D1B/CD247/CR1/HLA-DOA/HLA-DMA/TAP2/HLA-DRA/HSPA1B/MICA/HLA-C/HLA-E/HLA-G/TRIM27/KLRC2/DENND1B/PHB2/HLA-DPB1/HLA-DPA1/GPX1/HLA-DOB/HLA-DMB/NAIP/PRKDC/LYN/CCL5/CD24",181
"GO:0009617","BP","GO:0009617","response to bacterium","115/1264","258/5732",1.33941491163678e-16,1.71980874654163e-13,1.33706506091461e-13,"CD6/SLC11A1/VIM/GRN/TNFRSF1A/BCL3/FCGR2B/MAVS/OAS1/IRAK3/LYZ/NLRC4/CEBPE/XBP1/ST13/PYGL/MMP9/CD40/HCK/CEP192/ACP5/RIPK2/LILRB1/IL27RA/PF4V1/OAS3/OAS2/MAPK14/SNX3/LY86/CD86/MAPKAPK3/GNLY/KMO/GBP3/GBP1/CD160/FASLG/TNFSF4/PI3/SLPI/ZNFX1/NAGK/TREM1/PTGER2/IL1B/CCR7/IRF3/IRF5/LILRB2/GCH1/EMILIN2/TRIM5/SYT11/NOTCH2/CMPK2/CD36/TLR2/CASP1/IFI44/ANXA3/NLRC5/S100A8/NFKBIZ/PLAC8/GZMA/ADM/FCGR1A/PRKCA/GBP5/CDK19/RPL30/MS4A1/CD1D/FCER1G/SPON2/ALPL/GBP2/S100A9/S100A12/CXCL5/PPBP/PRKCD/F2RL1/ERAP1/SYK/ABCA1/CLEC4E/CLEC4D/NOD2/CX3CR1/LGALS9/PTAFR/RNASE6/ITGAM/CD14/LRG1/KLHL6/TLR10/TLR1/RPS6KA3/SIGIRR/ISG15/HLA-DRB1/CASP4/MPEG1/CFD/SIRPA/TAP2/MICA/HLA-E/GPX1/NAIP/LYN/CD24",115
"GO:0002250","BP","GO:0002250","adaptive immune response","111/1264","247/5732",2.28820542891654e-16,2.20354182804663e-13,1.71314327507041e-13,"CD79B/CD6/SLC11A1/CD74/SLAMF7/RC3H2/BCL3/RORA/FCGR2B/UNG/IL4R/CEACAM1/LAT2/IL2RB/CD40/IL21R/CTSH/RIPK2/LILRB1/LILRA1/IL27RA/CLC/PRKD2/CD79A/CD81/PTPN6/BTN3A3/BACH2/CD86/IL18R1/CD160/TNFSF4/ARG1/LAX1/CD244/LY9/NCKAP1L/TREM1/IRF1/IL1B/LILRB2/RAP1GAP2/RSAD2/KLRD1/CTSL/STAT4/LEF1/C1RL/CD27/SLC15A4/SIGLEC10/FCGR2A/HSPD1/NFKBIZ/SERPING1/FCGR1A/DCLRE1C/CD8A/CD1D/CD1C/FCER1G/TNFRSF13C/TNFSF13/SLAMF6/EOMES/PRKCD/ERAP1/ERAP2/SYK/JAM3/CLEC4D/NOD2/CD3D/CX3CR1/TAP1/INPP5D/CD8B/KLHL6/CD7/GAPT/IL17RA/HLA-DQB1/IRF7/BTN3A2/LILRB4/HLA-DRB1/HLA-DQA1/MPEG1/CLEC4C/HLA-DRB5/SH2D1B/CD247/CR1/HLA-DOA/HLA-DMA/TAP2/HLA-DRA/MICA/HLA-C/LILRB3/HLA-E/HLA-G/TRIM27/KLRC2/DENND1B/HLA-DPB1/HLA-DPA1/HLA-DOB/HLA-DMB/LILRA6/LYN",111
"GO:0050778","BP","GO:0050778","positive regulation of immune response","156/1264","397/5732",5.77771503335737e-16,4.45115166169852e-13,3.46054721471615e-13,"CD79B/SLC11A1/CD74/EIF2AK2/RC3H2/IFI35/FCGR2B/IL4R/CEACAM1/PSEN1/LAT2/MAVS/OAS1/IRAK3/NLRC4/XBP1/HCK/RIOK3/RGCC/RIPK2/LILRB1/IL27RA/PRKD2/CD79A/LIPA/DUSP3/CD81/OAS3/PTPN6/BTN3A3/CD86/CBLB/MAPKAPK3/IFIH1/RTN4/IL18R1/IL18RAP/PARK7/GBP1/CD160/TNFSF4/SLC46A2/EIF2B2/LAX1/NCKAP1L/ZNFX1/NAGK/BTN2A2/IRF1/IL1B/MED1/FFAR2/CCR7/IRF3/BECN1/ECSIT/THEMIS2/NINJ1/LGALS3/TRIM5/PRAM1/RSAD2/KLRD1/PUM1/OASL/CD36/FLOT1/TLR2/DDX60/CASP1/PARP9/C1RL/SLC15A4/NLRC5/LYPLAL1/S100A8/HSPD1/NFKBIZ/TIFA/SERPING1/PTPRJ/PAK1/RPS3/FCGR1A/ADAM8/CD8A/GBP5/MS4A1/CD1D/CD1C/FCER1G/UBASH3A/ITGB2/FCRL3/TNFSF13/GBP2/SLAMF6/S100A9/PYHIN1/IFI16/AIM2/PRKCD/F2RL1/SYK/STOML2/CLEC4E/NOD2/CD3D/KRT1/INPP5D/LGALS9/PTAFR/ITGAM/CD14/FPR1/C3AR1/CD8B/KLHL6/TLR10/TLR1/RPS6KA3/HLA-DQB1/RNF135/IRF7/CD300LF/BTN3A2/LILRB4/TLR5/HLA-DRB1/TLR7/HLA-DQA1/CFD/HLA-DRB5/SH2D1B/CD247/CR1/HLA-DOA/HLA-DMA/TAP2/HLA-DRA/HSPA1B/MICA/HLA-C/HLA-E/HLA-G/KLRC2/DENND1B/PHB2/HLA-DPB1/HLA-DPA1/HLA-DOB/HLA-DMB/NAIP/PRKDC/LYN/CCL5",156
"GO:0004888","MF","GO:0004888","transmembrane signaling receptor activity","90/1300","186/5905",6.50842225839007e-16,1.37544657060644e-13,1.20805451743451e-13,"M6PR/CD79B/CD74/OPN3/TNFRSF1A/TGFBR3/FCGR2B/IL4R/P2RX5/IL2RB/IL21R/CTSH/LILRB1/LILRA1/IL27RA/CD79A/PTPN6/KLRB1/IL1R2/IL18R1/IL18RAP/KISS1R/EPHA4/CD160/TREM1/PTGER2/FFAR2/CCR7/LILRB2/FCRLA/PTPRE/KLRD1/PLXNC1/TLR2/SORL1/SCARB2/CD27/LPAR6/IGF1R/IGSF6/NPC1/FCGR2A/FCRL5/FCGR1A/FCER1G/IFNGR2/ITGB2/FCRL3/TREML1/TGFBR2/CCR1/F2RL1/GPR146/ABCA1/CD3D/CX3CR1/PTAFR/CD14/OSCAR/FPR1/GPR34/C3AR1/CLEC12A/CYSLTR1/TLR10/TLR1/IL17RA/HLA-DQB1/P2RY13/CSF1R/CCR3/GP1BA/PTCH1/CD300LF/LILRB4/LILRA5/TLR5/HLA-DRB1/HLA-DQA1/CSF2RA/CD247/CR1/HLA-DOA/HLA-DRA/LILRB3/KLRC2/HLA-DPA1/HLA-DOB/IL10RB/PECAM1",90
"GO:0045321","BP","GO:0045321","leukocyte activation","177/1264","479/5732",5.69314825774038e-15,3.65500118146932e-12,2.84158013917042e-12,"SKAP2/SLC25A5/CD79B/CD6/BID/SLC11A1/CD74/RUNX3/SLAMF7/GRN/TNFRSF9/RC3H2/KLF6/IFI35/BCL3/RORA/TCF3/FCGR2B/UNG/TOP2B/IL4R/GPR137B/CST7/CEACAM1/PSEN1/TCF7/LAT2/SIRPG/ALKBH5/MFNG/LGALS1/XBP1/CD40/IL21R/RIPK2/NDRG1/LYL1/LILRB1/IL27RA/CLC/CD79A/NKG7/PHF14/LIPA/DUSP3/BST1/ZBTB16/CD5/CD81/POU2AF1/PTPN6/VNN1/CD86/CBLB/ITGA4/IL18R1/IL18RAP/CD160/PRDX1/TNFSF4/ARG1/SLC46A2/LAX1/CD244/LY9/NCKAP1L/BTN2A2/RUNX2/IRF1/IL1B/CD93/CCR7/BCL11B/BST2/THEMIS2/LILRB2/LGALS3/SYT11/PRAM1/NOTCH2/RSAD2/KLRD1/CTSL/DYSF/DOCK10/TLR2/ADAM10/STAT4/ANXA3/LEF1/CD27/SLC15A4/SLC7A1/ITPKB/HSPD1/NFKBIZ/SH3KBP1/GSN/PTPRJ/RPS3/ITGB1/ADAM8/DCLRE1C/CD8A/MS4A1/CD1D/CD1C/FCER1G/IFNGR2/TNFRSF13C/ITGB2/FCRL3/TNFSF13/NCSTN/SLAMF6/S100A12/EOMES/TGFBR2/DNASE1L3/PRKCD/F2RL1/SYK/STOML2/CLEC4E/CLEC4D/NOD2/CD3D/CTNNB1/CX3CR1/INPP5D/LGALS9/PRELID1/PTAFR/ITGAM/CD8B/CD7/TLR1/GAPT/IMPDH2/HLA-DQB1/TIGIT/ZFP36L1/CD300LF/LILRB4/LRRK2/HLA-DRB1/HLA-DQA1/SIRPA/HLA-DRB5/SH2D1B/STK39/PNP/CD247/CR1/MAFB/HLA-DOA/HLA-DMA/HLA-DRA/AIF1/MICA/HLA-E/HLA-G/PSMB10/KLRC2/PHB2/FNIP1/HLA-DPB1/HLA-DPA1/HLA-DOB/HLA-DMB/DDOST/CEBPA/PRKDC/LYN/CCL5/CD24/CCL3",177
