"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04640","Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","37/757","49/3121",3.65204928927227e-14,1.08831068820314e-11,9.64909864849831e-12,"1438/948/100133941/3553/1436/951/3684/3122/3109/3108/2323/3112/3115/3113/3111/3123/3119/928/3117/921/929/4311/2811/290/3566/911/3676/7850/931/2209/3127/926/925/924/915/1378/912",37
"hsa05150","Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","22/757","28/3121",1.86279656801261e-09,2.77556688633878e-07,2.46085230826929e-07,"3689/25984/2204/5724/1675/3684/3122/3109/3108/3112/3115/3113/3111/3123/3119/3117/719/2357/2209/3127/2213/2212",22
"hsa04514","Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecules","31/757","51/3121",2.34363151046255e-08,2.3280073003928e-06,2.06404038289859e-06,"4267/3689/1462/3695/958/3684/201633/5175/3122/3109/3108/3133/3135/3112/3115/3113/6402/3111/3123/3119/3107/3117/923/3688/3676/83700/942/3127/926/925/4684",31
"hsa04940","Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","19/757","26/3121",1.89069833670461e-07,1.12685620867595e-05,9.99084805290227e-06,"3553/3122/3109/3108/3133/3135/3112/3002/3115/3113/3111/3123/3119/3107/3117/3329/942/3127/356",19
"hsa05332","Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","19/757","26/3121",1.89069833670461e-07,1.12685620867595e-05,9.99084805290227e-06,"3553/3122/3109/3108/3133/3135/3112/3002/3115/3113/3111/3123/3119/3107/3117/942/3127/3824/356",19
"hsa05321","Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","24/757","38/3121",3.42317155045161e-07,1.70017520339097e-05,1.50739659502343e-05,"3460/4094/3553/3122/3109/3108/3112/3115/3113/3111/3123/3119/3117/6095/3566/50615/8809/64127/7097/8807/3127/6772/6775/7100",24
"hsa05320","Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","18/757","25/3121",5.82510652304646e-07,1.95353086579391e-05,1.73202489337432e-05,"958/3122/3109/3108/3133/3135/3112/3002/3115/3113/3111/3123/3119/3107/3117/942/3127/356",18
"hsa05330","Human Diseases","Immune disease","hsa05330","Allograft rejection","18/757","25/3121",5.82510652304646e-07,1.95353086579391e-05,1.73202489337432e-05,"958/3122/3109/3108/3133/3135/3112/3002/3115/3113/3111/3123/3119/3107/3117/942/3127/356",18
"hsa05310","Human Diseases","Immune disease","hsa05310","Asthma","13/757","15/3121",5.90576114843969e-07,1.95353086579391e-05,1.73202489337432e-05,"958/3122/3109/3108/3112/3115/3113/3111/3123/3119/3117/2207/3127",13
"hsa04672","Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","17/757","23/3121",6.64618672977374e-07,1.95353086579391e-05,1.73202489337432e-05,"115650/3695/958/3122/3109/3108/3112/3115/3113/3111/3123/3119/3117/8741/3676/942/3127",17
"hsa04145","Cellular Processes","Transport and catabolism","hsa04145","Phagosome","43/757","90/3121",7.21101997440703e-07,1.95353086579391e-05,1.73202489337432e-05,"71/4689/81027/821/3689/23480/948/2204/1514/4074/3684/10376/3122/3109/3108/3133/3135/3112/1536/6890/3115/6891/3113/3111/3123/3119/7280/3107/3117/155066/653361/10952/929/3688/528/533/7097/2209/7846/3127/2213/9341/2212",43
"hsa05140","Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","27/757","49/3121",2.94133547209244e-06,7.3043164223629e-05,6.47609827627372e-05,"4689/3460/3689/3553/3684/3122/5777/3109/3108/3112/1536/3115/3113/3111/3123/3119/3117/653361/3688/3676/7097/2209/3127/1432/6772/2212/1378",27
"hsa04612","Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","27/757","52/3121",1.30734309665087e-05,0.000299683263693815,0.000265702928954955,"5721/821/1514/10437/3122/3109/3108/3133/3135/3304/3112/6890/3115/6891/3113/3111/3123/3119/3107/3117/972/3310/3127/3824/3822/926/925",27
