"","Symbol","Score","Filters","gomez","gosch","meaburn1","meaburn2","obermoser1","obermoser2","obermoser3","obermoser4","dusek","rusch","larocca","karlovich1","karlovich2","Studies"
"1","TSPAN6",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","DPM1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","SCYL3",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","C1orf112",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","FGR",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","CFH",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","FUCA2",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","GCLC",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","NFYA",1,"gosch.rs",0,1,0,0,0,0,0,0,0,0,0,0,0,1
"10","STPG1",1,"rusch.rs",0,0,0,0,0,0,0,0,0,1,0,0,0,1
"11","NIPAL3",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","LAS1L",1,"rusch.rs",0,0,0,0,0,0,0,0,0,1,0,0,0,1
"13","ENPP4",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","ANKIB1",1,"gosch.rs",0,1,0,0,0,0,0,0,0,0,0,0,0,1
"15","KRIT1",2,"gosch.rs meaburn1.rs",0,1,1,0,0,0,0,0,0,0,0,0,0,2
"16","RAD52",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","BAD",2,"meaburn1.rs meaburn2.rs",0,0,1,1,0,0,0,0,0,0,0,0,0,1
"18","LAP3",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","CD99",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","HS3ST1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","AOC1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","WNT16",2,"meaburn1.rs rusch.rs",0,0,1,0,0,0,0,0,0,1,0,0,0,2
"23","MAD1L1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","LASP1",1,"larocca.rs",0,0,0,0,0,0,0,0,0,0,1,0,0,1
"25","SNX11",2,"meaburn2.rs dusek.rs",0,0,0,1,0,0,0,0,1,0,0,0,0,2
"26","TMEM176A",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","M6PR",1,"larocca.rs",0,0,0,0,0,0,0,0,0,0,1,0,0,1
"28","ICA1",2,"karlovich1.rs karlovich2.rs",0,0,0,0,0,0,0,0,0,0,0,1,1,1
"29","DBNDD1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","ALS2",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","CASP10",1,"larocca.rs",0,0,0,0,0,0,0,0,0,0,1,0,0,1
"32","CFLAR",1,"karlovich2.rs",0,0,0,0,0,0,0,0,0,0,0,0,1,1
"33","TFPI",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","NDUFAF7",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","RBM5",2,"gomez.rs meaburn1.rs",1,0,1,0,0,0,0,0,0,0,0,0,0,2
"36","MTMR7",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","ARF5",4,"gomez.rs gosch.rs meaburn1.rs rusch.rs",1,1,1,0,0,0,0,0,0,1,0,0,0,4
"38","SARM1",1,"rusch.rs",0,0,0,0,0,0,0,0,0,1,0,0,0,1
"39","POLDIP2",4,"gomez.rs meaburn2.rs dusek.rs rusch.rs",1,0,0,1,0,0,0,0,1,1,0,0,0,4
"40","PLXND1",1,"karlovich1.rs",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"41","AK2",5,"gomez.rs meaburn1.rs meaburn2.rs dusek.rs larocca.rs",1,0,1,1,0,0,0,0,1,0,1,0,0,4
"42","CD38",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","FKBP4",2,"dusek.rs karlovich2.rs",0,0,0,0,0,0,0,0,1,0,0,0,1,2
"44","KDM1A",4,"gomez.rs obermoser4.rs rusch.rs larocca.rs",1,0,0,0,0,0,0,1,0,1,1,0,0,4
"45","RBM6",1,"gomez.rs",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"46","CAMKK1",1,"rusch.rs",0,0,0,0,0,0,0,0,0,1,0,0,0,1
"47","RECQL",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","VPS50",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","ARHGAP33",2,"meaburn1.rs rusch.rs",0,0,1,0,0,0,0,0,0,1,0,0,0,2
"50","NDUFAB1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","PDK4",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","SLC22A16",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","ZMYND10",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","SLC25A13",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","ST7",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","CDC27",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","SLC4A1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","HCCS",2,"gomez.rs meaburn1.rs",1,0,1,0,0,0,0,0,0,0,0,0,0,2
"59","DVL2",3,"gosch.rs meaburn1.rs larocca.rs",0,1,1,0,0,0,0,0,0,0,1,0,0,3
"60","UPF1",2,"gosch.rs larocca.rs",0,1,0,0,0,0,0,0,0,0,1,0,0,2
"61","SKAP2",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","SLC25A5",1,"gomez.rs",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"63","MCUB",1,"gomez.rs",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"64","POLR2J",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","DHX33",3,"gosch.rs meaburn1.rs meaburn2.rs",0,1,1,1,0,0,0,0,0,0,0,0,0,2
"66","MEOX1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","LIG3",5,"gomez.rs meaburn1.rs meaburn2.rs rusch.rs larocca.rs",1,0,1,1,0,0,0,0,0,1,1,0,0,4
"68","RPAP3",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","ACSM3",1,"meaburn2.rs",0,0,0,1,0,0,0,0,0,0,0,0,0,1
"70","AC004381",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","CIAPIN1",2,"gomez.rs larocca.rs",1,0,0,0,0,0,0,0,0,0,1,0,0,2
"72","SPPL2B",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","FAM214B",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","COPZ2",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","PRKAR2B",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","MSL3",1,"larocca.rs",0,0,0,0,0,0,0,0,0,0,1,0,0,1
"77","CREBBP",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","TSPOAP1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","MPO",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","GCFC2",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","WDR54",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","CROT",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","ABCB4",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","KMT2E",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","RHBDD2",3,"gomez.rs meaburn1.rs meaburn2.rs",1,0,1,1,0,0,0,0,0,0,0,0,0,2
"86","SOX8",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","IBTK",1,"gomez.rs",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"88","ZNF195",1,"gomez.rs",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"89","MYCBP2",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","FBXL3",1,"gosch.rs",0,1,0,0,0,0,0,0,0,0,0,0,0,1
"91","ITGAL",1,"larocca.rs",0,0,0,0,0,0,0,0,0,0,1,0,0,1
"92","PDK2",2,"meaburn1.rs dusek.rs",0,0,1,0,0,0,0,0,1,0,0,0,0,2
"93","ITGA3",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94","ZFX",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","LAMP2",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","ITGA2B",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","GDE1",1,"meaburn1.rs",0,0,1,0,0,0,0,0,0,0,0,0,0,1
"98","C19orf60",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","OSBPL7",1,"rusch.rs",0,0,0,0,0,0,0,0,0,1,0,0,0,1
"100","MAP3K14",2,"larocca.rs karlovich1.rs",0,0,0,0,0,0,0,0,0,0,1,1,0,2
"101","AP2B1",1,"meaburn2.rs",0,0,0,1,0,0,0,0,0,0,0,0,0,1
"102","ZNF263",1,"larocca.rs",0,0,0,0,0,0,0,0,0,0,1,0,0,1
"103","SPATA20",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","TNFRSF12A",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","MAP3K9",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106","RALA",2,"gomez.rs larocca.rs",1,0,0,0,0,0,0,0,0,0,1,0,0,2
"107","BAIAP2L1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108","KDM7A",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109","AGK",1,"larocca.rs",0,0,0,0,0,0,0,0,0,0,1,0,0,1
"110","ALDH3B1",2,"dusek.rs rusch.rs",0,0,0,0,0,0,0,0,1,1,0,0,0,2
"111","TTC22",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112","PHTF2",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113","FARP2",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114","GGCT",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115","DBF4",1,"gomez.rs",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"116","TBXA2R",1,"meaburn1.rs",0,0,1,0,0,0,0,0,0,0,0,0,0,1
"117","IFRD1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118","COX10",1,"meaburn1.rs",0,0,1,0,0,0,0,0,0,0,0,0,0,1
"119","PAF1",3,"gomez.rs obermoser4.rs rusch.rs",1,0,0,0,0,0,0,1,0,1,0,0,0,3
"120","VPS41",1,"gomez.rs",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"121","ELAC2",1,"rusch.rs",0,0,0,0,0,0,0,0,0,1,0,0,0,1
"122","ARSD",3,"meaburn2.rs rusch.rs karlovich2.rs",0,0,0,1,0,0,0,0,0,1,0,0,1,3
"123","PNPLA4",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124","ADIPOR2",4,"obermoser2.rs obermoser3.rs obermoser4.rs larocca.rs",0,0,0,0,0,1,1,1,0,0,1,0,0,2
"125","PRSS21",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126","MARK4",2,"meaburn2.rs karlovich2.rs",0,0,0,1,0,0,0,0,0,0,0,0,1,2
"127","CCDC124",1,"meaburn2.rs",0,0,0,1,0,0,0,0,0,0,0,0,0,1
"128","CEACAM21",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129","PAFAH1B1",3,"gomez.rs gosch.rs larocca.rs",1,1,0,0,0,0,0,0,0,0,1,0,0,3
"130","KIAA0100",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131","GAS7",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132","TRAPPC6A",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133","MATK",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134","CD79B",1,"meaburn1.rs",0,0,1,0,0,0,0,0,0,0,0,0,0,1
"135","ST7L",1,"rusch.rs",0,0,0,0,0,0,0,0,0,1,0,0,0,1
"136","TKTL1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137","RPUSD1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138","LUC7L",3,"gosch.rs meaburn1.rs rusch.rs",0,1,1,0,0,0,0,0,0,1,0,0,0,3
"139","CACNA2D2",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140","BAIAP3",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141","TSR3",1,"gosch.rs",0,1,0,0,0,0,0,0,0,0,0,0,0,1
"142","PIGQ",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143","CRAMP1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144","DNAJC11",2,"meaburn1.rs larocca.rs",0,0,1,0,0,0,0,0,0,0,1,0,0,2
"145","MYLIP",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146","E2F2",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"147","PSMB1",1,"obermoser4.rs",0,0,0,0,0,0,0,1,0,0,0,0,0,1
"148","JARID2",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149","CDKL5",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150","CDK11A",1,"meaburn2.rs",0,0,0,1,0,0,0,0,0,0,0,0,0,1
"151","NADK",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152","DLEC1",1,"meaburn2.rs",0,0,0,1,0,0,0,0,0,0,0,0,0,1
"153","CYTH3",1,"dusek.rs",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"154","ADAM22",1,"karlovich1.rs",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"155","SYPL1",1,"larocca.rs",0,0,0,0,0,0,0,0,0,0,1,0,0,1
"156","CYB561",2,"rusch.rs karlovich1.rs",0,0,0,0,0,0,0,0,0,1,0,1,0,2
"157","SPAG9",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158","CELSR3",1,"karlovich2.rs",0,0,0,0,0,0,0,0,0,0,0,0,1,1
"159","AASS",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160","PLEKHG6",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161","SS18L2",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162","MPND",1,"gosch.rs",0,1,0,0,0,0,0,0,0,0,0,0,0,1
"163","MGST1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164","CRY1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165","PGLYRP1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"166","NFIX",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167","ST3GAL1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168","MMP25",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
