"","Symbol","Within Variation (SD)","Total Variation (SD)","Rs","subject","time","repeatability","gen.variance","Average Expression","OVERALL_RP","OVERALL_RANK"
"4532","CYP24A1","64","45","10723","1196","15547","1290","1077","4",487.521751451852,1
"6506","FMN2","204","118","11039","1200.5","4713","1513","1513","33",761.924017192692,2
"19004","RSU1P2","233","64","16561","480.5","5007","1304","1135","625",927.910017374892,3
"15872","PLPPR4","48","38","8459","5341","6980.50000000001","4780","1493","143",935.587883510099,4
"16654","PTPRZ1","1103","187","15632","534.5","6980.50000000001","509.5","509.5","426",1036.32383120473,5
"16965","RASSF9","282","150","11628","4104","6980.50000000001","3444","1551","18",1038.68973571374,6
"10609","LOC101927636","313.045677852902","166.898691946832","13048.4744384889","2088.83198485896","7265.97959446909","1715.13215498537","1301.06137965482","63.5819101274889",1049.16399113665,7
"15002","OSMR","691","241","13823","534.5","6980.50000000001","509.5","509.5","1608",1173.04117748793,8
"4025","CPXCR1","298.311917294633","171.886590518283","12209.2493626758","2484.28017743571","9121.81780129378","1862.31710511395","937.251567083246","146.041090108229",1174.31214012727,9
"9773","LINC00317","23","23","6688","8134.99999999999","6980.50000000001","8380","1663","1669",1212.5469923397,10
"23018","UGT2A1","952","191","15354","534.5","14301","509.5","509.5","1808",1333.78735684566,11
"10799","LOC101928633","13687","16346","70","247","8059.49999999999","2275","2275","87",1391.2754240232,12
"20867","ST6GAL2","4562","1854","17133","480.5","5007","529.5","529.5","169",1419.86974534284,13
"6597","FREM1","738.247248555658","343.906964163275","13233.7966585557","1293.2983027902","9696.4093612017","1460.36844665995","1202.1539002973","245.385411139293",1436.69149410126,14
"20065","SLCO2B1","3896","1036","19704","286.5","6915","357.5","357.5","967",1449.36763778775,15
"11660","LRIG2-DT","235.197986893574","140.139231658622","10359.9924455434","5266.35282552032","8681.60447694186","5283.91711831622","2655.67356792937","105.316572168561",1480.42450508984,16
"6862","GDA","314","142","12035","1200.5","4713","3196","3079","871",1502.86436975455,17
"11379","LOC105377134","328.396102291121","302.469833206553","8941.78170165207","2165.74929296999","5911.96781960119","1508.2829641682","1019.9995098038","1637.69075224842",1521.05487202023,18
"22493","TRIM63","5769","1604","19820","286.5","6915","357.5","357.5","633",1525.93187753827,19
"13578","MRGPRX1","1533","786","12627","534.5","6980.50000000001","509.5","509.5","2469",1567.16084933757,20
"6054","FAM217A","355.325203159022","163.987804424597","14521.3131293282","2748.98181150767","6802.55055108008","2256.35602243972","1501.53621334952","694.447982213211",1571.66065826353,21
"23715","ZBED3-AS1","4690","1423","19549","639.5","4435.5","556.5","556.5","351",1586.95773129513,22
"10072","LINC02493","2266","970","13948","534.5","6980.50000000001","509.5","509.5","1386",1591.48913587578,23
"6184","FAM9A","78","135","5639","8339","6980.50000000001","8489","2207","688",1607.34752008056,24
"14163","NCRNA00185","14403","16297","238","549","8059.49999999999","2275","2275","37",1619.56289825228,25
"2037","BRINP1","3781","858","15847","534.5","6980.50000000001","509.5","509.5","959",1621.33508591482,26
"5172","DSC3","705.063279543682","290.371893596404","13576.1508580205","1658.90600705376","7173.89720638777","1449.95829690361","1172.88488460665","920.982218919887",1637.94683253608,27
"20611","SPATA22","796","448","11549","4379","6980.50000000001","3976","1915","67",1682.52242792405,28
"10581","LOC101927468","212","310","9003.99999999999","8113.99999999999","5007","6645","2924","143",1690.80784173935,29
"19238","SCN11A","617.690347761518","439.594270817451","11285.1401440266","5849.19634565342","9684.6793171132","5681.93632854221","3234.12307888687","21.7593306594884",1698.93283427514,30
"2840","CCDC148","967","440","12723","1653","6980.50000000001","1309","1150","766",1706.81633228841,31
