"","Symbol","Within Variation (SD)","Total Variation (SD)","Rs","subject","time","repeatability","gen.variance","Average Expression","OVERALL_RP","OVERALL_RANK"
"4532","CYP24A1",0.02,0.01,65.08,4.69,98.91,4.48,4.27,0.02,0,0
"6506","FMN2",0.06,0.03,67.52,4.71,3.85,5.3,5.31,0.25,0,0
"19004","RSU1P2",0.08,0.01,96.96,1.18,3.92,4.52,4.33,5.42,0.01,0.01
"15872","PLPPR4",0.01,0,45.87,35.37,19.43,28.4,5.27,1.12,0.01,0.01
"16654","PTPRZ1",1.08,0.1,94.51,1.31,19.43,0.14,0.14,3.54,0.02,0.02
"16965","RASSF9",0.1,0.07,71.73,25.18,19.43,18.69,5.37,0.15,0.02,0.02
"10609","LOC101927636",0.14,0.08,80.64,11.88,23.33,6.28,4.57,0.5,0.02,0.02
"15002","OSMR",0.47,0.13,85.03,1.31,19.43,0.14,0.14,15.97,0.03,0.03
"4025","CPXCR1",0.12,0.09,75.59,13.99,69.46,6.61,2.26,1.14,0.03,0.03
"9773","LINC00317",0,0,31.46,60.91,19.43,63.04,5.95,16.65,0.04,0.04
"23018","UGT2A1",0.84,0.11,93.28,1.31,97.42,0.14,0.14,18.14,0.04,0.04
"10799","LOC101928633",83.49,97.34,0.24,0.5,43.69,10.25,9.56,0.69,0.04,0.04
"20867","ST6GAL2",17.39,4.04,97.45,1.18,3.92,0.19,0.19,1.27,0.05,0.05
"6597","FREM1",0.53,0.21,81.68,5.06,78.67,5.02,4.4,1.91,0.05,0.05
"20065","SLCO2B1",13.02,1.47,99.28,1.04,18.68,0.05,0.05,8.94,0.06,0.06
"11660","LRIG2-DT",0.08,0.05,62.3,34.71,60.9,33.06,12.93,0.84,0.06,0.06
"6862","GDA",0.15,0.06,74.47,4.71,3.85,17.18,15.02,7.95,0.07,0.07
"11379","LOC105377134",0.15,0.18,50.24,12.26,14.89,5.28,4.23,16.3,0.07,0.07
"22493","TRIM63",25.78,3.1,99.33,1.04,18.68,0.05,0.05,5.51,0.07,0.07
"13578","MRGPRX1",2.04,0.89,78.12,1.31,19.43,0.14,0.14,24.91,0.08,0.08
"6054","FAM217A",0.2,0.07,88.88,15.68,17.46,8.29,5.29,6.15,0.08,0.08
"23715","ZBED3-AS1",18.3,2.52,99.18,1.59,3.67,0.22,0.22,2.83,0.09,0.09
"10072","LINC02493",4.46,1.36,85.78,1.31,19.43,0.14,0.14,13.47,0.09,0.09
"6184","FAM9A",0.02,0.05,24.2,62.72,19.43,63.93,7.47,6.07,0.09,0.09
"14163","NCRNA00185",88.44,97.18,0.72,1.37,43.69,10.25,9.56,0.28,0.1,0.1
"2037","BRINP1",12.32,1.04,95.16,1.31,19.43,0.14,0.14,8.86,0.1,0.1
"5172","DSC3",0.48,0.17,83.72,9.68,21.56,5.01,4.38,8.47,0.11,0.11
