"","Symbol","Score","Filters","gomez","meaburn","gosch","obermoser","dusek","rusch","larocca","Study_counts"
"1","TSPAN6",3,"meaburn2.vp gosch.rp meaburn2.rp",0,2,1,0,0,0,0,2
"2","DPM1",2,"obermoser4.vp meaburn1.rp",0,1,0,1,0,0,0,2
"3","SCYL3",7,"meaburn1.sd meaburn1.vp dusek.vp meaburn1.rp meaburn2.rp obermoser2.rp dusek.rp",0,4,0,1,2,0,0,3
"4","C1orf112",0,"",0,0,0,0,0,0,0,0
"5","FGR",5,"gosch.vp meaburn2.vp obermoser1.vp obermoser4.vp obermoser1.rp",0,1,1,3,0,0,0,3
"6","CFH",10,"gomez.vp gosch.vp obermoser1.vp obermoser4.vp gomez.rp gosch.rp obermoser1.rp obermoser3.rp obermoser4.rp larocca.rp",2,0,2,5,0,0,1,4
"7","FUCA2",4,"gomez.vp gosch.vp obermoser1.rp obermoser3.rp",1,0,1,2,0,0,0,3
"8","GCLC",9,"gosch.vp obermoser4.vp dusek.vp gosch.rp meaburn1.rp obermoser1.rp obermoser4.rp dusek.rp rusch.rp",0,1,2,3,2,1,0,5
"9","NFYA",5,"meaburn1.vp rusch.vp meaburn1.rp meaburn2.rp rusch.rp",0,3,0,0,0,2,0,2
"10","STPG1",1,"dusek.rp",0,0,0,0,1,0,0,1
"11","NIPAL3",15,"gomez.vp meaburn1.vp obermoser2.vp obermoser3.vp dusek.vp rusch.vp larocca.vp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp dusek.rp rusch.rp",1,3,1,5,2,2,1,7
"12","LAS1L",1,"obermoser1.rp",0,0,0,1,0,0,0,1
"13","ENPP4",10,"meaburn1.vp obermoser1.vp obermoser2.vp obermoser4.vp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp",0,3,1,6,0,0,0,3
"14","ANKIB1",4,"meaburn1.vp meaburn2.vp rusch.vp rusch.rp",0,2,0,0,0,2,0,2
"15","KRIT1",14,"meaburn1.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp meaburn1.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp",0,2,0,8,2,2,0,4
"16","RAD52",7,"gosch.vp meaburn2.vp dusek.vp rusch.vp meaburn1.rp meaburn2.rp rusch.rp",0,3,1,0,1,2,0,4
"17","BAD",5,"meaburn1.vp obermoser3.vp dusek.vp obermoser3.rp dusek.rp",0,1,0,2,2,0,0,3
"18","LAP3",11,"gomez.vp gosch.vp obermoser1.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp rusch.rp",2,2,2,4,0,1,0,5
"19","CD99",9,"rusch.sd gosch.vp obermoser1.vp dusek.vp rusch.vp meaburn1.rp obermoser1.rp dusek.rp rusch.rp",0,1,1,2,2,3,0,5
"20","HS3ST1",12,"gomez.vp meaburn1.vp obermoser1.vp obermoser3.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser3.rp rusch.rp",2,3,1,3,1,2,0,6
"21","AOC1",18,"gomez.vp gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,3,2,7,2,1,1,7
"22","WNT16",2,"meaburn2.rp larocca.rp",0,1,0,0,0,0,1,2
"23","MAD1L1",13,"meaburn1.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp meaburn1.rp obermoser1.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp",0,2,0,7,2,2,0,4
"24","LASP1",5,"meaburn1.vp obermoser2.vp obermoser3.vp obermoser4.vp meaburn1.rp",0,2,0,3,0,0,0,2
"25","SNX11",7,"meaburn1.vp obermoser2.vp obermoser4.vp larocca.vp meaburn1.rp obermoser3.rp obermoser4.rp",0,2,0,4,0,0,1,3
