"","Symbol","Score","Filters","gomez","meaburn","gosch","obermoser","dusek","rusch","larocca","karlovich","Study_counts"
"1","TSPAN6",1,"gosch.rp",0,0,1,0,0,0,0,0,1
"2","DPM1",0,"",0,0,0,0,0,0,0,0,0
"3","SCYL3",6,"meaburn1.sd meaburn1.vp dusek.vp meaburn1.rp meaburn2.rp dusek.rp",0,4,0,0,2,0,0,0,2
"4","C1orf112",0,"",0,0,0,0,0,0,0,0,0
"5","FGR",4,"gosch.vp meaburn2.vp karlovich1.vp karlovich1.rp",0,1,1,0,0,0,0,2,3
"6","CFH",7,"gomez.vp gosch.vp obermoser4.vp gomez.rp gosch.rp obermoser4.rp larocca.rp",2,0,2,2,0,0,1,0,4
"7","FUCA2",3,"gomez.vp gosch.vp obermoser3.rp",1,0,1,1,0,0,0,0,3
"8","GCLC",8,"gosch.vp obermoser4.vp gosch.rp meaburn1.rp obermoser1.rp obermoser4.rp rusch.rp karlovich2.rp",0,1,2,3,0,1,0,1,5
"9","NFYA",2,"meaburn1.vp rusch.rp",0,1,0,0,0,1,0,0,2
"10","STPG1",0,"",0,0,0,0,0,0,0,0,0
"11","NIPAL3",9,"gomez.vp meaburn1.vp obermoser2.vp obermoser3.vp larocca.vp gosch.rp meaburn1.rp obermoser3.rp karlovich1.rp",1,2,1,3,0,0,1,1,6
"12","LAS1L",0,"",0,0,0,0,0,0,0,0,0
"13","ENPP4",10,"meaburn1.vp obermoser1.vp obermoser2.vp obermoser4.vp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp",0,3,1,6,0,0,0,0,3
"14","ANKIB1",2,"rusch.vp rusch.rp",0,0,0,0,0,2,0,0,1
"15","KRIT1",12,"meaburn1.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp",0,1,0,7,2,2,0,0,4
"16","RAD52",1,"gosch.vp",0,0,1,0,0,0,0,0,1
"17","BAD",1,"obermoser3.vp",0,0,0,1,0,0,0,0,1
"18","LAP3",15,"rusch.sd gomez.vp gosch.vp obermoser1.vp karlovich1.vp karlovich2.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser4.rp rusch.rp karlovich1.rp karlovich2.rp",2,2,2,3,0,2,0,4,6
"19","CD99",12,"gosch.vp obermoser1.vp dusek.vp rusch.vp karlovich1.vp karlovich2.vp meaburn1.rp obermoser1.rp dusek.rp rusch.rp karlovich1.rp karlovich2.rp",0,1,1,2,2,2,0,4,6
