"","gene_name"
"1","CHURC1"
"2","SPATA20"
"3","PSMD5-AS1"
"4","DDX11"
"5","ERAP2"
"6","SNHG5"
"7","CLEC12A"
"8","XRRA1"
"9","SLC12A7"
"10","PADI2"
"11","CPNE1"
"12","LINC01291"
"13","GABPB1-AS1"
"14","CCDC163"
"15","RPS26"
"16","DCTN5"
"17","IGHMBP2"
"18","CPSF1"
"19","FAM118A"
"20","PRUNE2"
"21","ZNF266"
"22","GRHPR"
"23","LRRC37A4P"
"24","MFSD9"
"25","NBPF8"
"26","MAN2C1"
"27","SMG5"
"28","DGKQ"
"29","LYZ"
"30","PEX6"
"31","ARL16"
"32","FLYWCH1"
"33","ACCS"
"34","HLA-DQB1"
"35","LINC01730"
"36","CLEC12B"
"37","DDX11L2"
"38","GM2A"
"39","PSPHP1"
"40","CD151"
"41","RP11-459O1.2"
"42","P2RX1"
"43","NT5C3B"
"44","GLMP"
"45","TREML4"
"46","PAQR6"
"47","C3AR1"
"48","MAPK8IP1P2"
"49","ACTBP8"
"50","RP1-283E3.4"
"51","KANSL1-AS1"
"52","HLA-DQB2"
"53","BEGAIN"
"54","SNX19"
"55","AFAP1"
"56","SMDT1"
"57","MDGA1"
"58","CTC-510F12.4"
"59","SNHG17"
"60","FOLR3"
"61","RNPEP"
"62","IGHV5-10-1"
"63","RP11-259G18.3"
"64","NAPSB"
"65","RP11-661A12.5"
"66","RHD"
"67","JUP"
"68","BTNL3"
"69","CMB9-55F22.1"
"70","CEACAM21"
"71","VASH1"
"72","IGHV3-64D"
"73","IGHV4-4"
"74","C17orf97"
"75","TUFM"
"76","LGALS9"
"77","MFN2"
"78","TMEM176A"
"79","CFD"
"80","ZFP57"
"81","AP000350.5"
"82","RP11-526I2.5"
"83","TUBB2A"
"84","FADS2"
"85","PWP2"
"86","AF001548.5"
"87","C21orf33"
"88","RP11-605F22.2"
"89","ADK"
"90","IGHV7-4-1"
"91","MAPK8IP1P1"
"92","FLVCR1-AS1"
"93","TMEM176B"
"94","AC068282.3"
"95","TFIP11"
"96","DND1P1"
"97","MILR1"
"98","IGHV1-3"
"99","PSD4"
"100","ATP1A4"
"101","SRD5A3"
"102","TREML5P"
"103","BTNL8"
"104","LL22NC03-80A10.6"
"105","HSD17B12"
"106","TAPBPL"
"107","LGALS2"
"108","ADARB2"
"109","TOP3BP1"
"110","CEACAMP3"
"111","HLA-DQA2"
"112","LIPN"
"113","PKD1P5"
"114","XXbac-BPG181B23.7"
"115","BTN3A2"
"116","MMP25"
"117","GSTM4"
"118","SIRPB1"
"119","RP11-678G14.3"
"120","CDC16"
"121","UAP1L1"
"122","UMODL1-AS1"
"123","LCN8"
"124","B4GALNT3"
"125","MIF-AS1"
"126","SHTN1"
"127","MIR6891"
"128","RP11-262H14.3"
"129","SLC12A1"
"130","LLPH-AS1"
"131","CLEC4C"
"132","NBPF26"
"133","KIR2DS4"
"134","TRIM52-AS1"
"135","NBPF3"
"136","ARPIN"
"137","RP1-229K20.8"
"138","HLA-DRB5"
"139","EPHA1-AS1"
"140","RBM6"
"141","SULT1A2"
"142","AC091729.9"
"143","FAM3B"
"144","MOSPD3"
"145","RP1-229K20.9"
"146","PPIE"
"147","ZYX"
"148","C7orf25"
"149","ZC3H3"
"150","CHST13"
"151","ABCA7"
"152","S100P"
"153","ZNF641"
"154","ZFP90"
"155","C4BPA"
"156","NFXL1"
"157","CPA5"
"158","NIPAL2"
"159","NAGK"
"160","LRRC6"
"161","RP11-10A14.5"
"162","APOBEC3B"
"163","BAK1"
"164","WASH2P"
"165","TRIM66"
"166","TREML3P"
"167","RP11-22B23.1"
"168","CLEC18A"
"169","RP3-465N24.5"
"170","CTDP1"
"171","SLC35E2B"
"172","NMRK1"
"173","SKAP2"
"174","RP5-1021I20.1"
"175","ACSL5"
"176","STX2"
"177","NEDD1"
"178","RP11-18H21.1"
"179","RPH3A"
"180","CAST"
"181","HOTAIRM1"
"182","NECAP1"
"183","TMEM9"
"184","MARK4"
"185","NTPCR"
"186","MFSD14B"
"187","IGHV3-48"
"188","MYO15B"
"189","PLP2"
"190","NSUN4"
"191","SH3BP1"
"192","ZNF429"
"193","VARS2"
"194","RP11-109L13.1"
"195","PEX11G"
"196","TRMT12"
"197","IGHV1-2"
"198","IFITM3"
"199","CRIPAK"
"200","AOC1"
"201","LY6G5C"
"202","LINC02210"
"203","USP32P2"
"204","ADCY3"
"205","SLC5A11"
"206","CNR1"
"207","DHFR"
