"X","Symbol","P.Score","P.Studies","AdjP.Score","AdjP.Studies","gomez","meaburn","gosch","obermoser","dusek","rusch","larocca","P.value.Studies","Adjusted.P.value.Studies"
1,"NEK8",15,"gomez gosch6 gosch9 gosch12 gosch15 obermoser1PneumBaseVSthree obermoser1PneumBaseVStwentyEight obermoser1PneumBaseVStwentyOne obermoser4PNEUMBaselineVSfortyEight obermoser4SalineBaselineVSfifteen obermoser4SalineBaselineVSnine obermoser4SalineBaselineVSthirtySix obermoser4SalineBaselineVSthree obermoser4SalineBaselineVStwelve obermoser4SalineBaselineVStwentyFour",4,"gosch6 gosch9 gosch12 gosch15",1,0,4,10,0,0,0,3,1
2,"IPP",14,"gomez meaburn1 meaburn2 gosch9 gosch12 obermoser1PneumBaseVSone obermoser1PneumBaseVSseven obermoser1PneumBaseVStwentyOne obermoser1SalineBaseVSfourteen obermoser3SalineBaseVSten obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSfortyEight obermoser4FLUBaselineVSthree obermoser4FLUBaselineVStwentyFour",3,"gosch9 gosch12 obermoser1PneumBaseVSseven",1,2,2,9,0,0,0,4,2
3,"CDKN2AIPNL",21,"gomez meaburn2 gosch9 gosch21 obermoser1PneumBaseVSseven obermoser1PneumBaseVSten obermoser1PneumBaseVStwentyOne obermoser1PneumBaseVSzero obermoser1SalineBaseVSfourteen obermoser1SalineBaseVStwentyEight obermoser3SalineBaseVSten obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSfortyEight obermoser4FLUBaselineVSnine obermoser4FLUBaselineVSone.5 obermoser4FLUBaselineVSsix obermoser4FLUBaselineVSthirtySix obermoser4FLUBaselineVSthree obermoser4FLUBaselineVStwelve obermoser4FLUBaselineVStwentyFour obermoser4FLUBaselineVSzero",5,"obermoser1PneumBaseVSseven obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSnine obermoser4FLUBaselineVSthirtySix obermoser4FLUBaselineVStwelve",1,1,2,17,0,0,0,4,1
5,"MAPK7",28,"gomez gosch6 gosch9 gosch12 gosch18 obermoser1PneumBaseVSseven obermoser1PneumBaseVSten obermoser1SalineBaseVSseven obermoser2PNEUMBaseVSZero obermoser3FLUBaseVSseven obermoser3PNEUMBaseVSone obermoser3SalineBaseVSpoint5 obermoser3SalineBaseVSzero obermoser4FLUBaselineVSnine obermoser4FLUBaselineVSthree obermoser4FLUBaselineVStwentyFour obermoser4FLUBaselineVSzero obermoser4PNEUMBaselineVSfifteen obermoser4PNEUMBaselineVSfortyEight obermoser4PNEUMBaselineVSnine obermoser4SalineBaselineVSfortyEight obermoser4SalineBaselineVSone.5 obermoser4SalineBaselineVSsix obermoser4SalineBaselineVSthirtySix obermoser4SalineBaselineVSthree obermoser4SalineBaselineVStwelve obermoser4SalineBaselineVStwentyFour obermoser4SalineBaselineVSzero",3,"gosch9 gosch12 obermoser4SalineBaselineVSthirtySix",1,0,4,23,0,0,0,3,2
7,"NAT10",19,"gomez gosch6 gosch9 gosch12 gosch15 gosch21 obermoser1SalineBaseVSseven obermoser1SalineBaseVSzero obermoser4FLUBaselineVSthree obermoser4FLUBaselineVStwelve obermoser4FLUBaselineVSzero obermoser4SalineBaselineVSfortyEight obermoser4SalineBaselineVSnine obermoser4SalineBaselineVSone.5 obermoser4SalineBaselineVSsix obermoser4SalineBaselineVSthree obermoser4SalineBaselineVStwelve obermoser4SalineBaselineVStwentyFour obermoser4SalineBaselineVSzero",7,"gosch9 gosch12 gosch15 obermoser4SalineBaselineVSnine obermoser4SalineBaselineVSone.5 obermoser4SalineBaselineVSsix obermoser4SalineBaselineVSthree",1,0,5,13,0,0,0,3,2
8,"SERPINB2",5,"gomez obermoser3FLUBaseVSseven obermoser3FLUBaseVSten obermoser3FLUBaseVStwentyEight obermoser3PNEUMBaseVSpoint5",0,"",1,0,0,4,0,0,0,2,0
9,"LRIG1",19,"gomez meaburn1 meaburn2 gosch6 gosch9 gosch12 gosch15 gosch18 obermoser1FluBaseVSone obermoser1FluBaseVStwentyEight obermoser1PneumBaseVSone obermoser1PneumBaseVSseven obermoser1PneumBaseVSthree obermoser3SalineBaseVStwentyEight obermoser4FLUBaselineVStwelve obermoser4PNEUMBaselineVSfifteen obermoser4SalineBaselineVSone.5 obermoser4SalineBaselineVSthree rusch",5,"gosch6 gosch9 gosch12 gosch15 obermoser1PneumBaseVSone",1,2,5,10,0,1,0,5,2
11,"LINC00921",13,"gomez meaburn1 meaburn2 gosch9 gosch12 obermoser1PneumBaseVSone obermoser3FLUBaseVSone obermoser3PNEUMBaseVSseven obermoser4FLUBaselineVSnine obermoser4FLUBaselineVSone.5 obermoser4SalineBaselineVSone.5 obermoser4SalineBaselineVSthree larocca",1,"gosch9",1,2,2,7,0,0,1,5,1
12,"ALCAM",7,"gomez meaburn2 obermoser1PneumBaseVSseven obermoser1PneumBaseVSten obermoser4FLUBaselineVSfifteen obermoser4SalineBaselineVStwentyFour rusch",0,"",1,1,0,4,0,1,0,4,0
13,"TRIM68",13,"gomez gosch12 obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSfortyEight obermoser4FLUBaselineVSnine obermoser4FLUBaselineVSone.5 obermoser4FLUBaselineVSthirtySix obermoser4FLUBaselineVSthree obermoser4FLUBaselineVStwelve obermoser4FLUBaselineVStwentyFour obermoser4FLUBaselineVSzero obermoser4PNEUMBaselineVSzero obermoser4SalineBaselineVSnine",1,"obermoser4FLUBaselineVSfifteen",1,0,1,11,0,0,0,3,1
