"","eQTL p_val","GWAS p_val","#State Studies","#Trait Studies","Expression Level Percentile","Repeatability Percentile","Genetic Var Percentile","#Trait Assoc"
"SNX1",13.74,7.4,5,3,9.2,51,70,32
"SNX1",13.74,8,5,3,9.2,51,70,32
"SNX1",13.74,6.1,5,3,9.2,51,70,32
"TRIP4",13.37,7.4,3,0,12,64,76,33
"TRIP4",13.37,8,3,0,12,64,76,33
"TRIP4",13.37,6.1,3,0,12,64,76,33
"CSNK1G1",21.43,6.1,1,3,45,66,74,44
"CSNK1G1",21.43,8,1,3,45,66,74,44
"CSNK1G1",21.43,7.4,1,3,45,66,74,44
"GSTM3",101,57.4,2,8,52,1.2,2,206
"GSTM3",101,58.7,2,8,52,1.2,2,206
"GSTM3",101,7.15,2,8,52,1.2,2,206
"GSTM3",101,6.7,2,8,52,1.2,2,206
"GSTM3",101,8,2,8,52,1.2,2,206
"AP4B1",32.4,11.22,3,1,16,28,52,32
"AP4B1",32.4,9.4,3,1,16,28,52,32
"AP4B1",32.4,5.22,3,1,16,28,52,32
"MTHFR",39.36,6.7,2,6,20,17,33,72
"PSMA4",14.96,17.22,3,3,5.4,39,37,137
"MCL1",15.42,14,5,3,6.6,49,46,87
"MCL1",15.42,8.05,5,3,6.6,49,46,87
"MCL1",15.42,13.05,5,3,6.6,49,46,87
"ARNT",26.54,14,0,2,40,69,73,168
"ARNT",26.54,8.05,0,2,40,69,73,168
"ARNT",26.54,13.05,0,2,40,69,73,168
"CTSS",13.36,8.05,5,7,1.2,28,34,175
"CTSS",13.36,13.05,5,7,1.2,28,34,175
"CTSS",13.36,14,5,7,1.2,28,34,175
"CTSK",52.37,8.05,1,3,39,44,47,201
"CTSK",52.37,13.05,1,3,39,44,47,201
"CTSK",52.37,14,1,3,39,44,47,201
"CTSK",52.37,6.52,1,3,39,44,47,201
"BLZF1",17.36,10.1,3,1,74,71,69,18
"BLZF1",17.36,11.52,3,1,74,71,69,18
"BLZF1",17.36,6.4,3,1,74,71,69,18
"BLZF1",17.36,12.4,3,1,74,71,69,18
"BLZF1",17.36,11.15,3,1,74,71,69,18
"BLZF1",17.36,8.3,3,1,74,71,69,18
"DDX59",16.77,6,5,2,24,32,53,6
"DDX59",16.77,7.7,5,2,24,32,53,6
"DDX59",16.77,8.4,5,2,24,32,53,6
"TRAF3IP3",27.89,7.52,5,5,2,18,42,44
"TRAF3IP3",27.89,7.7,5,5,2,18,42,44
"TRAF3IP3",27.89,7.05,5,5,2,18,42,44
"ZDHHC18",23.82,8.05,2,3,8.4,15,23,330
"ZDHHC18",23.82,7.4,2,3,8.4,15,23,330
"PIGV",25.37,7.4,3,2,19,79,86,317
"ARID1A",3,7.4,2,2,12,66,63,268
"SF3A3",44.7,9.15,2,5,11,26,41,41
"SF3A3",44.7,9.4,2,5,11,26,41,41
"GBP3",90.38,5.7,2,5,38,9.4,3.5,50
"NT5C2",8.31,9.05,4,2,3.3,22,32,122
"NT5C2",8.31,14.52,4,2,3.3,22,32,122
"NT5C2",8.31,11.7,4,2,3.3,22,32,122
"NT5C2",8.31,14.4,4,2,3.3,22,32,122
"NT5C2",8.31,14.52,4,2,3.3,22,32,122
"NT5C2",8.31,14.3,4,2,3.3,22,32,122
"NT5C2",8.31,14.15,4,2,3.3,22,32,122
"NT5C2",8.31,7.7,4,2,3.3,22,32,122
"NT5C2",8.31,8.3,4,2,3.3,22,32,122
"NT5C2",8.31,23,4,2,3.3,22,32,122
"NT5C2",8.31,6,4,2,3.3,22,32,122
"SH3PXD2A",4.55,8.52,3,3,32,32,48,51
"CAMK1D",25.46,10.4,1,5,24,11,11,42
"CAMK1D",25.46,9.22,1,5,24,11,11,42
"CAMK1D",25.46,13.1,1,5,24,11,11,42
"CAMK1D",25.46,10.15,1,5,24,11,11,42
"NUDT5",4.36,13.1,3,5,21,12,24,29
"NUDT5",4.36,10.4,3,5,21,12,24,29
"NUDT5",4.36,9.22,3,5,21,12,24,29
"NUDT5",4.36,10.15,3,5,21,12,24,29
"CSTF2T",9.09,5.52,3,1,32,71,65,9
"DNAJB12",9.07,10.4,3,2,39,57,70,31
"DNAJB12",9.07,5.52,3,2,39,57,70,31
"TSPAN14",7.92,9.7,3,2,9.6,58,71,42
"TSPAN14",7.92,10.7,3,2,9.6,58,71,42
"TSPAN14",7.92,9.7,3,2,9.6,58,71,42
"TSPAN14",7.92,5.52,3,2,9.6,58,71,42
"TSPAN14",7.92,10.7,3,2,9.6,58,71,42
"NOC3L",4.96,12.7,4,2,33,49,38,154
"CWF19L2",16.6,7.05,4,3,47,52,62,22
"CWF19L2",16.6,9.15,4,3,47,52,62,22
"CWF19L2",16.6,7.15,4,3,47,52,62,22
"RDX",7.72,18.52,4,2,63,61,56,22
"RDX",7.72,14.7,4,2,63,61,56,22
"RDX",7.72,9.05,4,2,63,61,56,22
"RDX",7.72,8,4,2,63,61,56,22
"RDX",7.72,6,4,2,63,61,56,22
"BUD13",7.92,14.1,1,0,28,77,82,988
"BUD13",7.92,16.4,1,0,28,77,82,988
"BUD13",7.92,14.1,1,0,28,77,82,988
"BUD13",7.92,7.15,1,0,28,77,82,988
"SIDT2",76.12,7.1,1,8,6.4,14,27,337
"SIDT2",76.12,7.52,1,8,6.4,14,27,337
"SIDT2",76.12,7.7,1,8,6.4,14,27,337
"SIDT2",76.12,7.52,1,8,6.4,14,27,337
