"","eQTL p_val","GWAS p_val","#State Studies","#Trait Studies","Expression Level Percentile","Repeatability Percentile","Genetic Var Percentile","#Trait Assoc"
"ERAP2",269.49,7.52,2,8,19,0.76,0.8,61
"HLA-DQB1",195.33,8.52,0,8,18,0.2,0.36,1305
"PEX6",190.44,9.22,0,6,43,12,21,141
"RBM6",132.85,10.22,4,5,27,40,47,368
"HSD17B12",132.74,8,3,3,14,22,34,65
"HLA-DRB5",131.66,12.52,0,8,3.4,0.27,0.96,1197
"LY6G5C",124.64,12.52,1,2,53,50,59,592
"NAGK",122,5.52,1,4,1.3,9.5,23,20
"DAGLB",107.85,10,1,3,26,31,56,77
"PILRB",105.7,8.15,2,5,56,22,30,139
"ADCY3",105.62,6.52,3,0,36,58,69,142
"GSTM3",101,58.7,2,8,52,1.2,2,206
"HLA-DRB6",91.64,12.52,1,6,5.1,0.37,4.3,1139
"GBP3",90.38,5.7,2,5,38,9.4,3.5,50
"ERAP1",90.16,7.52,2,7,58,50,62,75
"NPHP3",84.85,8.52,5,4,44,40,28,39
"PSMB9",84.51,8.52,2,5,9.2,6,11,434
"COG5",79.06,9.4,2,4,39,17,25,43
"SIDT2",76.12,7.7,1,8,6.4,14,27,337
"SEC16A",72.89,7.7,1,3,5.6,40,49,115
"HLA-DQA1",70,8.52,2,8,10,0.24,0.34,1009
"ANAPC13",68.89,6.3,4,2,4.1,26,52,21
"MED22",64.92,19.7,3,3,21,24,57,841
"FBN2",64.39,9,2,5,68,12,20,47
"LIPA",62.12,28.4,1,5,3.5,4.3,8.4,29
"ORMDL3",59.92,7.4,1,6,8.3,2.8,17,288
"UBA7",59.82,10.22,1,3,7,16,45,333
"HLA-C",59.48,12.52,3,6,0.8,0.78,30,794
"FAM117B",59.32,49.3,2,6,35,11,21,154
"TDRD9",56.6,8.52,2,7,61,2.6,3.6,98
"DNTTIP1",55.4,11.4,3,7,6.6,12,33,51
"TBC1D7",54.96,5.22,2,5,39,13,28,11
"CTSK",52.37,14,1,3,39,44,47,201
"SF3B2",51.39,10.7,0,1,17,57,77,98
"HLA-DRB1",48.39,12.52,1,8,2.3,0.53,3,1231
"CTSH",47.6,43.52,1,6,9.5,16,21,57
"CARD9",47.3,7.7,0,3,23,41,48,110
"MAP3K11",46.17,16.7,3,1,9.1,55,55,221
"SF3A3",44.7,9.4,2,5,11,26,41,41
