"","RNA","CAD traits","All traits","Percent"
"1","ADAM19",1,35,2.9
"2","ADCY3",21,141,15
"3","AKAP13",1,15,6.7
"4","ALDH2",19,91,21
"5","ANAPC13",5,20,25
"6","ANP32B",1,12,8.3
"7","AP4B1",3,31,9.7
"8","APEH",2,62,3.2
"9","ARHGEF6",1,2,50
"10","ARID1A",25,267,9.4
"11","ARNT",13,167,7.8
"12","ATP6V0A1",3,11,27
"13","BAG5",6,64,9.4
"14","BET1L",1,109,0.92
"15","BLZF1",1,17,5.9
"16","BUD13",33,987,3.3
"17","CABIN1",1,10,10
"18","CAMK1D",11,41,27
"19","CARD9",16,109,15
"20","CCDC97",1,3,33
"21","CCNL1",2,17,12
"22","CCR3",3,110,2.7
"23","CD300LF",1,17,5.9
"24","CEP63",5,19,26
"25","CFDP1",16,119,13
"26","CHP1",2,48,4.2
"27","CLOCK",2,24,8.3
"28","CNPY4",1,51,2
"29","COG5",11,42,26
"30","CSNK1G1",4,43,9.3
"31","CSTF2T",1,8,12
"32","CTSA",2,7,29
"33","CTSH",6,56,11
"34","CTSK",18,200,9
"35","CTSS",14,174,8
"36","CWF19L2",4,21,19
"37","DAGLB",7,76,9.2
"38","DDAH2",8,160,5
"39","DDX59",1,5,20
"40","DHDDS",2,16,12
"41","DHX36",3,23,13
"42","DNAJB12",8,30,27
"43","DNTTIP1",5,50,10
"44","DOCK5",1,1,100
"45","EDEM2",5,65,7.7
"46","EIF2B2",7,57,12
"47","EIF6",1,59,1.7
"48","ERAP1",4,74,5.4
"49","ERAP2",3,60,5
"50","FAM117B",17,153,11
"51","FBN2",3,46,6.5
"52","FLNA",1,15,6.7
"53","GBP3",3,49,6.1
"54","GFPT1",2,20,10
"55","GSTM3",27,205,13
"56","HBP1",1,3,33
"57","HCG27",36,677,5.3
"58","HLA-C",34,793,4.3
"59","HLA-DQA1",34,1008,3.4
"60","HLA-DQB1",40,1304,3.1
"61","HLA-DRB1",49,1230,4
"62","HLA-DRB5",40,1196,3.3
"63","HLA-DRB6",42,1138,3.7
"64","HMBS",6,29,21
"65","HNRNPUL1",1,9,11
"66","HSD17B12",12,64,19
"67","HSPA1B",5,116,4.3
"68","IKBKG",1,6,17
"69","IL6R",4,70,5.7
"70","ING1",1,9,11
"71","IP6K2",4,152,2.6
"72","IREB2",17,109,16
"73","KAT2A",3,8,38
"74","KLC1",7,103,6.8
"75","LDLR",10,78,13
"76","LIPA",5,28,18
"77","LNPEP",2,33,6.1
"78","LST1",8,158,5.1
"79","LY6G5C",24,591,4.1
"80","MAP1S",1,20,5
"81","MAP3K11",30,220,14
"82","MAP4",5,56,8.9
"83","MAPKAPK5-AS1",7,101,6.9
"84","MAT2A",2,30,6.7
"85","MCL1",3,86,3.5
