"","hgnc_symbol","description"
"1","ADAM28","ADAM metallopeptidase domain 28 [Source:HGNC Symbol;Acc:HGNC:206]"
"2","ANK1","ankyrin 1 [Source:HGNC Symbol;Acc:HGNC:492]"
"3","ANKRD55","ankyrin repeat domain 55 [Source:HGNC Symbol;Acc:HGNC:25681]"
"4","ARL17A","ADP ribosylation factor like GTPase 17A [Source:HGNC Symbol;Acc:HGNC:24096]"
"5","BANK1","B cell scaffold protein with ankyrin repeats 1 [Source:HGNC Symbol;Acc:HGNC:18233]"
"6","BCAT1","branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]"
"7","BPGM","bisphosphoglycerate mutase [Source:HGNC Symbol;Acc:HGNC:1093]"
"8","BTNL8","butyrophilin like 8 [Source:HGNC Symbol;Acc:HGNC:26131]"
"9","CA1","carbonic anhydrase 1 [Source:HGNC Symbol;Acc:HGNC:1368]"
"10","CA2","carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]"
"11","CCL3","C-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:10627]"
"12","CCL4","C-C motif chemokine ligand 4 [Source:HGNC Symbol;Acc:HGNC:10630]"
"13","CCR1","C-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:1602]"
"14","CCR3","C-C motif chemokine receptor 3 [Source:HGNC Symbol;Acc:HGNC:1604]"
"15","CD160","CD160 molecule [Source:HGNC Symbol;Acc:HGNC:17013]"
"16","CD24","CD24 molecule [Source:HGNC Symbol;Acc:HGNC:1645]"
"17","CD36","CD36 molecule (CD36 blood group) [Source:HGNC Symbol;Acc:HGNC:1663]"
"18","CD9","CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]"
"19","CES1","carboxylesterase 1 [Source:HGNC Symbol;Acc:HGNC:1863]"
"20","CFD","complement factor D [Source:HGNC Symbol;Acc:HGNC:2771]"
"21","CHPT1","choline phosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:17852]"
"22","CHST13","carbohydrate sulfotransferase 13 [Source:HGNC Symbol;Acc:HGNC:21755]"
"23","CLEC12A","C-type lectin domain family 12 member A [Source:HGNC Symbol;Acc:HGNC:31713]"
"24","CLEC4C","C-type lectin domain family 4 member C [Source:HGNC Symbol;Acc:HGNC:13258]"
"25","CREB5","cAMP responsive element binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16844]"
"26","CYBB","cytochrome b-245 beta chain [Source:HGNC Symbol;Acc:HGNC:2578]"
"27","DDX11L2","DEAD/H-box helicase 11 like 2 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:37103]"
"28","EBF1","EBF transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3126]"
"29","EOMES","eomesodermin [Source:HGNC Symbol;Acc:HGNC:3372]"
"30","ERAP2","endoplasmic reticulum aminopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:29499]"
"31","FAXDC2","fatty acid hydroxylase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:1334]"
"32","FBXO6","F-box protein 6 [Source:HGNC Symbol;Acc:HGNC:13585]"
