"","hgnc_symbol","description"
"1","DHDDS","dehydrodolichyl diphosphate synthase subunit [Source:HGNC Symbol;Acc:HGNC:20603]"
"2","EFTUD2","elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858]"
"3","GPAA1","glycosylphosphatidylinositol anchor attachment 1 [Source:HGNC Symbol;Acc:HGNC:4446]"
"4","ING4","inhibitor of growth family member 4 [Source:HGNC Symbol;Acc:HGNC:19423]"
"5","LYPLA2","lysophospholipase 2 [Source:HGNC Symbol;Acc:HGNC:6738]"
"6","MBD1","methyl-CpG binding domain protein 1 [Source:HGNC Symbol;Acc:HGNC:6916]"
"7","MRPS25","mitochondrial ribosomal protein S25 [Source:HGNC Symbol;Acc:HGNC:14511]"
"8","NFATC2IP","nuclear factor of activated T cells 2 interacting protein [Source:HGNC Symbol;Acc:HGNC:25906]"
"9","PARP6","poly(ADP-ribose) polymerase family member 6 [Source:HGNC Symbol;Acc:HGNC:26921]"
"10","POLDIP3","DNA polymerase delta interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:23782]"
"11","RANBP3","RAN binding protein 3 [Source:HGNC Symbol;Acc:HGNC:9850]"
"12","REXO1","RNA exonuclease 1 homolog [Source:HGNC Symbol;Acc:HGNC:24616]"
"13","RHOT2","ras homolog family member T2 [Source:HGNC Symbol;Acc:HGNC:21169]"
"14","RNF216","ring finger protein 216 [Source:HGNC Symbol;Acc:HGNC:21698]"
"15","SH3KBP1","SH3 domain containing kinase binding protein 1 [Source:HGNC Symbol;Acc:HGNC:13867]"
"16","STRADA","STE20 related adaptor alpha [Source:HGNC Symbol;Acc:HGNC:30172]"
"17","WRNIP1","WRN helicase interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:20876]"
